transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_36676fe7ac389d585f1a8fae,2024-01-01T09:00:00,流入,2152500.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bf91627fa8dc3561ef3e024b,2024-01-03T15:00:00,流入,102899.93,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ac30b4ce4ac019d11e26a5b2,2024-01-04T15:00:00,流入,4805.56,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_25258bd043e7f3c0a921804e,2024-01-05T09:00:00,流出,7600.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_995782cc7e4eb2ce072d19f8,2024-01-07T09:00:00,流出,2132.01,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_50edf81070e7e6682b4aac84,2024-01-07T09:00:00,流出,31000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_561230e2ea09df0964823c00,2024-01-13T09:00:00,流出,1922.97,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0afef8ae4fd22c31bfa86ba7,2024-01-14T09:00:00,流出,1822.73,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_905f5e4c70364ab3f3ff2755,2024-01-14T09:00:00,流出,12995.40,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dc0b0d1ecb86a5904750c147,2024-01-15T09:00:00,流出,196136.53,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6c1e96668f98ac8622daffae,2024-01-18T09:00:00,流出,1537.31,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4db972686fc5b4f1ea4b9191,2024-01-22T09:00:00,流出,122.29,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_15f25c7fc4dea70ba3eb84cc,2024-01-23T09:00:00,流出,60000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2705a5ec14bfa8b0587bc259,2024-01-27T15:00:00,流入,30510.51,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_76f1902c80cffbb685a2d29a,2024-02-02T15:00:00,流入,6955.07,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e5e044720d46d209bbff69f1,2024-02-03T09:00:00,流出,3345.24,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6425dce8850a7a193e638583,2024-02-04T15:00:00,流入,13079.04,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c60432bb2324503d76264de7,2024-02-05T09:00:00,流出,1637.33,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d767ee9e05aec4163e286796,2024-02-05T09:00:00,流出,7600.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3c4feaf8564890dc00a896f8,2024-02-05T15:00:00,流入,1926.38,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e58b1495f2fddce06f43e48e,2024-02-05T15:00:00,流入,5601.43,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a20e5588d383a630e06ac5ad,2024-02-06T09:00:00,流出,18314.36,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fc69c5ae254b26c7b738d73a,2024-02-07T09:00:00,流出,31000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b33199fb10ac3b2202257307,2024-02-07T09:00:00,流出,86464.49,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
