transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_0c3965cb5bc08b59b582b8ce,2024-01-01T09:00:00,流入,3600000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e0bcff62010955ff10a35cc1,2024-01-02T09:00:00,流出,80598.42,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ea801c582d698deb7c03e9fc,2024-01-03T09:00:00,流出,60000.00,投用设备购买款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9e82b317ae5a41e1c807d4fa,2024-01-03T09:00:00,流出,47061.31,固定场地租赁付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_39b6f948b5abf4717503a5fa,2024-01-07T09:00:00,流出,170198.91,持续服务班组工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_86d897ed6d3ec59fcc811aaf,2024-01-13T09:00:00,流出,83822.36,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9685149611b57a535460d2fc,2024-01-15T09:00:00,流出,51582.99,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_68fa310feda812354bd878f7,2024-01-17T15:00:00,流入,26815.06,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_53d7e0b8e1a6296a6fb44f01,2024-01-17T15:00:00,流入,64356.16,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e6428fa9a84b19b067a90fe4,2024-01-22T15:00:00,流入,50948.63,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_38f06dd9d859bced023dc9aa,2024-01-22T15:00:00,流入,32178.08,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_645e75048eec5407ebed13f7,2024-01-25T09:00:00,流出,62854.76,合规、技术支持及外部服务费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ad85bc0b4ac56f5ca2edef10,2024-01-25T09:00:00,流出,35463.30,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d62b053abcc9ca32e18d52e0,2024-01-27T09:00:00,流出,35463.30,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e35b6cf2ef218ef895d8538e,2024-01-27T15:00:00,流入,50948.63,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2963b6fc3e261e3e9cd98fb8,2024-01-27T15:00:00,流入,37541.09,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d5032f3410aefbf7fd796757,2024-01-27T15:00:00,流入,42904.10,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_95e89b94f60d8d8dcda66d98,2024-02-01T15:00:00,流入,34859.58,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a4910a14f857ff02fa6d943d,2024-02-01T15:00:00,流入,21452.05,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a4d8d98cc663bf388abe14af,2024-02-03T09:00:00,流出,47061.31,固定场地租赁付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bf952eee60096717b4899988,2024-02-03T15:00:00,流入,37541.09,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c62a27c634fc2f8f0b9ba545,2024-02-06T15:00:00,流入,58993.24,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_106c3408979592474232c3dc,2024-02-07T09:00:00,流出,170198.91,持续服务班组工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9e5a3ac88459defc4d3614f3,2024-02-08T15:00:00,流入,72400.68,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c8e5f73c5db236832e7c193d,2024-02-10T09:00:00,流出,51960.97,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_063182b2a20507e674213a01,2024-02-11T15:00:00,流入,64356.16,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9999e9b3c9c7eaa5e2386696,2024-02-13T09:00:00,流出,51583.03,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_35a49a0b68ae0f2d86ed2386,2024-02-13T15:00:00,流入,34859.58,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6e516b0850676a6415ab6ad1,2024-02-15T09:00:00,流出,58030.86,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e7f5444bba100a974fae8e56,2024-02-15T09:00:00,流出,65634.94,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_62ecc0067a577db4c1bd2c2a,2024-02-16T15:00:00,流入,20973.21,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_04e2dae47b32d729ea1ee0f3,2024-02-17T09:00:00,流出,46491.39,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_91089a20a23a91312b468454,2024-02-21T15:00:00,流入,61674.65,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_20a1bea946727e942ba7b80d,2024-02-21T15:00:00,流入,18642.85,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_58188d5c7941feae05d04551,2024-02-22T09:00:00,流出,41021.82,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_99c4a35e552ae8d1bb0d8a30,2024-02-24T09:00:00,流出,73839.27,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
