calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,1611600.00,0.00,1,1611600.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_6aa591d13aaeeb4580fa6eff,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,0.00,0.00,0,1611600.00,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,5046.53,0.00,1,1616646.53,last_posted_transaction_or_prior_closing_balance,synb1_txn_738d984182cd669e0df90513,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,0.00,162956.21,1,1453690.32,last_posted_transaction_or_prior_closing_balance,synb1_txn_93514ae863d523169bf9fea8,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,13208.31,7000.00,2,1459898.63,last_posted_transaction_or_prior_closing_balance,synb1_txn_738257534d7c662efbd9fe64,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,33102.79,0.00,2,1493001.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_902844e4b56b41ee4c57f9b9,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,0.00,30000.00,1,1463001.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_22073fd158b96335d078b5d1,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,0.00,0.00,0,1463001.42,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,6291.31,0.00,1,1469292.73,last_posted_transaction_or_prior_closing_balance,synb1_txn_93626a83896c8c3782e2095e,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,0.00,0.00,0,1469292.73,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
2024-01-11,0.00,0.00,0,1469292.73,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,8,2024-01-12,complete
2024-01-12,0.00,79302.69,1,1389990.04,last_posted_transaction_or_prior_closing_balance,synb1_txn_327a78a1d7475dbd39e4b8c9,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,9,2024-01-15,complete
2024-01-13,0.00,1650.29,1,1388339.75,last_posted_transaction_or_prior_closing_balance,synb1_txn_07089a58140c80161c0e8e93,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-14,0.00,0.00,0,1388339.75,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-15,14822.33,0.00,1,1403162.08,last_posted_transaction_or_prior_closing_balance,synb1_txn_46a81a415ddf4d9c9a92c950,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,10,2024-01-16,complete
2024-01-16,0.00,0.00,0,1403162.08,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,11,2024-01-17,complete
2024-01-17,48300.54,6101.76,3,1445360.86,last_posted_transaction_or_prior_closing_balance,synb1_txn_5c0da0df081a367d17ade8ec,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,12,2024-01-18,complete
2024-01-18,0.00,380.13,1,1444980.73,last_posted_transaction_or_prior_closing_balance,synb1_txn_f36299f600f1962b0cec8037,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,13,2024-01-19,complete
2024-01-19,1364.19,0.00,1,1446344.92,last_posted_transaction_or_prior_closing_balance,synb1_txn_a9b2b9295892e3c48111b7cc,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,14,2024-01-22,complete
2024-01-20,0.00,0.00,0,1446344.92,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-21,0.00,1161.83,1,1445183.09,last_posted_transaction_or_prior_closing_balance,synb1_txn_a8d8f31299e1ddf8adf840f2,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-22,0.00,11779.91,1,1433403.18,last_posted_transaction_or_prior_closing_balance,synb1_txn_3da335e5885d356966bcbb32,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,15,2024-01-23,complete
2024-01-23,0.00,60115.98,2,1373287.20,last_posted_transaction_or_prior_closing_balance,synb1_txn_5ed261958e8fb50a5e647400,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,16,2024-01-24,complete
2024-01-24,0.00,0.00,0,1373287.20,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,17,2024-01-25,complete
2024-01-25,0.00,0.00,0,1373287.20,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,18,2024-01-26,complete
2024-01-26,0.00,0.00,0,1373287.20,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,19,2024-01-29,complete
2024-01-27,0.00,0.00,0,1373287.20,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-28,0.00,4053.60,1,1369233.60,last_posted_transaction_or_prior_closing_balance,synb1_txn_50d40d66ad7fdf03d33fca4f,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-29,0.00,0.00,0,1369233.60,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,20,2024-01-30,complete
2024-01-30,0.00,0.00,0,1369233.60,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,21,2024-01-31,complete
2024-01-31,0.00,0.00,0,1369233.60,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,22,2024-02-01,complete
2024-02-01,0.00,0.00,0,1369233.60,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,23,2024-02-02,complete
2024-02-02,0.00,0.00,0,1369233.60,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,24,2024-02-04,complete
2024-02-03,0.00,0.00,0,1369233.60,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-04,0.00,1975.37,1,1367258.23,last_posted_transaction_or_prior_closing_balance,synb1_txn_44cf481a1c24bfa013bc751e,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,25,2024-02-05,complete
2024-02-05,0.00,7000.00,1,1360258.23,last_posted_transaction_or_prior_closing_balance,synb1_txn_ffbeb9a03d70cc4d75fd39a9,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,26,2024-02-06,complete
2024-02-06,0.00,0.00,0,1360258.23,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,27,2024-02-07,complete
2024-02-07,0.00,30000.00,1,1330258.23,last_posted_transaction_or_prior_closing_balance,synb1_txn_f65a84c71e35594abca2beb9,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,28,2024-02-08,complete
2024-02-08,11790.24,0.00,1,1342048.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_37b6b7c12432298d45224df9,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,29,2024-02-09,complete
2024-02-09,0.00,4023.09,2,1338025.38,last_posted_transaction_or_prior_closing_balance,synb1_txn_fef1d0139dbd960f67ebb0f4,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,30,2024-02-18,complete
2024-02-10,0.00,0.00,0,1338025.38,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-11,0.00,12106.91,1,1325918.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_272aeb633121c13f64fecb1f,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-12,23051.01,0.00,1,1348969.48,last_posted_transaction_or_prior_closing_balance,synb1_txn_8ce37b38c8a17b45292d4add,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-13,2538.49,0.00,1,1351507.97,last_posted_transaction_or_prior_closing_balance,synb1_txn_d5b1c1007234aebf6aa5ba7b,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-14,15141.01,31742.71,2,1334906.27,last_posted_transaction_or_prior_closing_balance,synb1_txn_c3a2fd2dfa73cdf0ee6c7d71,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-15,0.00,0.00,0,1334906.27,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-16,1571.24,15027.09,3,1321450.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_0e5f5ae4f712873be08de4d6,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-17,100.73,0.00,1,1321551.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_b2c8c365597b7fcc529dbbdb,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-18,36577.12,3283.39,5,1354844.88,last_posted_transaction_or_prior_closing_balance,synb1_txn_9e4168120be62e95d72374d9,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,31,2024-02-19,complete
2024-02-19,51912.74,0.00,2,1406757.62,last_posted_transaction_or_prior_closing_balance,synb1_txn_f0d96aa39115624b01956e52,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,32,2024-02-20,complete
2024-02-20,50444.86,131934.31,6,1325268.17,last_posted_transaction_or_prior_closing_balance,synb1_txn_6e860f37f64ea8a2dee0848f,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,33,2024-02-21,complete
2024-02-21,1797.59,0.00,1,1327065.76,last_posted_transaction_or_prior_closing_balance,synb1_txn_ad6a7e2f3f5ca6e99f70b8f4,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,34,2024-02-22,complete
2024-02-22,17702.90,22100.74,2,1322667.92,last_posted_transaction_or_prior_closing_balance,synb1_txn_c53aea8449a1480025fe1d83,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,35,2024-02-23,complete
2024-02-23,0.00,1970.52,1,1320697.40,last_posted_transaction_or_prior_closing_balance,synb1_txn_7dc040b9e043ec53b49572cd,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,36,2024-02-26,complete
2024-02-24,0.00,0.00,0,1320697.40,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-25,0.00,1714.98,1,1318982.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_855fcc9f54885f816623327f,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-26,9885.58,7320.82,2,1321547.18,last_posted_transaction_or_prior_closing_balance,synb1_txn_951b10e00a59474c8fa0b379,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,37,2024-02-27,complete
2024-02-27,21456.49,0.00,1,1343003.67,last_posted_transaction_or_prior_closing_balance,synb1_txn_5d06ac0c38ea7c00022846e6,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,38,2024-02-28,complete
2024-02-28,0.00,22113.03,2,1320890.64,last_posted_transaction_or_prior_closing_balance,synb1_txn_8327c7ba2d6eccc64567f1d5,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,39,2024-02-29,complete
2024-02-29,0.00,0.00,0,1320890.64,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,40,2024-03-01,complete
2024-03-01,0.00,0.00,0,1320890.64,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,41,2024-03-04,complete
2024-03-02,5017.87,0.00,1,1325908.51,last_posted_transaction_or_prior_closing_balance,synb1_txn_c96644bd99f6aac0d78f624d,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-03-03,14568.82,0.00,1,1340477.33,last_posted_transaction_or_prior_closing_balance,synb1_txn_200c4b55178ea7a06d85e556,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-03-04,0.00,1285.17,1,1339192.16,last_posted_transaction_or_prior_closing_balance,synb1_txn_6ef5ca02b7a018c83d077913,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,42,2024-03-05,complete
