transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_797fc81a46bf7c4f5b02de85,2024-01-01T09:00:00,流入,3613500.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dd8a58c7d5f4facb1fd261b8,2024-01-02T09:00:00,流出,8778.44,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3ebb4a2ec6a2f3847c73f60d,2024-01-05T09:00:00,流出,16500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1d153bcc90eca2cdd1046d49,2024-01-07T09:00:00,流出,74000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3aaea0f19603658af625a8d0,2024-01-10T09:00:00,流出,158241.03,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_beae012e9b90ba9749dc2dc4,2024-01-15T09:00:00,流出,65188.19,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_85be21d731416c0d72bc22b6,2024-01-16T09:00:00,流出,18131.06,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_52a3540a9f28b827451410af,2024-01-22T09:00:00,流出,4095.43,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e3b56a91239f12792c2ffbac,2024-01-24T09:00:00,流出,120000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_338ca930db1465cd661af666,2024-01-26T09:00:00,流出,368.77,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1d75133389f04d77f35973e6,2024-01-28T09:00:00,流出,2721.56,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e779e5d37a959c8e86cc01fb,2024-01-28T15:00:00,流入,30787.66,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_20c16031c4a21f85c3e130d7,2024-01-28T15:00:00,流入,57706.34,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_44088037faff4853f2aedd70,2024-02-04T15:00:00,流入,2443.55,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3fbe94ff2de1c0482a2c660b,2024-02-05T09:00:00,流出,16500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dc438cdfcfdc73b79ec8a09a,2024-02-05T09:00:00,流出,20733.68,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0ebd918f26590ea9627c11be,2024-02-05T09:00:00,流出,64364.54,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_89dc61dec8e4fac911ee1403,2024-02-06T09:00:00,流出,52062.66,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_21e43e2ff387fda1dc1cf8f6,2024-02-07T09:00:00,流出,74000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4b23017d2bdecd7c98324188,2024-02-07T09:00:00,流出,5125.68,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3c8437176b449400d4bcc833,2024-02-08T09:00:00,流出,78134.03,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_29ac1ce6985ece9bd11a5256,2024-02-08T15:00:00,流入,61405.73,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d8fd01d1259d6f449d11ee2c,2024-02-10T09:00:00,流出,145908.59,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d0e229784cd778b6d31df235,2024-02-10T09:00:00,流出,44565.01,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_44aff94bfcc7363fda9f84ef,2024-02-12T09:00:00,流出,19533.03,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9947215715c3ede5845df0dd,2024-02-12T15:00:00,流入,193.13,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
