transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_4e3c7d504d9a15fffaef84c6,2024-01-01T09:00:00,0.00,854101.43,854101.43
synb1_txn_8cb2f4290e5910e899dd4d95,2024-01-04T09:00:00,46357.36,0.00,807744.07
synb1_txn_d35ead2ca583e8899834c49b,2024-01-05T09:00:00,24000.00,0.00,783744.07
synb1_txn_eb59e2f86b4872b37edc616c,2024-01-07T09:00:00,70000.00,0.00,713744.07
synb1_txn_f7e58ae38a1259998381b206,2024-01-07T09:00:00,21914.60,0.00,691829.47
synb1_txn_151c55bcfba429dd1ba84a0b,2024-01-08T15:00:00,0.00,245374.78,937204.25
synb1_txn_0fb9324f998d7755669b39df,2024-01-08T15:00:00,0.00,799.80,938004.05
synb1_txn_9978f8f9c949a23b73237a44,2024-01-14T09:00:00,11102.47,0.00,926901.58
synb1_txn_03d6bc72fcfb5ce12c08c9ff,2024-01-14T15:00:00,0.00,39834.32,966735.90
synb1_txn_fa56f104e385fba2ab46a98b,2024-01-15T09:00:00,64300.58,0.00,902435.32
synb1_txn_efa8a2b58cdd873a8458090d,2024-01-16T09:00:00,12967.06,0.00,889468.26
synb1_txn_0ecb9e0c13ae6172580d59f5,2024-01-18T09:00:00,281.86,0.00,889186.40
synb1_txn_93583d5844b622d35bb15aca,2024-01-19T09:00:00,2251.08,0.00,886935.32
synb1_txn_4a0fb996440e4ac4b44e9af7,2024-01-19T09:00:00,51064.93,0.00,835870.39
synb1_txn_d055af6fa7c8cac06a51c955,2024-01-19T15:00:00,0.00,192857.11,1028727.50
synb1_txn_44a8eba8d60ef01b2c7e5e11,2024-01-21T09:00:00,97555.92,0.00,931171.58
synb1_txn_b634d813aa67559e681b1056,2024-01-23T15:00:00,0.00,1133.99,932305.57
synb1_txn_295ebf26c21c0daddfbad5ad,2024-01-28T09:00:00,116904.14,0.00,815401.43
synb1_txn_4bb681d2e72a0ee8df9ae412,2024-02-05T09:00:00,24000.00,0.00,791401.43
synb1_txn_3b0e46f155c3088748ab4b69,2024-02-07T09:00:00,70000.00,0.00,721401.43
synb1_txn_f904bacb5002e1f72a82d72a,2024-02-07T15:00:00,0.00,69444.37,790845.80
synb1_txn_982b24fdfb3821f4ae0ed932,2024-02-08T15:00:00,0.00,41640.29,832486.09
synb1_txn_9311dd9bd949a966e47b9f95,2024-02-10T09:00:00,1070.34,0.00,831415.75
synb1_txn_d9a70856171426627c8abd04,2024-02-12T09:00:00,198422.89,0.00,632992.86
synb1_txn_f1121d5ac7f3dfb5d6dee3d8,2024-02-14T09:00:00,113000.00,0.00,519992.86
synb1_txn_9b17786455b4cc1080487644,2024-02-15T15:00:00,0.00,168174.65,688167.51
synb1_txn_e474435805bb27412c8407ab,2024-02-16T15:00:00,0.00,144229.55,832397.06
synb1_txn_5fa3e2720613ed1b32d997c5,2024-02-17T15:00:00,0.00,92650.53,925047.59
synb1_txn_5567a6a4967b48517a739673,2024-02-18T09:00:00,30420.00,0.00,894627.59
synb1_txn_ac93f7eda961112329c9bb7c,2024-02-18T09:00:00,7500.00,0.00,887127.59
synb1_txn_41f1618be8ff8c0f3af26278,2024-02-18T09:00:00,900.00,0.00,886227.59
synb1_txn_8350011736a714ceab9fc53b,2024-02-18T09:00:00,1099.92,0.00,885127.67
synb1_txn_7dd0d92314c730e43cf6109c,2024-02-18T09:00:00,7836.42,0.00,877291.25
synb1_txn_eacd7e2627da7f8d59df1876,2024-02-19T15:00:00,0.00,437.30,877728.55
synb1_txn_8206571f701a0e07654e1639,2024-02-20T09:00:00,12377.11,0.00,865351.44
synb1_txn_5f1ca7b299c95752504efbee,2024-02-21T09:00:00,11823.98,0.00,853527.46
synb1_txn_36dc14bdd69ccccbff3257a2,2024-02-21T15:00:00,0.00,13488.22,867015.68
synb1_txn_d06dd9e5253535486bdc0580,2024-02-22T09:00:00,1505.76,0.00,865509.92
synb1_txn_2cc9a576005913f08604dda0,2024-02-22T15:00:00,0.00,28867.77,894377.69
synb1_txn_90d619ab3efe0ca0b56de259,2024-02-23T15:00:00,0.00,10712.07,905089.76
synb1_txn_3f99ab02b6f3e4fc2a3b4613,2024-02-24T09:00:00,24548.02,0.00,880541.74
synb1_txn_757817bc8929117956665f14,2024-02-24T15:00:00,0.00,32380.98,912922.72
synb1_txn_0420ba9c97e0e3bc9d511399,2024-02-25T09:00:00,74484.37,0.00,838438.35
synb1_txn_a652524256b42f9b5999e29e,2024-02-26T09:00:00,222603.19,0.00,615835.16
synb1_txn_ddfb6efaf0bdd6e132c6b8b0,2024-02-27T15:00:00,0.00,51502.90,667338.06
synb1_txn_014bf3a6bd0736711d1c72b9,2024-02-28T15:00:00,0.00,115671.37,783009.43
synb1_txn_59a602edfdce94a4340bdbfc,2024-03-03T15:00:00,0.00,107197.21,890206.64
synb1_txn_59de7e90510c6f70e0325b9b,2024-03-05T09:00:00,24000.00,0.00,866206.64
synb1_txn_a0c3c3c60a48f4a7c1b25ecd,2024-03-06T09:00:00,5687.83,0.00,860518.81
synb1_txn_7062a98e2c2806a5712f93b9,2024-03-06T15:00:00,0.00,30294.25,890813.06
synb1_txn_094528d939711ba3d5a4bec1,2024-03-06T15:00:00,0.00,2644.08,893457.14
synb1_txn_967b68adab28bfacc9bd6c73,2024-03-07T09:00:00,70000.00,0.00,823457.14
synb1_txn_80183f5e391155c6d4f59b6a,2024-03-07T15:00:00,0.00,105037.11,928494.25
synb1_txn_d76620a62191e1e592ee450c,2024-03-08T09:00:00,11923.59,0.00,916570.66
synb1_txn_65bdee9e75ce15aa9e65f0dc,2024-03-09T09:00:00,82093.77,0.00,834476.89
synb1_txn_b7b194a10eee09253a864f1e,2024-03-10T15:00:00,0.00,60063.93,894540.82
synb1_txn_fa4707240eab6d1bca530649,2024-03-11T09:00:00,24128.07,0.00,870412.75
synb1_txn_a92b349bbda3308a566bfaa8,2024-03-11T09:00:00,105659.10,0.00,764753.65
synb1_txn_1729abb0948cbc640a7b3afc,2024-03-11T15:00:00,0.00,8401.50,773155.15
synb1_txn_0d365326440a2c23dfa5ec47,2024-03-14T09:00:00,7657.26,0.00,765497.89
synb1_txn_f4b7280376e04dac37fc462f,2024-03-14T15:00:00,0.00,67756.75,833254.64
synb1_txn_20ca335cf73e5393f3d3d46b,2024-03-16T15:00:00,0.00,62450.44,895705.08
synb1_txn_546d66cecd23446f949023ca,2024-03-16T15:00:00,0.00,22342.68,918047.76
synb1_txn_5e0c9fb7d96c0d767b383b15,2024-03-17T15:00:00,0.00,2808.63,920856.39
synb1_txn_6620c33fe18b630369d5a5cd,2024-03-17T15:00:00,0.00,139421.58,1060277.97
synb1_txn_ae88c42d3b859a36cd73febd,2024-03-18T09:00:00,32512.80,0.00,1027765.17
synb1_txn_50296af8fc14c6ba7623a832,2024-03-18T09:00:00,7800.00,0.00,1019965.17
synb1_txn_5c3fb9ccdd010d32ff895134,2024-03-18T09:00:00,936.00,0.00,1019029.17
synb1_txn_e50ffe5674c8dbf837ff9fdf,2024-03-18T09:00:00,77000.00,0.00,942029.17
synb1_txn_8adcc6bc71624313a3c6ee71,2024-03-18T09:00:00,75710.64,0.00,866318.53
synb1_txn_87ebf856d67ac9992e008bf0,2024-03-18T09:00:00,3098.21,0.00,863220.32
synb1_txn_e2dad922b1aee9a86dac3d5e,2024-03-19T15:00:00,0.00,117796.85,981017.17
synb1_txn_9afbc4f56ab21ebdc15f939d,2024-03-22T15:00:00,0.00,5150.15,986167.32
synb1_txn_8590ea3bffe0e5299776d8b1,2024-03-23T09:00:00,117863.82,0.00,868303.50
synb1_txn_22c45d23683799657c8ddd01,2024-03-24T09:00:00,1147.54,0.00,867155.96
synb1_txn_64c0c07d9aa8587ba178fa5a,2024-03-25T09:00:00,1007.37,0.00,866148.59
synb1_txn_77dd3af9e2871eaf961719ac,2024-03-26T15:00:00,0.00,8192.99,874341.58
synb1_txn_a775c7cb0992123dbc3e251d,2024-03-26T15:00:00,0.00,22568.54,896910.12
synb1_txn_99d177d8ca429e74677ed334,2024-03-27T09:00:00,82351.44,0.00,814558.68
synb1_txn_77d4f83cc77f5daf5244d229,2024-03-27T15:00:00,0.00,30673.31,845231.99
synb1_txn_d151a46d5b87cc34bf51fe7a,2024-03-28T09:00:00,4819.36,0.00,840412.63
synb1_txn_3dadcb491c72c2cbfb73331f,2024-04-03T15:00:00,0.00,210399.53,1050812.16
synb1_txn_ce9be917f5babbb4f868b2d8,2024-04-04T09:00:00,22737.32,0.00,1028074.84
synb1_txn_b9258af9e95c6ea558a3f57a,2024-04-05T09:00:00,24000.00,0.00,1004074.84
synb1_txn_a1346c4317af31e2c3bb9e98,2024-04-05T09:00:00,21445.92,0.00,982628.92
synb1_txn_3ae1b391367ac4d7d252643b,2024-04-06T15:00:00,0.00,22844.20,1005473.12
synb1_txn_82fadb71706089fb8f78ef62,2024-04-07T09:00:00,70000.00,0.00,935473.12
synb1_txn_d332568620a32bbb6ce032ad,2024-04-07T15:00:00,0.00,13150.87,948623.99
synb1_txn_028b1a07e9e41373fdb4f3d2,2024-04-07T15:00:00,0.00,31883.42,980507.41
synb1_txn_c3049dc4080d83a6af1bc5e0,2024-04-09T15:00:00,0.00,33410.16,1013917.57
synb1_txn_bbaaa24ae579982c42d85780,2024-04-10T09:00:00,6669.26,0.00,1007248.31
synb1_txn_4a679f03099821362220f3e3,2024-04-10T09:00:00,1660.66,0.00,1005587.65
synb1_txn_fe91d656b3e6a55e530cf56a,2024-04-11T09:00:00,42665.47,0.00,962922.18
