transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_e2ee584d429ce06988326b92,2025-01-01T09:00:00,0.00,1203628.54,1203628.54
synb1_txn_08160c43f3d9a9c11b2c50d1,2025-01-03T11:42:05,415734.61,0.00,787893.93
synb1_txn_3ce97d14256b07c71e80854a,2025-01-07T17:55:41,25466.13,0.00,762427.80
synb1_txn_78632cacbe06a771a42cd452,2025-01-08T12:08:04,67707.35,0.00,694720.45
synb1_txn_6f3c5a25f4bcaf0ddc52861f,2025-01-10T13:51:30,0.00,808937.83,1503658.28
synb1_txn_7d2e20ad463a49690a97eb33,2025-01-11T09:13:42,16583.84,0.00,1487074.44
synb1_txn_a248fd0672f0e75c342936da,2025-01-11T13:44:05,409586.08,0.00,1077488.36
synb1_txn_6a7964901c1919a860d29d12,2025-01-14T15:04:47,447344.31,0.00,630144.05
synb1_txn_d700d045d748498dd881455a,2025-01-15T12:58:08,19475.12,0.00,610668.93
synb1_txn_edc552bcc7b0da692b70ac96,2025-01-16T09:32:46,16395.09,0.00,594273.84
synb1_txn_18ba48f7417644a6e3b712d8,2025-01-19T14:59:42,23039.44,0.00,571234.40
synb1_txn_f6fd1eff0dd5c936b32003aa,2025-01-21T14:29:09,14740.40,0.00,556494.00
synb1_txn_b2313d3edda8a0549b7b9372,2025-01-21T16:05:21,30174.64,0.00,526319.36
synb1_txn_daacc6ef3395d30d0f2b3b69,2025-01-21T17:12:40,317988.88,0.00,208330.48
synb1_txn_f77c713b873415e334009667,2025-01-22T11:18:30,24299.79,0.00,184030.69
synb1_txn_2af92209a0f530c3386e02bd,2025-01-23T13:22:55,55305.69,0.00,128725.00
synb1_txn_fab9e63d115ff60a7694a704,2025-01-27T16:53:53,0.00,584206.39,712931.39
synb1_txn_8d646e4a8bdadfe913a65519,2025-01-28T10:34:57,73406.44,0.00,639524.95
synb1_txn_fb19572af19f4861dc27a92c,2025-01-28T14:03:04,61030.52,0.00,578494.43
synb1_txn_8722c70d015419e44a5976db,2025-01-30T12:04:13,0.00,622694.80,1201189.23
synb1_txn_2fede8ea653282bc380be975,2025-01-31T17:25:48,0.00,558660.98,1759850.21
synb1_txn_6bcf2adccf8595bb7e62f172,2025-02-01T15:53:28,15946.78,0.00,1743903.43
synb1_txn_44117d40ae5864f66dd3999d,2025-02-03T09:00:00,0.00,3861750.00,5605653.43
synb1_txn_b4c12c6479457e566b6ee0ac,2025-02-03T10:51:13,536683.32,0.00,5068970.11
