transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_fe785f52520266f792aa4cf5,2024-01-01T09:00:00,0.00,2740000.00,2740000.00
synb1_txn_c2e75d9c473bb861512c0416,2024-01-02T09:00:00,24775.65,0.00,2715224.35
synb1_txn_dcbf82005a30bf1be6e030e5,2024-01-03T15:00:00,0.00,9424.25,2724648.60
synb1_txn_7d80ed2a7ce03f654e5276fe,2024-01-05T09:00:00,16500.00,0.00,2708148.60
synb1_txn_b1c49722734f831dc304f474,2024-01-07T09:00:00,46000.00,0.00,2662148.60
synb1_txn_24a8634dab3a47241ae16cc0,2024-01-07T15:00:00,0.00,112112.74,2774261.34
synb1_txn_882131c4e1d1274c0cc2d904,2024-01-08T09:00:00,924.96,0.00,2773336.38
synb1_txn_d5cabdeaf2668da9ded44d1d,2024-01-08T15:00:00,0.00,47904.57,2821240.95
synb1_txn_be55c4f09998f982a9dd3cb2,2024-01-11T15:00:00,0.00,11589.32,2832830.27
synb1_txn_90adb44347a910b219081e16,2024-01-15T09:00:00,88156.24,0.00,2744674.03
synb1_txn_b97601fe63382cddeda46329,2024-01-16T15:00:00,0.00,7969.12,2752643.15
synb1_txn_91bee6e0717f477ac34c6552,2024-01-17T09:00:00,23218.11,0.00,2729425.04
synb1_txn_302d24654b0cd03a279bcb25,2024-01-22T09:00:00,2605.94,0.00,2726819.10
synb1_txn_04d4fd43285dc0ff95c0d0cd,2024-01-24T09:00:00,1100.98,0.00,2725718.12
synb1_txn_40aa21abe70a99728c447f6c,2024-01-26T09:00:00,1914.67,0.00,2723803.45
synb1_txn_1a6f843f69694b5148aeb0c4,2024-01-27T09:00:00,1953.45,0.00,2721850.00
synb1_txn_552abf0474943e405ff704a4,2024-01-30T09:00:00,88000.00,0.00,2633850.00
synb1_txn_a58ed52f860aab0452ea7c3a,2024-02-02T15:00:00,0.00,78272.99,2712122.99
synb1_txn_94beac795eea1f672f0df576,2024-02-03T09:00:00,27738.82,0.00,2684384.17
synb1_txn_7d49099c512d33ff108e3b3b,2024-02-04T09:00:00,9501.57,0.00,2674882.60
synb1_txn_7ac2f7e6fa873f98c6807e67,2024-02-04T15:00:00,0.00,49371.68,2724254.28
synb1_txn_c3f38f8063d119892cb4f63c,2024-02-05T09:00:00,16500.00,0.00,2707754.28
synb1_txn_42e3a50156a1651a91b7b2e7,2024-02-05T09:00:00,52168.93,0.00,2655585.35
synb1_txn_82c9646c1a8ab0eb246bc334,2024-02-06T15:00:00,0.00,3859.89,2659445.24
synb1_txn_41477ed166c59e5819f775a7,2024-02-07T09:00:00,2951.67,0.00,2656493.57
synb1_txn_1726951dc48d920c147ad6e7,2024-02-07T09:00:00,46000.00,0.00,2610493.57
synb1_txn_209aeb06544ad1e22586d179,2024-02-07T09:00:00,2206.41,0.00,2608287.16
synb1_txn_d466b3b2113d6112c6622e0b,2024-02-09T15:00:00,0.00,22466.67,2630753.83
synb1_txn_ce63c9a8fc34e6f8c641fa2e,2024-02-10T09:00:00,43545.61,0.00,2587208.22
synb1_txn_b932f7730acb7ff84a5a9300,2024-02-11T15:00:00,0.00,876.19,2588084.41
synb1_txn_20adc1def94d294183258f60,2024-02-11T15:00:00,0.00,34194.52,2622278.93
synb1_txn_737fa7118c76b1fd3f106f1d,2024-02-12T09:00:00,26818.50,0.00,2595460.43
synb1_txn_ece11cf665c324b085661db5,2024-02-12T09:00:00,31860.06,0.00,2563600.37
synb1_txn_6c88e1294f7eaeae5bf2920c,2024-02-12T09:00:00,16984.59,0.00,2546615.78
synb1_txn_76fffbf7eec4e8421e990521,2024-02-12T15:00:00,0.00,54025.27,2600641.05
synb1_txn_197e95f413a0281db40726c3,2024-02-14T09:00:00,5242.59,0.00,2595398.46
synb1_txn_618b6febcfa3ab794d494b5b,2024-02-15T09:00:00,3699.91,0.00,2591698.55
synb1_txn_3e664f8e5c14d6dd83dee89d,2024-02-16T09:00:00,71740.89,0.00,2519957.66
synb1_txn_80c8cde18e7e48da1bf4e54e,2024-02-16T15:00:00,0.00,8511.07,2528468.73
synb1_txn_d09a8ac9db60c079db0ea730,2024-02-18T09:00:00,3216.00,0.00,2525252.73
synb1_txn_e38181379235f4ab7fbad602,2024-02-18T09:00:00,3500.00,0.00,2521752.73
synb1_txn_d5a09186d58def74eea3ab3e,2024-02-18T09:00:00,420.00,0.00,2521332.73
synb1_txn_628a3978fed1f09553478c53,2024-02-18T09:00:00,28630.84,0.00,2492701.89
synb1_txn_20fa6d5ca034067ede61e03d,2024-02-19T15:00:00,0.00,18297.75,2510999.64
synb1_txn_724c2284baca648af942481c,2024-02-25T09:00:00,1848.42,0.00,2509151.22
synb1_txn_63ef23937ef2f845a6e3da12,2024-02-25T09:00:00,19875.40,0.00,2489275.82
synb1_txn_d5ab950b672d91335a4c5367,2024-02-25T15:00:00,0.00,2562.96,2491838.78
synb1_txn_665fca00d1e8b8add652cf86,2024-02-26T15:00:00,0.00,9951.92,2501790.70
synb1_txn_cf2a6fe587474f4b295e2091,2024-02-27T09:00:00,71000.00,0.00,2430790.70
synb1_txn_6d6c60ef72931153f26ad837,2024-02-27T09:00:00,17545.79,0.00,2413244.91
synb1_txn_f62197c164d875583e5a5d85,2024-02-28T15:00:00,0.00,32575.33,2445820.24
synb1_txn_b0a4a8d49f92e41f6c70d5aa,2024-02-28T15:00:00,0.00,56633.76,2502454.00
synb1_txn_71822bc7ce2bb54c03f19ae6,2024-03-02T09:00:00,47324.91,0.00,2455129.09
synb1_txn_a3b72f146d23dfdca5883083,2024-03-04T09:00:00,8400.36,0.00,2446728.73
synb1_txn_6a58918cf8f7ef64c2da6726,2024-03-04T15:00:00,0.00,21259.45,2467988.18
synb1_txn_8d85bbc2040b38ca33e9b26f,2024-03-05T09:00:00,16500.00,0.00,2451488.18
synb1_txn_90687b269d7a6d5b52389e88,2024-03-05T09:00:00,11538.52,0.00,2439949.66
synb1_txn_20c90a6bb68c4cf992c7e30b,2024-03-05T15:00:00,0.00,42307.90,2482257.56
synb1_txn_ec5e9d943e5e6ea3491e1235,2024-03-05T15:00:00,0.00,39124.73,2521382.29
synb1_txn_ae1f15245c27fb580673193b,2024-03-06T15:00:00,0.00,5320.40,2526702.69
synb1_txn_38d2159c03a4bc93893baa5a,2024-03-06T15:00:00,0.00,177767.37,2704470.06
synb1_txn_8d2ca9d2db74cf04fa00f273,2024-03-07T09:00:00,46000.00,0.00,2658470.06
synb1_txn_e3ac013580e4655ec94df350,2024-03-07T09:00:00,39376.39,0.00,2619093.67
synb1_txn_dd061923ffa60a7a75931ec1,2024-03-07T15:00:00,0.00,1126.85,2620220.52
synb1_txn_de96ecb5b7d854131eba47a9,2024-03-07T15:00:00,0.00,418.40,2620638.92
synb1_txn_ce30d62ce175b873947523ce,2024-03-09T09:00:00,40602.20,0.00,2580036.72
synb1_txn_efe6dbdcb013fdf37ad555b4,2024-03-10T09:00:00,28109.58,0.00,2551927.14
synb1_txn_4363138cacf5295a425d709c,2024-03-11T09:00:00,99.64,0.00,2551827.50
