calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_0ab108a6903166f96c81c80a,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,100827.74,2,3499172.26,last_posted_transaction_or_prior_closing_balance,synb1_txn_b9d32219451fb3b549c6aee3,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,3499172.26,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,3499172.26,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,3499172.26,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,158604.08,1,3340568.18,last_posted_transaction_or_prior_closing_balance,synb1_txn_14f3bd9e57dfdf27964f349c,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,0.00,0,3340568.18,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,0.00,0.00,0,3340568.18,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,49869.27,0.00,1,3390437.45,last_posted_transaction_or_prior_closing_balance,synb1_txn_3f3b5f4482745c6b5fdc7778,trusted,weekday_rule,base_calendar,True,8,2025-01-12,complete
2025-01-11,0.00,0.00,0,3390437.45,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,14141.88,1,3376295.57,last_posted_transaction_or_prior_closing_balance,synb1_txn_9ae21a2975c0f45478d884d6,trusted,historical_transaction_override,historical_transaction_override,True,9,2025-01-13,complete
2025-01-13,0.00,0.00,0,3376295.57,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2025-01-14,complete
2025-01-14,34908.50,0.00,1,3411204.07,last_posted_transaction_or_prior_closing_balance,synb1_txn_ec0d1b2142785f6126705405,trusted,weekday_rule,base_calendar,True,11,2025-01-15,complete
2025-01-15,0.00,16498.86,1,3394705.21,last_posted_transaction_or_prior_closing_balance,synb1_txn_aa230aa99e23ad0dd8ca4b86,trusted,weekday_rule,base_calendar,True,12,2025-01-16,complete
2025-01-16,0.00,0.00,0,3394705.21,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-17,complete
2025-01-17,0.00,0.00,0,3394705.21,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,14,2025-01-18,complete
2025-01-18,100394.73,53927.71,2,3441172.23,last_posted_transaction_or_prior_closing_balance,synb1_txn_8eedda1e988f5c21226a082f,trusted,historical_transaction_override,historical_transaction_override,True,15,2025-01-19,complete
2025-01-19,0.00,60207.82,2,3380964.41,last_posted_transaction_or_prior_closing_balance,synb1_txn_242abfaf543ad2934ca67337,trusted,historical_transaction_override,historical_transaction_override,True,16,2025-01-20,complete
2025-01-20,0.00,10954.08,1,3370010.33,last_posted_transaction_or_prior_closing_balance,synb1_txn_64cd0d0afca4eae9a23bb1fb,trusted,weekday_rule,base_calendar,True,17,2025-01-21,complete
2025-01-21,0.00,19610.08,1,3350400.25,last_posted_transaction_or_prior_closing_balance,synb1_txn_34826945cac1b1b45a9ecc2f,trusted,weekday_rule,base_calendar,True,18,2025-01-22,complete
2025-01-22,111549.71,83803.69,3,3378146.27,last_posted_transaction_or_prior_closing_balance,synb1_txn_b857eba7cc9f9f0d2f1f0739,trusted,weekday_rule,base_calendar,True,19,2025-01-23,complete
2025-01-23,0.00,22750.80,1,3355395.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_ede733602eac8acdcfefc74f,trusted,weekday_rule,base_calendar,True,20,2025-01-24,complete
2025-01-24,58284.72,27709.89,2,3385970.30,last_posted_transaction_or_prior_closing_balance,synb1_txn_8667efe9271a63e4a1f594f0,trusted,weekday_rule,base_calendar,True,21,2025-01-25,complete
2025-01-25,0.00,72807.63,1,3313162.67,last_posted_transaction_or_prior_closing_balance,synb1_txn_845bd01bff6d5d9ee23226c9,trusted,historical_transaction_override,historical_transaction_override,True,22,2025-01-26,complete
2025-01-26,149874.99,9488.74,2,3453548.92,last_posted_transaction_or_prior_closing_balance,synb1_txn_67182562db843dafcea0fd0d,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,23,2025-01-27,complete
2025-01-27,0.00,21315.30,1,3432233.62,last_posted_transaction_or_prior_closing_balance,synb1_txn_07ee9536cea81fd0214f1c8c,trusted,weekday_rule,base_calendar,True,24,2025-01-28,complete
2025-01-28,58284.72,0.00,1,3490518.34,last_posted_transaction_or_prior_closing_balance,synb1_txn_38b98a199b832c0d4a74582b,trusted,historical_transaction_override,historical_transaction_override,True,25,2025-01-29,complete
2025-01-29,0.00,15023.85,1,3475494.49,last_posted_transaction_or_prior_closing_balance,synb1_txn_1cb547e92ed0d32e2b5f0a76,trusted,historical_transaction_override,historical_transaction_override,True,26,2025-01-30,complete
2025-01-30,83263.89,0.00,1,3558758.38,last_posted_transaction_or_prior_closing_balance,synb1_txn_fdba035466ac4b398ca3f846,trusted,historical_transaction_override,historical_transaction_override,True,27,2025-01-31,complete
2025-01-31,0.00,75512.11,2,3483246.27,last_posted_transaction_or_prior_closing_balance,synb1_txn_b64db651bf3fbb3244fbed9d,trusted,historical_transaction_override,historical_transaction_override,True,28,2025-02-02,complete
2025-02-01,0.00,0.00,0,3483246.27,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-02,85064.20,0.00,1,3568310.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_747f49bcdf434c88cf5d63a2,trusted,historical_transaction_override,historical_transaction_override,True,29,2025-02-03,complete
2025-02-03,0.00,81750.47,3,3486560.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_7fbeb1dde6c4e0345f2797c8,trusted,historical_transaction_override,historical_transaction_override,True,30,2025-02-05,complete
