transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_959c3a69af61686cf9aedfd0,2024-01-01T09:00:00,0.00,1633500.00,1633500.00
synb1_txn_17476415c751b3bf8e7b4814,2024-01-02T09:00:00,1606.30,0.00,1631893.70
synb1_txn_aec7d367f17d7c287cc6c67f,2024-01-04T15:00:00,0.00,28624.94,1660518.64
synb1_txn_459684e94cb3a1689dc2db40,2024-01-05T09:00:00,5500.00,0.00,1655018.64
synb1_txn_6a17500e32ed5ee1835644cf,2024-01-07T09:00:00,24000.00,0.00,1631018.64
synb1_txn_9efdfed77cf881823e06ff4d,2024-01-09T09:00:00,450.10,0.00,1630568.54
synb1_txn_40af0cf21b90462c78bd35a3,2024-01-09T09:00:00,25531.09,0.00,1605037.45
synb1_txn_3474143f962aea4be518598a,2024-01-12T09:00:00,44127.20,0.00,1560910.25
synb1_txn_040553698eb479ec6167b4c7,2024-01-12T15:00:00,0.00,488.70,1561398.95
synb1_txn_cec0bf4a8a5087a5c8f46c9a,2024-01-13T09:00:00,9745.11,0.00,1551653.84
synb1_txn_f2af1e0fe3067558606564f7,2024-01-14T09:00:00,22540.86,0.00,1529112.98
synb1_txn_7f0d67bbb8cf62a6c36b2105,2024-01-16T15:00:00,0.00,80214.73,1609327.71
synb1_txn_fd604d0ba522e0cdb6f98a49,2024-01-17T09:00:00,867.99,0.00,1608459.72
synb1_txn_1457ffd465eae1a9a4bedca3,2024-01-19T09:00:00,10647.94,0.00,1597811.78
synb1_txn_cbfca08d53d414885341021c,2024-01-22T09:00:00,60000.00,0.00,1537811.78
synb1_txn_c17958d6b50c021e7e0d1239,2024-01-26T09:00:00,1044.08,0.00,1536767.70
synb1_txn_d8605e042537eb810d8c408b,2024-01-26T09:00:00,231.53,0.00,1536536.17
synb1_txn_96df1cf90e2bff59ba46df2e,2024-01-28T15:00:00,0.00,4193.63,1540729.80
synb1_txn_51dd0c922f037c6329bf555f,2024-02-02T09:00:00,4080.79,0.00,1536649.01
synb1_txn_842123cf9c6c2c8c98475301,2024-02-03T09:00:00,4224.52,0.00,1532424.49
synb1_txn_60dd72a1861d78edbd8cb376,2024-02-03T09:00:00,2938.78,0.00,1529485.71
synb1_txn_52e1f97c567ce85d55d0c562,2024-02-04T09:00:00,746.45,0.00,1528739.26
synb1_txn_129eb9a28057b52509422289,2024-02-05T09:00:00,5500.00,0.00,1523239.26
synb1_txn_14642cfed3cd6f5354db1f3a,2024-02-05T09:00:00,2834.06,0.00,1520405.20
synb1_txn_307a7d4f21cd9c24538d17a2,2024-02-05T09:00:00,7490.16,0.00,1512915.04
synb1_txn_7c77b9eed27f90d07c9a44c3,2024-02-05T15:00:00,0.00,5566.73,1518481.77
synb1_txn_8a988e18c9e52c7f77b3473a,2024-02-05T15:00:00,0.00,19949.30,1538431.07
synb1_txn_0a7dde44ebd6e69c033d9c75,2024-02-06T09:00:00,4147.28,0.00,1534283.79
synb1_txn_36d3b97f7d5e2a5e06131b94,2024-02-06T15:00:00,0.00,6953.51,1541237.30
synb1_txn_f073c9d9d8968a68dacd497f,2024-02-07T09:00:00,24000.00,0.00,1517237.30
synb1_txn_16abd5093a2f512de2cc8be4,2024-02-08T15:00:00,0.00,25101.88,1542339.18
synb1_txn_1ca06c3b918051b4e5d7de82,2024-02-10T09:00:00,12775.91,0.00,1529563.27
synb1_txn_0d482219d9c57db7c45d4d8a,2024-02-11T09:00:00,52.72,0.00,1529510.55
synb1_txn_74f9adf6118d0e06c0579d5b,2024-02-11T09:00:00,918.66,0.00,1528591.89
synb1_txn_125ab5b4c8036774703245cb,2024-02-14T15:00:00,0.00,1347.54,1529939.43
synb1_txn_509cfb34e293e8edc4ef41b9,2024-02-16T09:00:00,25152.42,0.00,1504787.01
synb1_txn_222aa5c72f02b3cebd517fb3,2024-02-18T09:00:00,5300.65,0.00,1499486.36
synb1_txn_00b22a51e1e22bc26858c382,2024-02-18T09:00:00,1831.00,0.00,1497655.36
synb1_txn_6e2cced1f2c77451962fc5d4,2024-02-18T09:00:00,219.72,0.00,1497435.64
synb1_txn_908f7beb46c875991a8a6225,2024-02-19T09:00:00,3755.10,0.00,1493680.54
synb1_txn_0d94d107e0da6c9e830cef1d,2024-02-20T09:00:00,50000.00,0.00,1443680.54
synb1_txn_c1294cd9bf292fb6d49791c0,2024-02-20T15:00:00,0.00,7592.38,1451272.92
synb1_txn_c72a525813926dc12cd20a65,2024-02-20T15:00:00,0.00,2164.06,1453436.98
synb1_txn_53104c837c9a795e43944302,2024-02-20T15:00:00,0.00,25769.42,1479206.40
synb1_txn_5e1931cc5e7574f585e12ef2,2024-02-21T09:00:00,1497.06,0.00,1477709.34
synb1_txn_774682b275d8089dc4371179,2024-02-21T15:00:00,0.00,2390.54,1480099.88
synb1_txn_55667e2c7822d013eb6f4717,2024-02-23T15:00:00,0.00,404.66,1480504.54
synb1_txn_b11207e6d550dbabdaec4294,2024-02-23T15:00:00,0.00,3413.11,1483917.65
synb1_txn_9965b4d3f01bc4a168bf1dec,2024-02-24T09:00:00,779.76,0.00,1483137.89
synb1_txn_ce0b2568cc9502830dfcdb60,2024-02-26T09:00:00,27642.40,0.00,1455495.49
synb1_txn_850ca3a4e8f99b79ecb4c86d,2024-02-28T09:00:00,1835.33,0.00,1453660.16
synb1_txn_bb21faf2f1680cdc5c38da8c,2024-02-28T15:00:00,0.00,33900.87,1487561.03
synb1_txn_f7e7d3fe74acd516ba545bbf,2024-03-04T09:00:00,3158.01,0.00,1484403.02
synb1_txn_89126ef0537692eb53ca397f,2024-03-04T15:00:00,0.00,95697.09,1580100.11
synb1_txn_d79c02c807df9d0dde848bf5,2024-03-05T09:00:00,5500.00,0.00,1574600.11
synb1_txn_21b0a5eab85af86cbdd708d1,2024-03-06T09:00:00,23979.45,0.00,1550620.66
synb1_txn_dd6e674c058745db0dcdac5d,2024-03-06T15:00:00,0.00,1141.45,1551762.11
synb1_txn_f9dad5a615b1ae9b27f47970,2024-03-07T09:00:00,24000.00,0.00,1527762.11
synb1_txn_20c2b4ccb240e2c2191b55a4,2024-03-07T15:00:00,0.00,156095.15,1683857.26
synb1_txn_f868ad68fa4439e6ac6460bb,2024-03-08T09:00:00,12934.07,0.00,1670923.19
synb1_txn_a0340ff884289c2f3b0cea97,2024-03-13T09:00:00,276.38,0.00,1670646.81
synb1_txn_cde63a2efcd7e67262fa563d,2024-03-16T09:00:00,6034.81,0.00,1664612.00
synb1_txn_c13348b68b093ea320d7f8b8,2024-03-16T09:00:00,35942.79,0.00,1628669.21
synb1_txn_f1b24dd6b2896cf4f0c43c7c,2024-03-17T09:00:00,13.08,0.00,1628656.13
synb1_txn_d5171def2c9526d643477b56,2024-03-18T09:00:00,151.64,0.00,1628504.49
synb1_txn_b92c22d59491253f77c6259a,2024-03-18T09:00:00,1048.00,0.00,1627456.49
synb1_txn_a06c4d3010fa50ffba48184c,2024-03-18T09:00:00,125.76,0.00,1627330.73
