transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_a54c9b6a51c475ec7291b348,2024-01-01T09:00:00,流入,1250000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a1c3ee72ea8500e24e037bc6,2024-01-03T09:00:00,流出,4962.02,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0c157258164199c1b467eb92,2024-01-03T09:00:00,流出,332.84,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1509f00db80cbc28c0a619e7,2024-01-04T15:00:00,流入,127460.19,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fbb6ee8343c65764d4470360,2024-01-04T15:00:00,流入,99746.13,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f9df0cf6e51179d0602b7110,2024-01-05T09:00:00,流出,26000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ae8da30f98384c1baa69d081,2024-01-08T15:00:00,流入,87066.42,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1a62b579c4ae6912c4460300,2024-01-13T09:00:00,流出,1642.12,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_89835fa1000868bfaac37a29,2024-01-14T15:00:00,流入,2178.28,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9f10dd53d6150c6d53f8aba7,2024-01-15T15:00:00,流入,48462.69,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e8f99c334e2949b5f89408a3,2024-01-17T09:00:00,流出,10967.22,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f3c65cd7a54883921b91f37f,2024-01-19T09:00:00,流出,5998.95,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
