transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_039b06c20409194cf7e034eb,2024-01-01T09:00:00,流入,5050000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_949c5d68de6e8980b0004211,2024-01-03T15:00:00,流入,99785.08,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d0f3d2507fd3b9632160f67c,2024-01-04T15:00:00,流入,18218.42,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ef59bf82a7df63ef723e59d4,2024-01-05T09:00:00,流出,23000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c1e434d43175eafe6d287167,2024-01-05T15:00:00,流入,179614.16,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d8777d1a134c16c2c6f63a18,2024-01-06T09:00:00,流出,962.31,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f99bfe7f0e8e834161c26ea6,2024-01-07T09:00:00,流出,66000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bdb42648adf28b69aaa742bd,2024-01-08T09:00:00,流出,61443.02,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ad0c84c28f13e72ed1386808,2024-01-08T09:00:00,流出,11164.55,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_78cfa70625810d048ec44189,2024-01-09T09:00:00,流出,2763.73,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ae00aec892a349c5e703c0a7,2024-01-09T15:00:00,流入,31136.09,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5533cfc43c39f9eb1269e5f7,2024-01-14T09:00:00,流出,34282.21,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
