transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_ebf009e887b18c83fe8897a8,2025-01-01T09:00:00,流入,643206.75,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_edf0105380060817a563472f,2025-01-01T10:50:40,流出,192300.57,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dc8556d1503522293cee2b7a,2025-01-02T14:28:51,流出,11689.20,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c248596b61968d56f528ea3b,2025-01-04T14:01:59,流出,159227.69,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9e33e41670bf401fed317320,2025-01-06T15:49:48,流出,12476.80,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6e1894477755b833952ceddc,2025-01-08T16:42:36,流出,193585.83,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b4589400d0f1619195fc8256,2025-01-10T12:21:22,流出,3220.23,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cafca3ad071ccbb8fda6a37f,2025-01-11T09:43:57,流出,9423.98,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cd4cefe98ea9a39b7af934f9,2025-01-19T12:21:37,流出,3002.45,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a17eaca5c019880e148c3d8d,2025-01-20T16:33:49,流入,319117.82,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5bf4537c9fc33112ffd19f27,2025-01-23T16:17:42,流出,2910.10,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_66c770f7cfb4edc242ca7bb4,2025-01-25T10:57:24,流入,271467.23,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_014a87a25e7beac1d9f15c62,2025-01-29T14:14:43,流出,2523.22,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c28d338e9bfad8f18e7ea5e9,2025-01-30T12:49:00,流出,196192.56,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_80f29930fc4988e5f44e27f3,2025-01-30T14:48:51,流入,257390.54,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f999ea1c116b6382dead4ce2,2025-01-31T10:53:20,流入,317624.41,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3330a636db9d62a6dc470e4c,2025-01-31T13:49:30,流出,13034.02,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9b448181169d37e7df3c567c,2025-02-01T12:37:29,流入,171635.30,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_15b6db5b9ba7daaa689f6d8d,2025-02-03T09:00:00,流入,1748400.00,银行借款到账,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bb4202aafb5ecfb5cc16cf5b,2025-02-03T13:34:38,流出,2387.29,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c2bc279aae65caa846e13b6b,2025-02-06T11:42:57,流入,173522.72,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a937c3b27704dca74c6d1f11,2025-02-06T13:14:01,流出,2857.86,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fcc854f510461ec3e4400ea5,2025-02-07T12:34:28,流出,324291.71,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cafb37ca4ef15952f2f76f73,2025-02-08T17:13:00,流出,9619.74,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a7778acec1907b68f6479c79,2025-02-11T10:42:15,流出,3142.79,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f7be792287e15428790352a3,2025-02-11T14:48:18,流入,176503.65,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a1e876b30df704b53421f0f4,2025-02-11T16:18:38,流出,3268.06,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_08f121aa9a330c88011b80b1,2025-02-17T09:40:02,流入,163711.13,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_67ddce1c0d8183ff35d7a439,2025-02-19T14:29:32,流出,13190.04,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eb39621092527544d5b2dc4c,2025-02-20T15:44:06,流出,432559.53,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_277c40bc5d5c91ca8554c414,2025-02-21T14:33:31,流出,13320.17,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bc96172cfdcd3e36b6c0eafc,2025-02-22T10:34:53,流出,10494.05,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1c294fad8ddeaac513bba41b,2025-02-23T10:32:10,流出,370566.88,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
