transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_ebf009e887b18c83fe8897a8,2025-01-01T09:00:00,0.00,643206.75,643206.75
synb1_txn_edf0105380060817a563472f,2025-01-01T10:50:40,192300.57,0.00,450906.18
synb1_txn_dc8556d1503522293cee2b7a,2025-01-02T14:28:51,11689.20,0.00,439216.98
synb1_txn_c248596b61968d56f528ea3b,2025-01-04T14:01:59,159227.69,0.00,279989.29
synb1_txn_9e33e41670bf401fed317320,2025-01-06T15:49:48,12476.80,0.00,267512.49
synb1_txn_6e1894477755b833952ceddc,2025-01-08T16:42:36,193585.83,0.00,73926.66
synb1_txn_b4589400d0f1619195fc8256,2025-01-10T12:21:22,3220.23,0.00,70706.43
synb1_txn_cafca3ad071ccbb8fda6a37f,2025-01-11T09:43:57,9423.98,0.00,61282.45
synb1_txn_cd4cefe98ea9a39b7af934f9,2025-01-19T12:21:37,3002.45,0.00,58280.00
synb1_txn_a17eaca5c019880e148c3d8d,2025-01-20T16:33:49,0.00,319117.82,377397.82
synb1_txn_5bf4537c9fc33112ffd19f27,2025-01-23T16:17:42,2910.10,0.00,374487.72
synb1_txn_66c770f7cfb4edc242ca7bb4,2025-01-25T10:57:24,0.00,271467.23,645954.95
synb1_txn_014a87a25e7beac1d9f15c62,2025-01-29T14:14:43,2523.22,0.00,643431.73
synb1_txn_c28d338e9bfad8f18e7ea5e9,2025-01-30T12:49:00,196192.56,0.00,447239.17
synb1_txn_80f29930fc4988e5f44e27f3,2025-01-30T14:48:51,0.00,257390.54,704629.71
synb1_txn_f999ea1c116b6382dead4ce2,2025-01-31T10:53:20,0.00,317624.41,1022254.12
synb1_txn_3330a636db9d62a6dc470e4c,2025-01-31T13:49:30,13034.02,0.00,1009220.10
synb1_txn_9b448181169d37e7df3c567c,2025-02-01T12:37:29,0.00,171635.30,1180855.40
synb1_txn_15b6db5b9ba7daaa689f6d8d,2025-02-03T09:00:00,0.00,1748400.00,2929255.40
synb1_txn_bb4202aafb5ecfb5cc16cf5b,2025-02-03T13:34:38,2387.29,0.00,2926868.11
synb1_txn_c2bc279aae65caa846e13b6b,2025-02-06T11:42:57,0.00,173522.72,3100390.83
synb1_txn_a937c3b27704dca74c6d1f11,2025-02-06T13:14:01,2857.86,0.00,3097532.97
