calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_799a911eea29586d5f462ab3,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,94745.61,2,3505254.39,last_posted_transaction_or_prior_closing_balance,synb1_txn_1c4b42891cfc6cfdf9a64092,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,3505254.39,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,3505254.39,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,3505254.39,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,148317.63,1,3356936.76,last_posted_transaction_or_prior_closing_balance,synb1_txn_e34c90a2439b9d8d40480584,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,0.00,0,3356936.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,0.00,0.00,0,3356936.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,0.00,0.00,0,3356936.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-13,complete
2025-01-11,0.00,0.00,0,3356936.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,0.00,0,3356936.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,0.00,0,3356936.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2025-01-14,complete
2025-01-14,0.00,0.00,0,3356936.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2025-01-15,complete
2025-01-15,0.00,0.00,0,3356936.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-16,complete
2025-01-16,0.00,29086.57,1,3327850.19,last_posted_transaction_or_prior_closing_balance,synb1_txn_1eeec1dd7935047c366e529f,trusted,weekday_rule,base_calendar,True,12,2025-01-17,complete
2025-01-17,0.00,0.00,0,3327850.19,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-18,complete
2025-01-18,19471.49,0.00,1,3347321.68,last_posted_transaction_or_prior_closing_balance,synb1_txn_c8403120c6388ac47c368d50,trusted,historical_transaction_override,historical_transaction_override,True,14,2025-01-19,complete
2025-01-19,0.00,30408.69,1,3316912.99,last_posted_transaction_or_prior_closing_balance,synb1_txn_36f7361e7a17ffbe48c55602,trusted,historical_transaction_override,historical_transaction_override,True,15,2025-01-20,complete
2025-01-20,0.00,24081.41,1,3292831.58,last_posted_transaction_or_prior_closing_balance,synb1_txn_22a01bae775f4b8831ff4db2,trusted,weekday_rule,base_calendar,True,16,2025-01-21,complete
2025-01-21,0.00,0.00,0,3292831.58,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2025-01-22,complete
2025-01-22,86062.74,21868.04,3,3357026.28,last_posted_transaction_or_prior_closing_balance,synb1_txn_47790a5354bd19991230ef7d,trusted,weekday_rule,base_calendar,True,18,2025-01-23,complete
2025-01-23,41318.97,60741.83,4,3337603.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_3644727cc9ce42ef6386c454,trusted,weekday_rule,base_calendar,True,19,2025-01-24,complete
2025-01-24,0.00,0.00,0,3337603.42,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,20,2025-01-25,complete
2025-01-25,0.00,82775.72,2,3254827.70,last_posted_transaction_or_prior_closing_balance,synb1_txn_14c6d42fe6b26ce9fa40d98e,trusted,historical_transaction_override,historical_transaction_override,True,21,2025-01-26,complete
2025-01-26,11835.62,79068.31,4,3187595.01,last_posted_transaction_or_prior_closing_balance,synb1_txn_7fbabe12bb45ea76e2409383,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,22,2025-01-27,complete
2025-01-27,55091.98,0.00,1,3242686.99,last_posted_transaction_or_prior_closing_balance,synb1_txn_864796a91db58bd0f46e2b9c,trusted,weekday_rule,base_calendar,True,23,2025-01-29,complete
2025-01-28,0.00,0.00,0,3242686.99,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-29,0.00,20968.73,1,3221718.26,last_posted_transaction_or_prior_closing_balance,synb1_txn_5d6976d70ae79f594bc6e1ce,trusted,historical_transaction_override,historical_transaction_override,True,24,2025-01-30,complete
2025-01-30,30485.67,0.00,1,3252203.93,last_posted_transaction_or_prior_closing_balance,synb1_txn_5f09879d15201d2acec92f61,trusted,historical_transaction_override,historical_transaction_override,True,25,2025-01-31,complete
2025-01-31,0.00,11214.40,1,3240989.53,last_posted_transaction_or_prior_closing_balance,synb1_txn_a665c5513512e74f0e021049,trusted,historical_transaction_override,historical_transaction_override,True,26,2025-02-01,complete
2025-02-01,38603.37,0.00,1,3279592.90,last_posted_transaction_or_prior_closing_balance,synb1_txn_85881b6dd9e9be0383f86846,trusted,historical_transaction_override,historical_transaction_override,True,27,2025-02-02,complete
2025-02-02,0.00,17460.56,1,3262132.34,last_posted_transaction_or_prior_closing_balance,synb1_txn_8b55e214a344e397735cbab8,trusted,historical_transaction_override,historical_transaction_override,True,28,2025-02-03,complete
2025-02-03,56344.06,44779.56,4,3273696.84,last_posted_transaction_or_prior_closing_balance,synb1_txn_1d4398eeecdc71322d61e6f9,trusted,historical_transaction_override,historical_transaction_override,True,29,2025-02-05,complete
2025-02-04,0.00,0.00,0,3273696.84,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-05,53615.80,27160.89,2,3300151.75,last_posted_transaction_or_prior_closing_balance,synb1_txn_ad41803a610f4637559b3f64,trusted,weekday_rule,base_calendar,True,30,2025-02-06,complete
2025-02-06,0.00,0.00,0,3300151.75,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,31,2025-02-07,complete
2025-02-07,66694.24,148317.63,3,3218528.36,last_posted_transaction_or_prior_closing_balance,synb1_txn_82c40c485222cff7b9b4e30d,trusted,weekday_rule,base_calendar,True,32,2025-02-08,complete
2025-02-08,0.00,0.00,0,3218528.36,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,33,2025-02-09,complete
2025-02-09,37726.02,14583.66,2,3241670.72,last_posted_transaction_or_prior_closing_balance,synb1_txn_d3e804532761cb1bbf5ad4a2,trusted,historical_transaction_override,historical_transaction_override,True,34,2025-02-10,complete
