transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_4bb89df277077323ee324584,2024-01-01T09:00:00,流入,3000000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d7680025f18bdb58cc19eddd,2024-01-03T15:00:00,流入,38780.09,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_69d003113fa46eadab8fd5e8,2024-01-04T09:00:00,流出,117635.37,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_78edaf1df56173ee5e70e3c7,2024-01-04T15:00:00,流入,211649.69,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9fc11505065836202d65b16b,2024-01-05T09:00:00,流出,29000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a23b06d44ca9ba76b10d4810,2024-01-06T09:00:00,流出,78.10,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_817479ca7fa49dcdb560f9da,2024-01-06T15:00:00,流入,38638.57,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_95345713c6fe4e1501310f50,2024-01-07T09:00:00,流出,101000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_56287d99cfa4b3bb19b20132,2024-01-08T09:00:00,流出,169041.29,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_874d025bd083aa311d4bb6c8,2024-01-12T09:00:00,流出,6062.50,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ab8e94c0059e3efc5e03d7f4,2024-01-12T09:00:00,流出,2840.55,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5f2680a8f939d9f155fb36d0,2024-01-15T15:00:00,流入,254040.28,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_450fd746072b39a98cb0d11d,2024-01-15T15:00:00,流入,21119.60,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8e456126486f0b6e03ffc9e1,2024-01-18T09:00:00,流出,11987.28,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f01f9ce25809863183fbdf45,2024-01-19T09:00:00,流出,27982.79,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a12bbf01aa25c689da5330ce,2024-01-19T15:00:00,流入,181961.82,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8d7209b9d6696d786e1794d8,2024-01-21T09:00:00,流出,3244.63,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1bda918d4f98d6164309255f,2024-01-26T15:00:00,流入,23433.24,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
