transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_2a103578aae1c96a210f22db,2024-01-01T09:00:00,流入,1617200.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5cacded5e0ba7c8e2e8717de,2024-01-02T09:00:00,流出,302392.76,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a7297c14e6a3a143747c60ea,2024-01-05T09:00:00,流出,6888.45,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cfe9d302088d176869f66561,2024-01-05T09:00:00,流出,31000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e4f4047196913dd96baf8e9d,2024-01-06T09:00:00,流出,10935.22,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3ee1c0a42e137f757f94dc0d,2024-01-07T09:00:00,流出,105000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bec38b830dd9206d89ef6b60,2024-01-09T09:00:00,流出,188130.89,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ee87a01ba8b71c614749a892,2024-01-10T09:00:00,流出,1832.29,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ed1306c1e273c9a53ee941e7,2024-01-13T15:00:00,流入,29782.64,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_26a7404f769713d3f7df6151,2024-01-14T15:00:00,流入,300143.67,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5550d3364f10f76714fe8352,2024-01-15T15:00:00,流入,73106.94,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9ededc2dfe5de74fff6ad2bb,2024-01-19T09:00:00,流出,4238.98,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1610bdddfe956baba7675ae3,2024-01-20T09:00:00,流出,169143.89,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7ededcdca517284f71d811e5,2024-01-20T09:00:00,流出,5543.84,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a566c465d180635532354411,2024-01-22T09:00:00,流出,4599.01,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fc5d8abbc86f404a50d1e560,2024-01-22T15:00:00,流入,96938.15,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
