transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_b744d674f6932cb67d3bdb13,2024-01-01T09:00:00,流入,1000000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8bd289c31e3f9d37b011b751,2024-01-02T09:00:00,流出,272.99,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c740ce12d1f2d85691ad289e,2024-01-02T15:00:00,流入,30342.40,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3add452874940fc9c74a0bfa,2024-01-05T09:00:00,流出,6500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b8293aab46586e419e3dd014,2024-01-07T09:00:00,流出,28000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_56312dd929d804feefca012f,2024-01-08T09:00:00,流出,2048.64,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6f6bbefd96ac10032ae955e6,2024-01-08T09:00:00,流出,39290.12,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_426083101b921f1c16a2146f,2024-01-12T09:00:00,流出,6912.68,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9689910200a3c84366305ab4,2024-01-13T15:00:00,流入,17180.80,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1a21d6e97244464736a3501e,2024-01-17T15:00:00,流入,31542.83,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_950231b3a8dd1440b8d53eff,2024-01-19T09:00:00,流出,50000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e674e13cf8dfe0ce96a6767e,2024-01-19T09:00:00,流出,2843.93,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e71236d16821278718c22ce7,2024-01-19T09:00:00,流出,89.90,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c273e3e57feb72fdc1c513c7,2024-01-21T09:00:00,流出,17.53,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e1258a7461f38618fea9f1b4,2024-01-21T15:00:00,流入,48461.47,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e7bd5c10fe5c5f16ad6d9de3,2024-01-22T15:00:00,流入,2848.92,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_19e3159ae48a594d7ad235cb,2024-01-22T15:00:00,流入,4370.33,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6bb2c2d9f852ebf146fadab7,2024-01-25T09:00:00,流出,320.44,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
