transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_e4d0893d20f77e3738dea834,2024-01-01T09:00:00,流入,5200000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c909ce6e14161afbb0b65360,2024-01-02T09:00:00,流出,1718.68,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4e68a8580b4bad808d96ca43,2024-01-03T09:00:00,流出,121847.40,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0bd5703ba4b901c212780112,2024-01-04T09:00:00,流出,7247.27,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_79ea69ff098cd691bd64973a,2024-01-05T09:00:00,流出,35000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d965e70b683b85a2354a9814,2024-01-08T15:00:00,流入,75258.96,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2a4a49fa82b8254c5f7ced48,2024-01-09T09:00:00,流出,4465.33,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a2358eef629f29cb3783c668,2024-01-10T09:00:00,流出,72497.36,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_382fea040e3498c82801a6e7,2024-01-11T15:00:00,流入,79175.39,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4ce7f083f978d3f793d5a6d1,2024-01-12T09:00:00,流出,2830.70,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c5f7b0d25bd17eacddfc29d9,2024-01-12T09:00:00,流出,70135.24,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_253fbd2ba1cedf81ac0da248,2024-01-13T09:00:00,流出,32388.33,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_caf263d79ff1fbdb6998d2a9,2024-01-18T15:00:00,流入,71451.79,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e13efe6eb834bf86d87a6683,2024-01-20T15:00:00,流入,72243.90,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_57a71f1acd7eeaea1e2f3fa2,2024-01-20T15:00:00,流入,13260.51,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_85ce6e42b184757f2a93a7c4,2024-01-21T15:00:00,流入,479.88,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d7451905e07f028a4e310e2b,2024-01-22T09:00:00,流出,270969.66,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_257d3a24cc87f1f9d578e152,2024-01-25T09:00:00,流出,1388.71,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_be89b5a8b2d49290fdeb437e,2024-01-25T09:00:00,流出,227909.93,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e24bf45f244f02257dee9209,2024-01-26T15:00:00,流入,19443.90,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_65ede8ef314de519ad13d9e3,2024-01-27T09:00:00,流出,6067.99,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1f57e5c9a55df1db1c3048e5,2024-01-28T09:00:00,流出,110000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b57eae5a8359c130a4db7c61,2024-01-28T15:00:00,流入,64799.90,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4800e95247778ac09c086189,2024-01-28T15:00:00,流入,21575.77,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f9939f9cff8409a04e1cb242,2024-02-02T15:00:00,流入,123421.19,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5ce1b82cf4e7ba1be3e10a83,2024-02-05T09:00:00,流出,16002.82,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d54a47ece2153157fab0693f,2024-02-05T09:00:00,流出,35000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d04e17331d226dbef29c1809,2024-02-05T09:00:00,流出,269725.64,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_faccd1434731546d43636276,2024-02-05T09:00:00,流出,180261.98,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_082d6685a81a2c15cf8da43b,2024-02-06T15:00:00,流入,14340.59,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1480d5cd78fd35533ce9c8f8,2024-02-07T15:00:00,流入,171413.26,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3f91855c2976e7e925903565,2024-02-10T09:00:00,流出,3901.47,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_70fc7ee0ac510ec0916053e1,2024-02-11T15:00:00,流入,2204.55,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3e2bcb5d594854d6ca5ea127,2024-02-11T15:00:00,流入,30002.82,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_540409833fbaf44b65b21953,2024-02-12T09:00:00,流出,5166.04,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0aa1dc8f912f873e8dcc29d9,2024-02-16T15:00:00,流入,38693.74,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_655e9c3281ae68252ea16b73,2024-02-16T15:00:00,流入,104557.31,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f35f47a933ba847f2b94fdb0,2024-02-18T09:00:00,流出,6426.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3696acbf58bd3d1c53f3ef57,2024-02-18T09:00:00,流出,771.12,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_020b3059da0b266c076d4e57,2024-02-18T15:00:00,流入,60257.13,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e6819720697cec08df05642b,2024-02-19T09:00:00,流出,172337.30,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fd4b1a51e3fd9a4ec33d97b7,2024-02-20T09:00:00,流出,92579.50,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a973f87205a0f0e0f7a027cf,2024-02-22T15:00:00,流入,897978.42,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7d18ffb29d483e29ae0cf7e2,2024-02-24T09:00:00,流出,189347.66,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d5e9beb3632896d84013ce3a,2024-02-24T09:00:00,流出,64370.63,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d8285fd8f137d37391d7fb28,2024-02-25T15:00:00,流入,24680.20,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2e6f7e7dce428943746ce8be,2024-02-26T09:00:00,流出,103430.62,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d1543fc8d2068ebc25289d77,2024-02-27T15:00:00,流入,129.61,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_88610fc432a6a40a188836d6,2024-02-27T15:00:00,流入,10301.18,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9814399dd8f2038cb73453f5,2024-02-28T09:00:00,流出,2095.71,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a3c77eb74b2aec232bd0ac38,2024-02-28T09:00:00,流出,110000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c7d82c8f098e9278ac2846e2,2024-02-28T09:00:00,流出,3939.83,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5a0204103d94716da3034bcb,2024-03-02T09:00:00,流出,2240.86,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_50577d8532b3d8e132f7cf69,2024-03-02T15:00:00,流入,1511.26,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f50e7292e15f20cf7ce077d1,2024-03-02T15:00:00,流入,67023.29,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ba3fe338880471a06da718a2,2024-03-03T09:00:00,流出,244883.95,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6b79151156cc37ad15dad171,2024-03-03T09:00:00,流出,31003.49,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_92a602705d287e376368e66f,2024-03-03T15:00:00,流入,84690.04,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_77de0783d2895eeac869edaa,2024-03-04T15:00:00,流入,138230.65,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_018fb2720b30de1cadfb7ee9,2024-03-05T09:00:00,流出,35000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_02309e90cd041fdbe697da66,2024-03-06T15:00:00,流入,13366.75,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_57dd21d16ae83c2bb247995b,2024-03-07T09:00:00,流出,30284.38,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0025ad3f472c82f4bb27863b,2024-03-13T15:00:00,流入,32869.67,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b0fc43d338a0c691161fdb61,2024-03-14T09:00:00,流出,16032.45,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cecbeb76f39cff7a0d77faea,2024-03-15T15:00:00,流入,122655.23,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_63332f6872c6ce486e48666f,2024-03-16T09:00:00,流出,1492.19,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f1c53c5eded6e535f53e21a,2024-03-17T09:00:00,流出,4257.14,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c65b6288750c915b22ac5f27,2024-03-17T09:00:00,流出,218.22,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ecf8157fce8ae807e41dc7f0,2024-03-17T15:00:00,流入,24371.67,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2c5a3d790114d9d12a14c025,2024-03-17T15:00:00,流入,251381.52,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fd151f07b61a68560cd16980,2024-03-18T09:00:00,流出,66382.92,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_edadd9e2a9eac36b1aee66b4,2024-03-18T09:00:00,流出,19278.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_833ac5a18057fc7fcbc8f34a,2024-03-18T09:00:00,流出,2313.36,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bcc7408de2410ab2e74e4dc6,2024-03-21T09:00:00,流出,6834.75,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_61c88a82090d2c4a200e6d12,2024-03-23T09:00:00,流出,41425.22,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5dd58a8de0bed6abb0b7c795,2024-03-24T09:00:00,流出,51896.53,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_00b5190d61aa9f7e87437b4b,2024-03-24T15:00:00,流入,43871.44,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4cf2786d9eed1c118433210f,2024-03-25T15:00:00,流入,212998.48,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4a4aff6207d369d9785afedb,2024-03-26T09:00:00,流出,38808.65,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3cae5d1729a6b4e0c403d052,2024-03-28T09:00:00,流出,110000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ae3e0c66bd387bf5d3a8cf78,2024-03-28T09:00:00,流出,59694.77,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cfb7c56db9cb8b12976feb75,2024-04-02T09:00:00,流出,209928.08,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ff4904fac14c6c830daa2fe8,2024-04-02T09:00:00,流出,375715.70,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ae72a246a40504c540734933,2024-04-02T15:00:00,流入,17610.13,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0747d560fa1b7aec4e4cc2f6,2024-04-02T15:00:00,流入,39100.48,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_373e870246c953cf977d9200,2024-04-04T15:00:00,流入,26965.84,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bccf9279467cb7a917a790b3,2024-04-05T09:00:00,流出,35000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d30b254a8b85dfc03288b469,2024-04-07T15:00:00,流入,35560.86,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_48fc95e0ea5288b1c574173b,2024-04-08T09:00:00,流出,630000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8f6d4878a59b6871c81fe04c,2024-04-08T15:00:00,流入,70929.08,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4286121c669303b90f7d06a0,2024-04-09T15:00:00,流入,4229.91,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6d6bcb0689776d6f079fe8f0,2024-04-09T15:00:00,流入,15975.97,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_373044f8e88944419f6fa8dc,2024-04-13T15:00:00,流入,199834.38,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_150dcd47002986a6955d1494,2024-04-14T09:00:00,流出,896.41,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_90cc7bfb36bb71968823c11d,2024-04-14T15:00:00,流入,827.39,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_70d184663cb5198d29177ac6,2024-04-14T15:00:00,流入,27822.01,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7583be171e65b0781b977f2f,2024-04-16T09:00:00,流出,9660.49,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_38a739e57ae107932fd34088,2024-04-16T15:00:00,流入,16615.24,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8d044302048617270a057db1,2024-04-17T09:00:00,流出,57019.63,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_41d993377661b6a1cdec8fae,2024-04-17T15:00:00,流入,3678.85,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f828b3da4fd143086dbf583a,2024-04-18T09:00:00,流出,4896.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f9bcea3f04c552714b322578,2024-04-18T09:00:00,流出,587.52,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6d90b7b5ea34e7e3d0ed6ef0,2024-04-19T09:00:00,流出,681.52,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a8a5b9d678f1f9e3bd866d4f,2024-04-19T09:00:00,流出,119030.09,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_353e7969d27d0d0402839fd4,2024-04-20T09:00:00,流出,3791.43,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_faf42707699b8b3c0a6314eb,2024-04-20T09:00:00,流出,54019.54,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_319657d7c1547ae539b5bb14,2024-04-20T09:00:00,流出,4042.44,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f63e2ff2beed96b6532047c3,2024-04-24T09:00:00,流出,14147.38,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b28735ae3dddc328696f4e14,2024-04-24T15:00:00,流入,6103.99,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6d2d02814a6328183eedf4a1,2024-04-25T15:00:00,流入,66961.53,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_957093d48c98abab94de1b94,2024-04-25T15:00:00,流入,56834.34,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5630ee49d29d049d43d3d041,2024-04-28T09:00:00,流出,6274.69,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_119609f882ac15173ab58817,2024-04-28T09:00:00,流出,110000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8030d97ba8176d3dc7ae7f9c,2024-05-02T09:00:00,流出,76415.71,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c9dc732236e5297e8ad352c1,2024-05-02T09:00:00,流出,8456.22,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2f3ad8fdcb58c7e478e64e4e,2024-05-03T09:00:00,流出,3168.25,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b4dca6b981be7077bd3d7b12,2024-05-03T15:00:00,流入,7739.34,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4db2c1d8dda77adce3d45509,2024-05-04T09:00:00,流出,114554.55,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6069481eb3e981e7daa74ee1,2024-05-05T09:00:00,流出,35000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4ec79c8b76621fc994e2d14b,2024-05-07T15:00:00,流入,42994.63,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b2aeb8a508972b584600997f,2024-05-07T15:00:00,流入,116.24,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_97680baf147dbeee98166266,2024-05-10T15:00:00,流入,12185.65,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b3fd636d054a527a29ac4149,2024-05-10T15:00:00,流入,51596.96,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d00485432eecdf5e1044b514,2024-05-11T15:00:00,流入,53341.47,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_af3fcd659d44f53ba514b926,2024-05-12T15:00:00,流入,123615.46,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9bb2c83a9f39f160e6b99733,2024-05-13T09:00:00,流出,4391.55,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_939e90315733f9d1ee82b712,2024-05-13T15:00:00,流入,963200.96,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9399130cafb900ed940519e5,2024-05-15T09:00:00,流出,7528.20,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a328c455d9f6ae8d3846ae38,2024-05-16T09:00:00,流出,13446.60,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9580f8463f7a9d7e7a0676af,2024-05-17T09:00:00,流出,993.60,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4b7db0763cd62a765448906c,2024-05-17T09:00:00,流出,411033.28,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_086ffe66b8ee3ac2af4fd471,2024-05-17T15:00:00,流入,13496.75,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ff2802f6401eb1d3973f882a,2024-05-18T09:00:00,流出,270000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_de9ab285a8d614edf616bf11,2024-05-18T09:00:00,流出,58019.49,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_33ba6e1115242fd1773ffa55,2024-05-20T09:00:00,流出,6426.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1f4260cd2eb136088308b69b,2024-05-20T09:00:00,流出,771.12,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_12012d214b33b558215fb45a,2024-05-20T15:00:00,流入,43438.96,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2c45c555c8248980847f59f0,2024-05-21T09:00:00,流出,11104.73,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4fd56a26c7558e4c3004b7d2,2024-05-22T09:00:00,流出,14667.46,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b8040f8b330b85ad1a8b352b,2024-05-22T15:00:00,流入,166253.58,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7f9123ac02cd92aa989e032d,2024-05-24T09:00:00,流出,115028.99,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1559a31ff729174afb3d42d9,2024-05-26T09:00:00,流出,39221.25,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_66ced647f5f0c691d991da94,2024-05-28T09:00:00,流出,110000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8abf386468347b0231090e64,2024-05-28T09:00:00,流出,37490.12,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_96ac4ac6059023d2f46a6642,2024-06-02T15:00:00,流入,25193.64,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6ee7b743d088f1f6ea9df377,2024-06-04T15:00:00,流入,24706.96,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_266128d9ed11fd53a11db035,2024-06-04T15:00:00,流入,59263.69,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_92be44b997103663a4f818d1,2024-06-05T09:00:00,流出,35000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c769b991c14a4cad4cb29584,2024-06-05T15:00:00,流入,15240.01,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_61c79fe2d7111300790784dc,2024-06-07T09:00:00,流出,137729.50,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0ec2b9bc4f39ac09b394f1a7,2024-06-08T09:00:00,流出,18943.07,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a3f0ff58afe4984b57e2e127,2024-06-09T09:00:00,流出,62382.79,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a23b02bc8d58739a8230de43,2024-06-09T15:00:00,流入,416048.88,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e3ba308fa950df3b5488089f,2024-06-10T09:00:00,流出,38025.60,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4bcb80ffb43ec0bfdfe85352,2024-06-10T15:00:00,流入,50917.73,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
