transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_22c014d9987636a3c0b77fe5,2024-01-01T09:00:00,流入,850000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7b001c9de6be1b70f060c0ae,2024-01-03T09:00:00,流出,23651.46,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7e3b0eb31dd65ac9f39b35af,2024-01-05T09:00:00,流出,12000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9ef334e92b45bf44a2b71d22,2024-01-07T09:00:00,流出,36000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_11463cbd70e6fb00a7702356,2024-01-07T15:00:00,流入,15392.05,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_721c06f47d494ac7d0409f14,2024-01-08T09:00:00,流出,28006.37,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3684c516f2d0f9a674ca1708,2024-01-10T15:00:00,流入,34616.55,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_984cb590ade508782db8b494,2024-01-10T15:00:00,流入,15613.39,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3db4905ff2a6a7aaa266180d,2024-01-10T15:00:00,流入,10538.04,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f7f9bf00983726e19e273a10,2024-01-11T15:00:00,流入,14941.68,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_266f60d59f68daaba7084735,2024-01-12T09:00:00,流出,4211.86,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fb89a91acfd1d5b75d3ce240,2024-01-12T09:00:00,流出,2778.05,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_07ea984798eabf387324052c,2024-01-14T09:00:00,流出,16844.40,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_121c4c05028b72f3fde139b3,2024-01-14T15:00:00,流入,21395.11,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_49e7903e27de79c3bf62531d,2024-01-15T15:00:00,流入,102089.85,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ffd664ab11d02dfb2e79ef99,2024-01-18T15:00:00,流入,25413.33,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ff80ecfe261d2c096dff2da6,2024-01-19T09:00:00,流出,1788.14,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6e311c441b1828cec34b4d90,2024-01-19T09:00:00,流出,77768.87,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b6af75640338e085e527b4e3,2024-01-23T09:00:00,流出,48950.85,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_76a4488eb7c7c68dd327be7e,2024-02-05T09:00:00,流出,12000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_426a00b491b3def12fa44be7,2024-02-05T15:00:00,流入,3221.96,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_27f88c81053decc7f4f79c77,2024-02-07T09:00:00,流出,36000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8b657ad0ca0d16a1fc070653,2024-02-07T09:00:00,流出,105791.54,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fb127bda1830e1464215291a,2024-02-07T15:00:00,流入,32324.61,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bafb45ec8660a9e55afc9b02,2024-02-09T09:00:00,流出,24209.20,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cdd7d655009cd766d801495a,2024-02-11T09:00:00,流出,12048.93,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_117a02f30f33d046d1bb008b,2024-02-11T15:00:00,流入,134547.93,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_70348212910702168fec2ff7,2024-02-12T15:00:00,流入,25566.26,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9d1000f5ba68c49cfbe98b5f,2024-02-14T09:00:00,流出,9577.22,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_32b050ee4ffeb22cd369e51e,2024-02-15T09:00:00,流出,14975.36,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7049dc7b52ad5c3447095be8,2024-02-15T09:00:00,流出,8397.75,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_764b5da7d36f8844db606256,2024-02-15T15:00:00,流入,4719.31,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1738e4e45e24b1bd5be2b68a,2024-02-16T15:00:00,流入,6123.97,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bcbcf16a999b59296d4c52b6,2024-02-18T09:00:00,流出,3062.40,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2eb115decef4409502d6701a,2024-02-18T09:00:00,流出,2400.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
