transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_8df38c87c7434aee2076bb18,2025-01-01T09:00:00,流入,28991285.92,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8c00bd7f288f93601d3f8cb4,2025-01-14T12:58:40,流出,51091.99,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_985a0d95252e0a1729f21395,2025-01-17T10:46:29,流出,58276.38,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e31f99c030918297cf7afcca,2025-01-20T14:09:25,流出,1581440.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_197bb7f4244439488458fcf0,2025-01-20T17:12:19,流出,281068.97,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d2abbebd3ffabb0ab73cd99d,2025-01-29T10:21:32,流出,58735.08,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_38dfca3a47376799e3f519a5,2025-02-02T11:56:23,流出,62762.46,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b20cfd40ae567d2843b3ffb5,2025-02-13T14:58:57,流出,53632.16,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bcb251d3b7bdf0308b5ae7bf,2025-02-14T15:26:29,流出,281068.97,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2f0d85fe2d5397c3c36c69cc,2025-02-20T09:04:57,流出,1581440.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3058b3ef07c717aec7ab6f57,2025-02-21T13:56:14,流出,51708.83,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6f7f32c2ba9c6080ab9097ce,2025-02-25T09:00:00,流出,212567.36,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6c64d5627a484680cdaafe9a,2025-02-25T09:00:00,流出,25508.08,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5f2021f5b460f43639e8f5d9,2025-03-03T09:00:00,流入,18155172.00,银行借款到账,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4c89cac2637ec67332793a02,2025-03-05T09:29:43,流出,52353.06,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ba10728edb216ae96074ca07,2025-03-06T15:55:07,流出,281068.97,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_430c29123a09b993625b0249,2025-03-08T15:48:10,流出,905231.37,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_45b1b573cc02fa71273e3941,2025-03-15T16:35:45,流出,1581440.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e331cf2d410e5cb72b97b435,2025-03-16T09:33:41,流出,968599.38,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_afe4475216f68701db488517,2025-03-18T10:29:10,流入,1129306.84,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_365bf4d48c31847d03eb0ede,2025-03-19T10:20:43,流出,1005661.98,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
