transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_4de2556ea65a1f967d4928d0,2025-01-01T09:00:00,0.00,128254.33,128254.33
synb1_txn_1a9fd605a278ed65b908d528,2025-01-06T14:05:13,7009.01,0.00,121245.32
synb1_txn_84ec40eca69b5231072ced12,2025-01-08T12:37:57,26105.65,0.00,95139.67
synb1_txn_4bcdd1cdcc8c8173afc5a5f7,2025-01-09T13:55:52,28689.67,0.00,66450.00
synb1_txn_693f278109b0c27e79e9d786,2025-01-10T14:34:57,0.00,361247.34,427697.34
synb1_txn_eaca6330bcc654f6db46fce6,2025-01-11T17:47:08,0.00,300137.37,727834.71
synb1_txn_f72e2471d01961cf65908e3f,2025-01-14T10:33:03,239787.61,0.00,488047.10
synb1_txn_09acc1d09ec05ee4f54d52dd,2025-01-17T10:30:24,29132.14,0.00,458914.96
synb1_txn_188369245751c824d80c006d,2025-01-18T15:11:35,22525.44,0.00,436389.52
synb1_txn_841b1156be2b425a68367d0f,2025-01-18T17:35:25,185162.19,0.00,251227.33
synb1_txn_a89d53db5d3bf84bb395f0b6,2025-01-19T11:58:37,6357.48,0.00,244869.85
synb1_txn_a1b9b654aad277e0e7899e0e,2025-01-19T14:06:07,0.00,295480.18,540350.03
synb1_txn_08aea200c39bab473102c1d3,2025-01-23T11:39:31,216108.05,0.00,324241.98
synb1_txn_77123cd447893603d822b341,2025-01-24T11:32:50,205208.62,0.00,119033.36
synb1_txn_7d5d799730a8b33ea7e9a8ac,2025-01-25T09:55:06,0.00,372135.11,491168.47
synb1_txn_2b29b03ed095f30ab5242dbc,2025-01-29T09:03:56,5699.93,0.00,485468.54
synb1_txn_1a0ea45c639bc87fce0f1f46,2025-01-29T15:03:52,7513.58,0.00,477954.96
synb1_txn_9f33ef54945ff2a815881711,2025-02-01T11:08:43,7481.66,0.00,470473.30
synb1_txn_e6f4afb756a646fc1476243b,2025-02-01T17:06:39,0.00,210869.57,681342.87
synb1_txn_06453776b90e256b4277f0d8,2025-02-02T10:17:12,26672.56,0.00,654670.31
synb1_txn_c7e6a019cc518c4acf4b4201,2025-02-02T10:52:18,0.00,239434.08,894104.39
synb1_txn_9c41dc10df1697276c4ae7f1,2025-02-03T09:00:00,0.00,1993500.00,2887604.39
synb1_txn_1f74d68add0ab2442ef44892,2025-02-03T10:08:33,416342.91,0.00,2471261.48
synb1_txn_2150e6dbdc3b9df8db0629c8,2025-02-03T17:58:18,0.00,170879.25,2642140.73
synb1_txn_2957054235174d176f41a275,2025-02-07T12:46:17,6303.73,0.00,2635837.00
synb1_txn_d38281d51c2c82733eea4088,2025-02-07T17:53:24,357626.94,0.00,2278210.06
synb1_txn_21cfc1a09ba516edecd28d45,2025-02-08T12:31:43,363393.38,0.00,1914816.68
synb1_txn_e4d659ddc36ef4d92d0a4a02,2025-02-11T16:21:09,24646.89,0.00,1890169.79
synb1_txn_0409c96c131d8aff28829cbd,2025-02-12T17:46:35,6414.72,0.00,1883755.07
synb1_txn_c9477bc25d0719679c847945,2025-02-13T17:57:33,300252.86,0.00,1583502.21
synb1_txn_5ed345e9d0871259c29d67f4,2025-02-15T09:36:42,6379.89,0.00,1577122.32
synb1_txn_eeda7394f52c486a415ea9c1,2025-02-15T14:05:55,25426.65,0.00,1551695.67
synb1_txn_8a8c70a2e316f38bdb9600e2,2025-02-15T17:47:53,29706.80,0.00,1521988.87
synb1_txn_7952e881f77741d4bb494317,2025-02-17T12:04:04,0.00,192165.10,1714153.97
synb1_txn_6d4eca759b297786afc80dd7,2025-03-01T14:16:58,323221.44,0.00,1390932.53
synb1_txn_8a01285c27b7f301af8d8237,2025-03-03T09:00:00,6117.04,0.00,1384815.49
synb1_txn_f6319f0e0769b4a9ccc073ae,2025-03-06T15:06:38,245804.35,0.00,1139011.14
synb1_txn_1d299d40d27850dec14197d2,2025-03-09T17:12:56,27108.93,0.00,1111902.21
synb1_txn_0d6434fff5cd07bc8e4a3b25,2025-03-10T14:58:45,6949.13,0.00,1104953.08
synb1_txn_8e5a4f83be9724627810862e,2025-03-12T09:24:53,0.00,573422.98,1678376.06
synb1_txn_3a920add27ffcf1cbe56ca19,2025-03-13T09:07:22,7672.59,0.00,1670703.47
synb1_txn_07639597efbd4ba2059406bc,2025-03-17T09:46:44,0.00,445967.29,2116670.76
synb1_txn_ca9cbf6fc5dd3f8afe3b2f39,2025-03-17T10:29:28,26499.31,0.00,2090171.45
synb1_txn_ac30d6bb7eeafd676025c216,2025-03-17T17:15:26,6513.85,0.00,2083657.60
synb1_txn_6120d6d8d2a2513981e746b9,2025-03-19T10:04:01,241462.66,0.00,1842194.94
synb1_txn_f37fe2e820349a3fe3052823,2025-03-19T12:56:28,290541.39,0.00,1551653.55
synb1_txn_f4db7f0a0b7ef50ce079256a,2025-03-21T15:08:34,0.00,455512.44,2007165.99
synb1_txn_da13def6d4f47f43810f8512,2025-03-24T10:27:19,0.00,449489.29,2456655.28
synb1_txn_d2b5aa9aa0364cdbcc91f75d,2025-03-24T17:17:12,25594.32,0.00,2431060.96
synb1_txn_9497dbca76739d542b191f45,2025-03-25T14:38:18,27250.34,0.00,2403810.62
synb1_txn_0d31ac9b50e68372fafa7c98,2025-03-26T12:33:12,5444.43,0.00,2398366.19
synb1_txn_a0848374b25a3bca16e448e5,2025-04-02T09:26:13,6735.24,0.00,2391630.95
synb1_txn_2e9539eded6fc927343bedf3,2025-04-03T09:00:00,6772.44,0.00,2384858.51
synb1_txn_7e73cbdf7ee50980b9c0a01a,2025-04-04T13:54:29,6836.20,0.00,2378022.31
synb1_txn_384aed3edf3f25350ad24402,2025-04-05T10:11:21,225192.75,0.00,2152829.56
synb1_txn_d216ddf8ec1c0548ca2af07b,2025-04-05T14:21:18,28621.02,0.00,2124208.54
synb1_txn_30610830393361db6e28393a,2025-04-05T14:56:07,290447.80,0.00,1833760.74
synb1_txn_18136365c00703acf4ce00d7,2025-04-06T13:15:23,0.00,358924.94,2192685.68
synb1_txn_f0da9e2c10b26e72b661ed56,2025-04-07T10:08:15,26808.97,0.00,2165876.71
synb1_txn_a99eba1bff096194b2b0d69b,2025-04-07T14:49:29,0.00,433633.64,2599510.35
synb1_txn_57107f83378d9918eba4b2f2,2025-04-08T17:41:44,7021.38,0.00,2592488.97
synb1_txn_baba6a3582b9ff9acc301710,2025-04-10T10:45:20,332116.00,0.00,2260372.97
synb1_txn_ff460b20f7a4c2782432894d,2025-04-12T17:00:17,231760.18,0.00,2028612.79
synb1_txn_4e0f1be02839417469b70018,2025-04-19T15:28:18,26057.43,0.00,2002555.36
synb1_txn_d0a78a2fb457e32b60894b6f,2025-04-22T09:52:47,0.00,313306.36,2315861.72
synb1_txn_7daf289d714534b1fde9c7ee,2025-04-22T14:20:50,24965.48,0.00,2290896.24
synb1_txn_f9fd8d60fe1598f63515c003,2025-04-24T11:29:00,5987.18,0.00,2284909.06
synb1_txn_9fc539791866219658715b8c,2025-04-28T09:00:00,88783.91,0.00,2196125.15
synb1_txn_9bc3500da98d3237eb212739,2025-04-28T09:00:00,40667.40,0.00,2155457.75
synb1_txn_3b8203d4694110087106bdad,2025-04-28T09:00:00,4880.08,0.00,2150577.67
synb1_txn_81930bd1c6e788f44e6c8116,2025-04-30T17:55:53,0.00,302875.06,2453452.73
synb1_txn_375ac5aaf98442460b72e0a1,2025-05-01T10:00:54,25059.61,0.00,2428393.12
synb1_txn_0eff90a17df40ad540077687,2025-05-02T09:36:35,7924.56,0.00,2420468.56
synb1_txn_4342f2f7d8a4d664e835d5c3,2025-05-03T09:00:00,6553.97,0.00,2413914.59
synb1_txn_626a530c8957eced35aae885,2025-05-03T17:37:34,6730.60,0.00,2407183.99
synb1_txn_2961fce5a9d26a7ab7503367,2025-05-04T14:36:45,28224.48,0.00,2378959.51
synb1_txn_e7eaf433f53052f53579bb82,2025-05-06T10:35:47,28114.45,0.00,2350845.06
synb1_txn_25543178129d9a45e6c46ce5,2025-05-06T16:27:40,0.00,376975.54,2727820.60
synb1_txn_5eda1956a03a2404bb37920c,2025-05-07T17:12:20,0.00,382108.65,3109929.25
synb1_txn_b61ad5292c7bd3d388fa963f,2025-05-12T10:34:20,0.00,291115.73,3401044.98
synb1_txn_8fe7722dee093b2e98f32d28,2025-05-12T16:51:59,25054.36,0.00,3375990.62
synb1_txn_7c84f55072c0508ccb4ae1ce,2025-05-16T16:08:19,333334.26,0.00,3042656.36
synb1_txn_3569b507b275221ae2af5877,2025-05-18T14:53:10,317390.95,0.00,2725265.41
synb1_txn_a4f4a7879c7b2221555df542,2025-05-21T10:28:46,5923.40,0.00,2719342.01
synb1_txn_0b82fb00023c49389a7e98cc,2025-05-24T11:05:26,243036.13,0.00,2476305.88
synb1_txn_47f639dbc5abbd7bad0aae12,2025-05-24T11:27:28,0.00,385120.08,2861425.96
synb1_txn_c8aae3e60f0dce21812045d0,2025-05-26T12:48:09,6001.44,0.00,2855424.52
synb1_txn_d6c25dd478fec73b02a1b847,2025-05-28T10:11:06,230553.83,0.00,2624870.69
synb1_txn_111617808d986e9bba4573e9,2025-06-03T09:00:00,6772.44,0.00,2618098.25
synb1_txn_5e03c6c78418664b49ae0de3,2025-06-05T12:22:10,6234.70,0.00,2611863.55
synb1_txn_acb4f0928d7af42daa792736,2025-06-06T15:07:02,27604.30,0.00,2584259.25
synb1_txn_09fc63ee6c2f8d47ccabc1ff,2025-06-08T09:02:33,7217.00,0.00,2577042.25
synb1_txn_7152d6853abb30fccce9b828,2025-06-10T16:51:20,0.00,318218.71,2895260.96
synb1_txn_4d31aee1b2e7663db501901c,2025-06-12T12:47:47,7060.02,0.00,2888200.94
synb1_txn_2d0fa77f893ddf6ff691be67,2025-06-12T16:12:05,272626.25,0.00,2615574.69
synb1_txn_be1a2af10f166ca44b0fe2cf,2025-06-15T09:54:26,321487.04,0.00,2294087.65
synb1_txn_4c33aec680cc2cbd58f82dd3,2025-06-16T11:41:15,325774.99,0.00,1968312.66
synb1_txn_c2e999998446b1f987392db9,2025-06-19T11:44:52,27124.95,0.00,1941187.71
synb1_txn_a8ccf030de99dbe94a18f318,2025-06-20T10:17:09,0.00,364367.73,2305555.44
synb1_txn_6884d9049d827306df145df6,2025-06-20T13:04:51,0.00,377892.14,2683447.58
synb1_txn_27f05a18aa60cfa6fd51da06,2025-06-23T12:16:37,23193.68,0.00,2660253.90
synb1_txn_db2ec3df3cf1732c46001c09,2025-06-23T17:53:40,225294.92,0.00,2434958.98
synb1_txn_7ed4545fbcff53443700883a,2025-06-27T14:21:51,6068.28,0.00,2428890.70
synb1_txn_4b0fdf86bb40b535e0bd82a1,2025-06-28T16:49:18,28529.97,0.00,2400360.73
