transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_82d652c868b1dc079d5739e6,2024-01-01T09:00:00,0.00,1150000.00,1150000.00
synb1_txn_4d320e74477b17299daddef6,2024-01-04T15:00:00,0.00,4622.32,1154622.32
synb1_txn_4c54b97c987c137bdf2c0e4e,2024-01-04T15:00:00,0.00,6389.29,1161011.61
synb1_txn_1ddde66ae0f87af261a27d9e,2024-01-05T09:00:00,7000.00,0.00,1154011.61
synb1_txn_5ba5f7b49b80af9393f9dcfe,2024-01-05T09:00:00,28062.79,0.00,1125948.82
synb1_txn_fb815c8b0c041640e9be042c,2024-01-07T09:00:00,1005.68,0.00,1124943.14
synb1_txn_2e713c98fccdf989813a5520,2024-01-07T09:00:00,30000.00,0.00,1094943.14
synb1_txn_e987074f47dd03cfc2737869,2024-01-08T09:00:00,344.25,0.00,1094598.89
synb1_txn_b395c3a944088b1234e790cf,2024-01-11T09:00:00,239.83,0.00,1094359.06
synb1_txn_85bc767611e6a5676becf68c,2024-01-12T09:00:00,35477.51,0.00,1058881.55
synb1_txn_890dc62aa787abe63aade21f,2024-01-15T09:00:00,27570.61,0.00,1031310.94
synb1_txn_5d5f47503b4f64040354b776,2024-01-17T15:00:00,0.00,62628.08,1093939.02
synb1_txn_f76e203d1aa0946f1e5a0c75,2024-01-22T09:00:00,3910.24,0.00,1090028.78
synb1_txn_fd7c0fe2f7fd4c679ad93701,2024-01-22T15:00:00,0.00,66360.31,1156389.09
synb1_txn_be9626275c6e89bcbfce4ce7,2024-01-23T09:00:00,2344.46,0.00,1154044.63
synb1_txn_18da55cc704c847e006b8764,2024-01-25T09:00:00,26458.97,0.00,1127585.66
synb1_txn_f141ba5712bac1b3115e2b96,2024-01-25T09:00:00,2136.34,0.00,1125449.32
synb1_txn_790941e2f2ef3aba82adea64,2024-01-28T09:00:00,23449.32,0.00,1102000.00
synb1_txn_d4f84c7de4f6f74002b1eb6f,2024-02-04T09:00:00,13532.97,0.00,1088467.03
synb1_txn_fab6314b78cb955b13880815,2024-02-05T09:00:00,7000.00,0.00,1081467.03
synb1_txn_6922a2df3af8382773ea8de8,2024-02-05T09:00:00,7192.57,0.00,1074274.46
synb1_txn_a22859e80890b6f6023140f2,2024-02-05T15:00:00,0.00,5116.12,1079390.58
synb1_txn_c7110b9da1dc2d3cf6d4f310,2024-02-06T15:00:00,0.00,29931.87,1109322.45
synb1_txn_1394863c6d2c87885a139ac6,2024-02-07T09:00:00,30000.00,0.00,1079322.45
synb1_txn_ccc844b9c107c4971fdd5f78,2024-02-08T15:00:00,0.00,83444.36,1162766.81
