transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_619ce28f95da2b0575d1ce41,2025-01-01T09:00:00,0.00,654360.80,654360.80
synb1_txn_4f2d294d036afa2151ba400c,2025-01-01T09:32:34,0.00,140939.18,795299.98
synb1_txn_502995387123436bdc221ea1,2025-01-06T13:11:53,3639.58,0.00,791660.40
synb1_txn_e230b37c325dd6f3756b6aba,2025-01-08T11:17:32,4236.69,0.00,787423.71
synb1_txn_e7d2599560df384d4d56c241,2025-01-12T16:23:50,0.00,103133.39,890557.10
synb1_txn_ce2c2b49cd6c2aa2cf705e3a,2025-01-14T14:56:09,3610.15,0.00,886946.95
synb1_txn_bc59ac8105fceaece5fa855a,2025-01-15T10:33:44,4052.87,0.00,882894.08
synb1_txn_741776e31f4a41807f1fa204,2025-01-15T13:27:44,0.00,113919.31,996813.39
synb1_txn_1ef6f2eb9c313f552e4015d7,2025-01-16T09:10:41,11806.86,0.00,985006.53
synb1_txn_3abd0856480faff09c17b5e6,2025-01-17T13:37:41,102092.77,0.00,882913.76
synb1_txn_0ab3a9a1bddc3aad26333409,2025-01-18T15:38:10,2992.20,0.00,879921.56
synb1_txn_e6b61339b92ff94aaaa89714,2025-01-19T11:06:15,97960.37,0.00,781961.19
synb1_txn_f44b73c7f65d6f541cc4285e,2025-01-21T09:35:58,4767.33,0.00,777193.86
synb1_txn_b02d1cc28c728d641e755d49,2025-01-21T10:30:20,11045.66,0.00,766148.20
synb1_txn_bc9bb0083e0e9777351ae3b7,2025-01-21T12:11:20,12963.33,0.00,753184.87
synb1_txn_d4a4bdf169df48e297903dc1,2025-01-22T12:43:54,3717.07,0.00,749467.80
synb1_txn_3215f58737c359feefcbbca7,2025-01-24T12:34:07,0.00,138808.93,888276.73
synb1_txn_9993b40b618a8e526dbceee8,2025-01-24T14:01:19,98546.96,0.00,789729.77
synb1_txn_42913c33b519f4519b385976,2025-01-25T16:48:46,79907.44,0.00,709822.33
synb1_txn_accffdc66dcfd93fe22b5204,2025-01-26T09:43:47,10714.15,0.00,699108.18
synb1_txn_40d901d9792866dc63279d43,2025-01-27T10:02:46,5555.11,0.00,693553.07
synb1_txn_62f2e4b08958cfc484803266,2025-02-01T13:01:47,10619.42,0.00,682933.65
synb1_txn_ae051c8078284f3430e54e8b,2025-02-01T13:47:51,0.00,74544.26,757477.91
synb1_txn_081605ae5b79bfbf44dff426,2025-02-01T17:56:22,12136.01,0.00,745341.90
synb1_txn_d491c60daa23ad2df9d7a76a,2025-02-02T17:56:47,12985.66,0.00,732356.24
synb1_txn_4c9ad22d5a5c46715d20608d,2025-02-04T10:18:41,3349.68,0.00,729006.56
synb1_txn_4604de8bde4f447c5a647bd6,2025-02-07T16:09:18,4120.57,0.00,724885.99
synb1_txn_b78e4acae33b63a832ef5e91,2025-02-08T14:36:22,3343.91,0.00,721542.08
synb1_txn_2ffc74098fe4a9ecbc829f1a,2025-02-08T16:56:06,4780.30,0.00,716761.78
synb1_txn_54ccd7110f70a33cf1d5c75f,2025-02-10T13:11:03,5790.82,0.00,710970.96
synb1_txn_86df4edb539b89892c432eaf,2025-02-11T12:46:12,141576.11,0.00,569394.85
synb1_txn_c8d56bf163575f2bcaa68efd,2025-02-13T13:43:31,0.00,62896.71,632291.56
synb1_txn_b76a740178e53f372aaa54f6,2025-02-16T10:06:05,149170.73,0.00,483120.83
synb1_txn_20e4bb51343c10b402f2469a,2025-02-16T16:11:00,10788.91,0.00,472331.92
synb1_txn_591990d9e462a5c09403e632,2025-02-18T13:22:16,3920.31,0.00,468411.61
synb1_txn_d8d56d8914484129bdeb286e,2025-02-18T13:27:41,121500.92,0.00,346910.69
synb1_txn_f58145b2b23eb1a6330e80c3,2025-02-21T12:11:35,0.00,66062.29,412972.98
synb1_txn_5fc7627194941341bccd8684,2025-02-23T15:10:57,0.00,52002.27,464975.25
synb1_txn_23f7a418bf1c43ec823ac05d,2025-02-26T13:34:37,3634.07,0.00,461341.18
synb1_txn_3e5c20537632a87855604803,2025-02-27T17:01:11,153343.88,0.00,307997.30
synb1_txn_959946fa79f16f5014b40130,2025-02-28T09:00:00,4677.80,0.00,303319.50
synb1_txn_75f9ebc64b493fc87808ddea,2025-02-28T09:00:00,4968.00,0.00,298351.50
synb1_txn_44570acf426098ca474ce763,2025-02-28T09:00:00,596.16,0.00,297755.34
synb1_txn_ace561766e7b4fc0bc853280,2025-02-28T12:54:23,3631.34,0.00,294124.00
synb1_txn_78b10f8c847fd02ce9bd094f,2025-03-03T15:24:45,67264.03,0.00,226859.97
synb1_txn_ef760655e285f6dce4ea7c30,2025-03-04T09:53:31,4281.11,0.00,222578.86
synb1_txn_ed26a9a3788372e2dbd3bbb2,2025-03-04T10:58:45,0.00,104492.64,327071.50
synb1_txn_842d1788ac1d5cedca5b4aa9,2025-03-06T14:23:11,4980.97,0.00,322090.53
synb1_txn_3f6447032637280783b4a92d,2025-03-07T11:12:38,10609.02,0.00,311481.51
synb1_txn_b55b60885fe20cdceb36f924,2025-03-07T13:40:27,12180.63,0.00,299300.88
synb1_txn_7d325b94402c6988ee422264,2025-03-07T17:03:07,0.00,134113.24,433414.12
synb1_txn_dc6b20c739dbbf467633a4d6,2025-03-09T16:39:17,68642.27,0.00,364771.85
synb1_txn_9c100bbb45f5ddac2d066245,2025-03-10T16:35:21,3470.44,0.00,361301.41
synb1_txn_c1502ef403abaa29f9f252eb,2025-03-12T09:26:04,13491.14,0.00,347810.27
synb1_txn_750d4e0ced5cf158c5a382ff,2025-03-15T12:11:38,3993.46,0.00,343816.81
synb1_txn_9df2932e69461ac721d1164e,2025-03-15T14:08:31,79938.02,0.00,263878.79
synb1_txn_6797c9f9c268dda0a22930e7,2025-03-16T17:39:54,0.00,127697.92,391576.71
synb1_txn_93704e58eb1ae4a1d8a1bdd1,2025-03-20T17:52:48,4928.26,0.00,386648.45
synb1_txn_11c9c3915d669256309b087e,2025-03-21T13:31:08,10249.21,0.00,376399.24
synb1_txn_02487eb606502f6ea6e76115,2025-03-22T13:50:15,2946.39,0.00,373452.85
synb1_txn_6f468918e8be5d1e352447c5,2025-03-24T13:19:07,86763.60,0.00,286689.25
synb1_txn_8fce6e2935efb00655949965,2025-03-25T12:07:44,0.00,111596.53,398285.78
synb1_txn_70c6d2fbc21ada8aa187fbbf,2025-03-25T15:29:04,4421.66,0.00,393864.12
synb1_txn_3467f3d71ec2d63785331f25,2025-03-28T09:00:00,1750.06,0.00,392114.06
synb1_txn_801150d216a68fd5fafe0884,2025-03-28T09:00:00,4258.42,0.00,387855.64
synb1_txn_3a2a19d59c334776b409952f,2025-03-28T09:00:00,511.01,0.00,387344.63
synb1_txn_bfe410e966592ce4b840880b,2025-03-28T17:26:37,3548.71,0.00,383795.92
synb1_txn_9fff56c2eaa457976846e139,2025-04-02T13:02:07,0.00,85148.33,468944.25
