transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_29e46a0a46af6ec2b19a7d48,2024-01-01T09:00:00,0.00,1465200.00,1465200.00
synb1_txn_7601399095cc01975d5be593,2024-01-02T09:00:00,1631.11,0.00,1463568.89
synb1_txn_c5013fa9afd98dda66fd5208,2024-01-04T15:00:00,0.00,485.37,1464054.26
synb1_txn_05935fbf15b10882c87ae943,2024-01-05T09:00:00,6500.00,0.00,1457554.26
synb1_txn_5598359f498ba8ba80344e04,2024-01-05T15:00:00,0.00,23446.76,1481001.02
synb1_txn_8f23a89b2c0ce9f81765e7cd,2024-01-06T15:00:00,0.00,42065.13,1523066.15
synb1_txn_683e4f5bcb12c8af88650047,2024-01-07T09:00:00,28000.00,0.00,1495066.15
synb1_txn_f98cfe4f5b7ea9a3131a29f7,2024-01-07T09:00:00,23786.55,0.00,1471279.60
synb1_txn_df9b7fe298540e87dcc86bc8,2024-01-09T09:00:00,1502.54,0.00,1469777.06
synb1_txn_33324c8f1c991e4275e4be59,2024-01-11T15:00:00,0.00,39886.68,1509663.74
synb1_txn_3a9b111d2152586dbfa6d597,2024-01-14T09:00:00,432.02,0.00,1509231.72
synb1_txn_aa4398818682c2a8ff1de266,2024-01-14T15:00:00,0.00,23618.43,1532850.15
synb1_txn_ca992a2ce35a8776075ac88a,2024-01-16T15:00:00,0.00,8563.60,1541413.75
synb1_txn_9d76941e6d96a9b4fa139baa,2024-01-18T15:00:00,0.00,5890.03,1547303.78
synb1_txn_e617e908f0ae61162ba08fdd,2024-01-19T09:00:00,27045.01,0.00,1520258.77
synb1_txn_5b1daa582e43ac90c2364597,2024-01-19T09:00:00,3247.40,0.00,1517011.37
synb1_txn_ca75414cae8e604e8d27ddc1,2024-01-20T09:00:00,40080.06,0.00,1476931.31
synb1_txn_daa6d018bcba8a9e73c35336,2024-01-21T09:00:00,29521.86,0.00,1447409.45
synb1_txn_a7e1434146b9aa2eb188b5bd,2024-01-24T09:00:00,60000.00,0.00,1387409.45
synb1_txn_a9486e09dccccede379fb324,2024-01-25T09:00:00,12389.23,0.00,1375020.22
