transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_daedb4294777df7535540b32,2024-01-01T09:00:00,流入,3600000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eed8a4859d38ba8454606a03,2024-01-03T09:00:00,流出,60000.00,投用设备购买款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_581099ad4b3be2973510ed71,2024-01-03T09:00:00,流出,29439.06,固定场地租赁付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e920f7e8c695d5b168d2244d,2024-01-03T15:00:00,流入,16072.66,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c9cf44bb26a974465be17922,2024-01-06T15:00:00,流入,11712.61,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_436705a3d6627ff80364b9a5,2024-01-07T09:00:00,流出,118319.80,持续服务班组工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_68ece11b09432c1ed00a2629,2024-01-07T15:00:00,流入,14886.42,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dde74736fd90533b349df01e,2024-01-07T15:00:00,流入,10042.36,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4950aa0ef95fae50a458d90f,2024-01-07T15:00:00,流入,14882.11,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_31303ad4330b107c81c9f154,2024-01-07T15:00:00,流入,4422.10,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8ebe9c4898e4b197bc0d4517,2024-01-08T09:00:00,流出,109789.09,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_56774a1532c06612ac84e1d8,2024-01-08T15:00:00,流入,23155.77,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c91a2954c6107c6fbd8f28aa,2024-01-10T15:00:00,流入,7985.88,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5c69b17c778dc1fd118c94ed,2024-01-11T15:00:00,流入,17475.38,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9f88a559be9b22f6fe3ca766,2024-01-11T15:00:00,流入,8249.09,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_07ff305986b8a01376e54fa4,2024-01-11T15:00:00,流入,11055.28,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
