transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_9157600e3a3648bcfd3e3082,2024-01-01T09:00:00,流入,1837500.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ba945d6936ff4403385bb959,2024-01-02T09:00:00,流出,35773.00,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_28d98a6a8cb3b5014917e9eb,2024-01-04T09:00:00,流出,1207.46,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dfa2edb336bbbf6e705b946e,2024-01-05T09:00:00,流出,5800.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_418a70507b35a6e8b20e2e32,2024-01-05T15:00:00,流入,56907.34,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d9efb5a42051ad35cc88bea1,2024-01-07T09:00:00,流出,25000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a67a397e98ce94dba9241041,2024-01-09T09:00:00,流出,1961.29,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e0f513bb78f347d62a0d47bb,2024-01-09T09:00:00,流出,4850.42,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_91b3a95043737e7e9f4fa054,2024-01-10T09:00:00,流出,372.42,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2c74c6cbc72f110ed78a7ff0,2024-01-10T15:00:00,流入,5640.25,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cd365f0e37a955832101a051,2024-01-11T09:00:00,流出,3336.53,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_04f437ffd8477549299fd61d,2024-01-12T15:00:00,流入,9458.99,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aecae627e684505d697a5f69,2024-01-15T09:00:00,流出,2196.97,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_046af1ea08756ca5ce63bc00,2024-01-15T09:00:00,流出,42396.37,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b3ea228657d2d110015cbb7e,2024-01-16T09:00:00,流出,174.95,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_caaf531976c5e99d25130ffb,2024-01-16T09:00:00,流出,33620.29,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_951c44137a6ac7823c14a365,2024-01-19T15:00:00,流入,5303.33,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
