transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_59aa63ad1ed4110767b36441,2025-01-01T09:00:00,流入,9974887.05,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b431f7807ed5399b903478b1,2025-01-03T10:06:41,流出,37831.99,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aa03470fc7a95cf1bce761c3,2025-01-07T11:37:31,流入,495010.61,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3cdbf39338cbb5453292e19d,2025-01-07T17:24:02,流入,499819.57,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6db6fd62c44ac2a030450c93,2025-01-14T11:13:33,流入,497633.68,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_afe1600a9408f53ea37db76d,2025-01-15T15:20:51,流出,41515.03,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_440eacedb7686a849f15279f,2025-01-17T09:50:35,流出,838300.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ef54cf2c904429b5885fc73f,2025-01-19T09:13:03,流出,181250.00,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bf44b4ef2eae589214028960,2025-01-19T12:41:08,流入,618732.05,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_349ac2bc9873e72d2af034a7,2025-01-25T09:31:21,流入,615609.35,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_014f675e6233e18877cef43c,2025-01-27T12:19:43,流入,579198.65,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_68d365dfa226d109b18401b0,2025-01-30T15:01:35,流入,556590.29,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_231d00628bf27fe7e2c8a598,2025-01-30T17:15:59,流入,637405.80,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_272ed9c68588faebcb720fc3,2025-01-31T15:21:42,流出,45652.98,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_410fd5504a4c86a198e28438,2025-02-02T13:52:41,流出,1274024.64,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9f9c54a8adee2e040e1fe3e3,2025-02-03T12:00:52,流出,1192500.93,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c4dd2705681bcb1f2cde891e,2025-02-04T13:21:58,流入,1120780.34,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e6c600089f55d909b5b89b70,2025-02-04T15:38:16,流出,1055471.73,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d536611a53bc0a1c6356d82e,2025-02-06T13:47:54,流出,1254325.14,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6b59e2f5ef1df22c1c882f71,2025-02-09T10:18:13,流入,1302809.13,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cc8ff640c00601dca3cc8c93,2025-02-09T12:30:08,流入,1184733.42,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0b5310fd6b697ad718a8a474,2025-02-10T10:06:09,流出,43108.50,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d07b5461e2bb18047f69ca74,2025-02-10T15:15:02,流出,46153.41,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_19a7c9272988569412244a9b,2025-02-12T09:44:27,流入,1342241.33,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_43d786db3e6369eadceea77b,2025-02-12T12:12:57,流入,1125088.06,销售回款,仅供人工查看；不得作为模型输入或导入数据库
