calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,15710273.12,0.00,2,15710273.12,last_posted_transaction_or_prior_closing_balance,synb1_txn_eebeba53a7841a07326b09da,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,15710273.12,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,598067.47,108216.05,2,16200124.54,last_posted_transaction_or_prior_closing_balance,synb1_txn_58b26ffb31e1cef091de3378,trusted,weekday_rule,base_calendar,True,3,2025-01-04,complete
2025-01-04,537853.46,0.00,1,16737978.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_6ebc01b8698f57eeaea1526a,trusted,historical_transaction_override,historical_transaction_override,True,4,2025-01-06,complete
2025-01-05,0.00,0.00,0,16737978.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,16737978.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,5,2025-01-07,complete
2025-01-07,0.00,0.00,0,16737978.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-08,complete
2025-01-08,0.00,0.00,0,16737978.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-09,complete
2025-01-09,0.00,0.00,0,16737978.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-10,complete
2025-01-10,0.00,0.00,0,16737978.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2025-01-13,complete
2025-01-11,0.00,0.00,0,16737978.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,0.00,0,16737978.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,0.00,0,16737978.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2025-01-14,complete
2025-01-14,0.00,0.00,0,16737978.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-15,complete
2025-01-15,549607.56,0.00,1,17287585.56,last_posted_transaction_or_prior_closing_balance,synb1_txn_a01b3ccf7e11b5ef9e3ea2a7,trusted,weekday_rule,base_calendar,True,12,2025-01-16,complete
2025-01-16,0.00,0.00,0,17287585.56,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-17,complete
2025-01-17,531048.44,0.00,1,17818634.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_3a694680e03dd882de849df9,trusted,weekday_rule,base_calendar,True,14,2025-01-19,complete
2025-01-18,0.00,0.00,0,17818634.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,508107.31,0.00,1,18326741.31,last_posted_transaction_or_prior_closing_balance,synb1_txn_c8e168049436df5ecba7ca6c,trusted,historical_transaction_override,historical_transaction_override,True,15,2025-01-20,complete
2025-01-20,0.00,1328040.00,1,16998701.31,last_posted_transaction_or_prior_closing_balance,synb1_txn_3d62fc53ebe530791eac3f70,trusted,weekday_rule,base_calendar,True,16,2025-01-21,complete
2025-01-21,0.00,0.00,0,16998701.31,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2025-01-22,complete
2025-01-22,0.00,0.00,0,16998701.31,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2025-01-23,complete
2025-01-23,0.00,0.00,0,16998701.31,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,19,2025-01-24,complete
2025-01-24,1139942.06,269310.34,3,17869333.03,last_posted_transaction_or_prior_closing_balance,synb1_txn_605cef6ec35dc865dbfbaac6,trusted,weekday_rule,base_calendar,True,20,2025-01-25,complete
2025-01-25,0.00,131074.82,1,17738258.21,last_posted_transaction_or_prior_closing_balance,synb1_txn_5e1e6b79dbd6507762b4bdd7,trusted,historical_transaction_override,historical_transaction_override,True,21,2025-01-26,complete
2025-01-26,0.00,0.00,0,17738258.21,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,22,2025-01-27,complete
2025-01-27,0.00,0.00,0,17738258.21,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,23,2025-01-29,complete
2025-01-28,0.00,0.00,0,17738258.21,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-29,0.00,127950.51,1,17610307.70,last_posted_transaction_or_prior_closing_balance,synb1_txn_9b408030d0e94911851b2a9a,trusted,historical_transaction_override,historical_transaction_override,True,24,2025-01-30,complete
