transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_2ab244653c1dad32c9014e93,2024-01-01T09:00:00,0.00,1397000.00,1397000.00
synb1_txn_ad41ac11cb0725750cf56167,2024-01-03T09:00:00,185619.54,0.00,1211380.46
synb1_txn_a4dd225539317e0b71a79525,2024-01-04T15:00:00,0.00,5437.58,1216818.04
synb1_txn_e836da57a025baf275af050c,2024-01-05T09:00:00,27000.00,0.00,1189818.04
synb1_txn_d20fac41bd1e8a0e7883b9e1,2024-01-05T09:00:00,153547.83,0.00,1036270.21
synb1_txn_a1af2d694622397a7fac898c,2024-01-07T09:00:00,76000.00,0.00,960270.21
synb1_txn_87becc43ccebbbad66148a18,2024-01-08T15:00:00,0.00,186004.55,1146274.76
synb1_txn_b90e8486584dc6201f5937c1,2024-01-10T09:00:00,2291.53,0.00,1143983.23
synb1_txn_981daec699f0c3b5f0d4a3a9,2024-01-13T09:00:00,8981.62,0.00,1135001.61
synb1_txn_0653a463f9207779a990cc6e,2024-01-14T09:00:00,6726.85,0.00,1128274.76
synb1_txn_5e65c84fc3623d70580c56f8,2024-01-14T09:00:00,22562.88,0.00,1105711.88
synb1_txn_9a1ca43b8e8176adc3bec181,2024-01-14T09:00:00,67688.82,0.00,1038023.06
synb1_txn_62a35967779ac1148f5f41e8,2024-01-15T15:00:00,0.00,108471.14,1146494.20
synb1_txn_d027193cbbd4f2e044408387,2024-01-20T15:00:00,0.00,201516.08,1348010.28
synb1_txn_01a5582ae7068b79a7aa69ab,2024-01-21T09:00:00,59513.41,0.00,1288496.87
synb1_txn_bbed500652a41b97d2111118,2024-01-23T09:00:00,18483.52,0.00,1270013.35
synb1_txn_751ec1667f6a6a59f1174f68,2024-01-23T15:00:00,0.00,14570.65,1284584.00
synb1_txn_630fed3c96d5e8dbf187ddf1,2024-02-02T09:00:00,23.51,0.00,1284560.49
synb1_txn_70ffa7adc112380e61331e21,2024-02-02T09:00:00,14816.04,0.00,1269744.45
synb1_txn_ac33cacb2924d5206a86719f,2024-02-02T09:00:00,7011.87,0.00,1262732.58
synb1_txn_1611d610ee754eaf48ae42a1,2024-02-03T15:00:00,0.00,805.81,1263538.39
synb1_txn_0c98eb3fe16eef0853a03109,2024-02-05T09:00:00,27000.00,0.00,1236538.39
synb1_txn_05e975f977b067793bdfed64,2024-02-05T09:00:00,80216.19,0.00,1156322.20
synb1_txn_9816e776dbca79d3628bad77,2024-02-07T09:00:00,76000.00,0.00,1080322.20
synb1_txn_b9d56287d5c20748db3bbe16,2024-02-07T09:00:00,57731.78,0.00,1022590.42
synb1_txn_b71e3323ddab8df4ae0feac5,2024-02-08T09:00:00,135000.00,0.00,887590.42
synb1_txn_2e7becbc348144e6aedc16b0,2024-02-08T09:00:00,8332.61,0.00,879257.81
synb1_txn_dcd4adb3858e0422958d23b8,2024-02-08T09:00:00,12229.55,0.00,867028.26
synb1_txn_ff5cf338910b7daaee465b9c,2024-02-09T09:00:00,127753.85,0.00,739274.41
synb1_txn_2d1850b400fc3ca59287fbf0,2024-02-14T15:00:00,0.00,82367.48,821641.89
synb1_txn_f8427c2897ddac617dab2c43,2024-02-14T15:00:00,0.00,4363.93,826005.82
synb1_txn_fdcb01fca198b791a53de61b,2024-02-18T09:00:00,30633.60,0.00,795372.22
synb1_txn_c70176f5339eae39ec6ccfc2,2024-02-18T09:00:00,8600.00,0.00,786772.22
synb1_txn_01582dc909ff42f591cf543e,2024-02-18T09:00:00,1032.00,0.00,785740.22
synb1_txn_648875b173de376b9bae32d2,2024-02-21T09:00:00,65457.83,0.00,720282.39
synb1_txn_694bb5ede04f411df915e1dc,2024-02-22T09:00:00,118324.64,0.00,601957.75
synb1_txn_940e834fd99ea5a91606eb52,2024-02-22T15:00:00,0.00,6005.65,607963.40
synb1_txn_d28e4d06a9df4f0aae811ef0,2024-02-22T15:00:00,0.00,103395.33,711358.73
synb1_txn_7f38a9f80da34bce872b7da0,2024-02-24T09:00:00,17976.49,0.00,693382.24
synb1_txn_90fe26b0c0824d3537171b81,2024-02-24T09:00:00,133651.52,0.00,559730.72
synb1_txn_6d96a266e85b99d7ccb4b27c,2024-02-25T15:00:00,0.00,254821.06,814551.78
synb1_txn_06531a75dfba6c0451497ddf,2024-02-27T09:00:00,18742.12,0.00,795809.66
synb1_txn_ef4b32f737ef2a1141d5d491,2024-02-27T15:00:00,0.00,7242.22,803051.88
synb1_txn_7e58e3745a744167f32d1d20,2024-02-27T15:00:00,0.00,418998.52,1222050.40
synb1_txn_cff191c73bc8161da1bf60ec,2024-03-02T15:00:00,0.00,6679.47,1228729.87
synb1_txn_bd239cc2d80412a2c5db6bae,2024-03-02T15:00:00,0.00,12638.06,1241367.93
synb1_txn_1321f874262c98f9502bce2b,2024-03-02T15:00:00,0.00,19525.63,1260893.56
synb1_txn_f8f21ccbc03d8017f88c2ac1,2024-03-03T09:00:00,11073.57,0.00,1249819.99
synb1_txn_4a5de2002446e784e0897f09,2024-03-03T09:00:00,2098.97,0.00,1247721.02
synb1_txn_bb8342ed14a6c5e3b8d3adf9,2024-03-05T09:00:00,27000.00,0.00,1220721.02
synb1_txn_0cb98948e1856f107ffdde56,2024-03-07T09:00:00,76000.00,0.00,1144721.02
synb1_txn_a650f347452c6fabbf7e91a1,2024-03-08T09:00:00,44581.07,0.00,1100139.95
synb1_txn_51e52fcc8c4b18b34fa3875d,2024-03-09T09:00:00,370014.93,0.00,730125.02
synb1_txn_1258a9b68968ea756f2b86dc,2024-03-09T15:00:00,0.00,40048.91,770173.93
synb1_txn_180e89636f88c27d17f1f96a,2024-03-10T15:00:00,0.00,42871.53,813045.46
synb1_txn_795148d256ad6f78348104ce,2024-03-11T15:00:00,0.00,147380.81,960426.27
synb1_txn_f0cf44e51bc51b31230e0c88,2024-03-12T09:00:00,95000.00,0.00,865426.27
synb1_txn_b981730e388a0c11860887e2,2024-03-12T15:00:00,0.00,27194.44,892620.71
synb1_txn_81e94c5d469ac81fed6c5728,2024-03-12T15:00:00,0.00,122149.75,1014770.46
synb1_txn_0f02cf697968cd61496fffdd,2024-03-15T09:00:00,2377.45,0.00,1012393.01
synb1_txn_cdc2e6843ce7903cb71275bd,2024-03-15T15:00:00,0.00,135100.52,1147493.53
synb1_txn_fda4d01555ffb9d8e6a4c3b1,2024-03-16T09:00:00,142860.72,0.00,1004632.81
synb1_txn_abc08439c47c81d07c881af1,2024-03-17T09:00:00,510.49,0.00,1004122.32
synb1_txn_d8dd6a1169b318d336353605,2024-03-17T15:00:00,0.00,69257.57,1073379.89
synb1_txn_66258affa7946b62a42185e6,2024-03-18T09:00:00,32546.40,0.00,1040833.49
