transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_284aba0da189d61d983bee05,2024-01-01T09:00:00,流入,1700000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f2678b70b1028d57066c3b91,2024-01-03T09:00:00,流出,3144.38,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9bee5aaaac9c0829d62544af,2024-01-03T15:00:00,流入,257577.59,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9502274b51cb9322b8a6bc2a,2024-01-05T09:00:00,流出,20000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fdb7cff8b1080e8a1999600b,2024-01-05T09:00:00,流出,170912.09,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9147e6682996e98fea594179,2024-01-07T09:00:00,流出,4906.12,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_87b777d0d9d9be3d12ebb378,2024-01-07T09:00:00,流出,80000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_224b770ef0ede010d98fcf9a,2024-01-07T15:00:00,流入,92064.33,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_28d9e37065dc8948c5584bd3,2024-01-15T09:00:00,流出,33276.00,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e6509da8e1f2073486bb53f1,2024-01-16T09:00:00,流出,34789.14,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aca4301534a6615cc86a8989,2024-01-17T09:00:00,流出,9974.73,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8286e9d0b7cea4e29cd3010a,2024-01-19T09:00:00,流出,3232.77,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6f4237ce89f407142095fac3,2024-01-19T15:00:00,流入,72858.08,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9c3cda2371739b5194f9fc1b,2024-01-22T09:00:00,流出,10093.88,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_15d0ac7693df6443313ac9cc,2024-01-22T09:00:00,流出,240045.89,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_63d6ecd190f31ec3ce015f5d,2024-02-02T09:00:00,流出,7629.43,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_21c7105a142b77896c40b319,2024-02-05T09:00:00,流出,20000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dfcd1db5320384fe716b1ea4,2024-02-07T09:00:00,流出,80000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_69ebee56da8c24bbef6d025c,2024-02-07T09:00:00,流出,84550.00,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8d4c95f1f088a3bb33df7700,2024-02-08T09:00:00,流出,31236.04,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e1c7c0a27398f6dfbf94e2d8,2024-02-08T09:00:00,流出,30076.97,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_00288643a974f0b194993804,2024-02-10T15:00:00,流入,4861.28,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6f4e5a81177f1cd377a16ea6,2024-02-13T09:00:00,流出,2241.23,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3e7afcf59d0161cdf1aa4ba7,2024-02-13T09:00:00,流出,109227.18,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
