calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,608263.98,0.00,1,608263.98,last_posted_transaction_or_prior_closing_balance,synb1_txn_7856a2462e45f99733ebe486,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,608263.98,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,10272.79,1,597991.19,last_posted_transaction_or_prior_closing_balance,synb1_txn_ef6d090eb3498950eba96acc,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,597991.19,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,597991.19,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,597991.19,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,2309.20,1,595681.99,last_posted_transaction_or_prior_closing_balance,synb1_txn_00db301e4ea6b04667bc3463,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,0.00,0,595681.99,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,0.00,0.00,0,595681.99,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,0.00,0.00,0,595681.99,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-13,complete
2025-01-11,0.00,0.00,0,595681.99,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,0.00,0,595681.99,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,0.00,0,595681.99,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2025-01-14,complete
2025-01-14,0.00,9842.88,1,585839.11,last_posted_transaction_or_prior_closing_balance,synb1_txn_eb19e89a419bde49a3fbf19a,trusted,weekday_rule,base_calendar,True,10,2025-01-15,complete
2025-01-15,0.00,0.00,0,585839.11,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-16,complete
2025-01-16,0.00,2471.57,1,583367.54,last_posted_transaction_or_prior_closing_balance,synb1_txn_a3cb6146735c1f64120ff74b,trusted,weekday_rule,base_calendar,True,12,2025-01-17,complete
2025-01-17,0.00,0.00,0,583367.54,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-20,complete
2025-01-18,0.00,0.00,0,583367.54,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,0.00,0.00,0,583367.54,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-20,0.00,0.00,0,583367.54,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,14,2025-01-21,complete
2025-01-21,0.00,0.00,0,583367.54,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2025-01-22,complete
2025-01-22,0.00,0.00,0,583367.54,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2025-01-23,complete
2025-01-23,0.00,0.00,0,583367.54,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2025-01-24,complete
2025-01-24,0.00,2976.57,1,580390.97,last_posted_transaction_or_prior_closing_balance,synb1_txn_8c0f7b32501875e1e8f82037,trusted,weekday_rule,base_calendar,True,18,2025-01-26,complete
2025-01-25,0.00,0.00,0,580390.97,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-26,0.00,0.00,0,580390.97,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,19,2025-01-27,complete
2025-01-27,0.00,0.00,0,580390.97,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,20,2025-01-30,complete
2025-01-28,0.00,0.00,0,580390.97,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-29,0.00,0.00,0,580390.97,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-30,0.00,13192.99,1,567197.98,last_posted_transaction_or_prior_closing_balance,synb1_txn_9142745f3618b373e8733911,trusted,historical_transaction_override,historical_transaction_override,True,21,2025-01-31,complete
2025-01-31,0.00,13673.10,2,553524.88,last_posted_transaction_or_prior_closing_balance,synb1_txn_ebb91e3626a0adcb1aa8c53c,trusted,historical_transaction_override,historical_transaction_override,True,22,2025-02-03,complete
2025-02-01,0.00,0.00,0,553524.88,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-02,0.00,0.00,0,553524.88,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-03,770250.00,0.00,1,1323774.88,last_posted_transaction_or_prior_closing_balance,synb1_txn_b7dc66f2a98114d8b70e1388,trusted,historical_transaction_override,historical_transaction_override,True,23,2025-02-05,complete
2025-02-04,0.00,0.00,0,1323774.88,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-05,0.00,0.00,0,1323774.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,24,2025-02-06,complete
2025-02-06,0.00,0.00,0,1323774.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,25,2025-02-07,complete
2025-02-07,0.00,0.00,0,1323774.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,26,2025-02-08,complete
2025-02-08,0.00,0.00,0,1323774.88,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,27,2025-02-10,complete
2025-02-09,0.00,0.00,0,1323774.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-10,0.00,0.00,0,1323774.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,28,2025-02-11,complete
2025-02-11,0.00,0.00,0,1323774.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,29,2025-02-12,complete
2025-02-12,0.00,2922.60,1,1320852.28,last_posted_transaction_or_prior_closing_balance,synb1_txn_76da2a1099ef5b67ef2a25a6,trusted,weekday_rule,base_calendar,True,30,2025-02-13,complete
2025-02-13,0.00,12227.89,1,1308624.39,last_posted_transaction_or_prior_closing_balance,synb1_txn_d72690621fd62e7ef82d604a,trusted,weekday_rule,base_calendar,True,31,2025-02-14,complete
2025-02-14,0.00,0.00,0,1308624.39,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,32,2025-02-16,complete
2025-02-15,0.00,0.00,0,1308624.39,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-16,0.00,2853.52,1,1305770.87,last_posted_transaction_or_prior_closing_balance,synb1_txn_67d12c9f41274de8e4431f6b,trusted,historical_transaction_override,historical_transaction_override,True,33,2025-02-17,complete
2025-02-17,0.00,0.00,0,1305770.87,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,34,2025-02-18,complete
2025-02-18,0.00,2406.21,1,1303364.66,last_posted_transaction_or_prior_closing_balance,synb1_txn_e308973ec9e146528dbb6a7b,trusted,weekday_rule,base_calendar,True,35,2025-02-19,complete
2025-02-19,0.00,0.00,0,1303364.66,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,36,2025-02-20,complete
2025-02-20,0.00,10035.45,1,1293329.21,last_posted_transaction_or_prior_closing_balance,synb1_txn_24996a257f0698aadafb10df,trusted,weekday_rule,base_calendar,True,37,2025-02-21,complete
2025-02-21,0.00,0.00,0,1293329.21,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,38,2025-02-24,complete
2025-02-22,0.00,0.00,0,1293329.21,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-23,0.00,0.00,0,1293329.21,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
