calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,1091680.42,13014.18,3,1078666.24,last_posted_transaction_or_prior_closing_balance,synb1_txn_69d5e4e1426a3e459f375542,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,1078666.24,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,17979.26,1,1060686.98,last_posted_transaction_or_prior_closing_balance,synb1_txn_cac2b071f619a082e5cb6ebc,trusted,weekday_rule,base_calendar,True,3,2025-01-05,complete
2025-01-04,0.00,0.00,0,1060686.98,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,4409.87,1,1056277.11,last_posted_transaction_or_prior_closing_balance,synb1_txn_55ae028a8909c2bb50d0f00a,trusted,historical_transaction_override,historical_transaction_override,True,4,2025-01-06,complete
2025-01-06,0.00,28780.41,4,1027496.70,last_posted_transaction_or_prior_closing_balance,synb1_txn_33e60b6e2965f8cf740622cc,trusted,weekday_rule,base_calendar,True,5,2025-01-07,complete
2025-01-07,0.00,18701.46,1,1008795.24,last_posted_transaction_or_prior_closing_balance,synb1_txn_f4f218f8a70af4269ce036b4,trusted,weekday_rule,base_calendar,True,6,2025-01-08,complete
2025-01-08,0.00,0.00,0,1008795.24,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-09,complete
2025-01-09,0.00,7529.61,1,1001265.63,last_posted_transaction_or_prior_closing_balance,synb1_txn_79914d044530e540614d6be4,trusted,weekday_rule,base_calendar,True,8,2025-01-10,complete
2025-01-10,0.00,17109.17,1,984156.46,last_posted_transaction_or_prior_closing_balance,synb1_txn_015d1d874cef2231debdcbb7,trusted,weekday_rule,base_calendar,True,9,2025-01-13,complete
2025-01-11,0.00,0.00,0,984156.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,0.00,0,984156.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-13,0.00,0.00,0,984156.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,10,2025-01-14,complete
2025-01-14,0.00,0.00,0,984156.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-15,complete
2025-01-15,0.00,5951.04,1,978205.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_c0a1992af9115b1c46c2c041,trusted,weekday_rule,base_calendar,True,12,2025-01-16,complete
2025-01-16,0.00,0.00,0,978205.42,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-17,complete
2025-01-17,0.00,0.00,0,978205.42,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,14,2025-01-20,complete
2025-01-18,0.00,0.00,0,978205.42,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,0.00,0.00,0,978205.42,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-20,0.00,0.00,0,978205.42,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2025-01-21,complete
2025-01-21,0.00,0.00,0,978205.42,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2025-01-22,complete
2025-01-22,0.00,0.00,0,978205.42,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2025-01-23,complete
2025-01-23,0.00,0.00,0,978205.42,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,18,2025-01-24,complete
