transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_30b5cab8b615db27a6b685dc,2024-01-01T09:00:00,流入,3290000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3c04dae521b4f64b6aff720d,2024-01-03T09:00:00,流出,1015.38,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_41b76274d9df7f900b8ee864,2024-01-05T09:00:00,流出,21000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e4b17872956b90bbe1f056b2,2024-01-05T09:00:00,流出,92595.34,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_abfbb216abfdb52c80c7d57d,2024-01-06T09:00:00,流出,49567.63,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d53dc8bfb002683784285434,2024-01-06T15:00:00,流入,115906.83,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_01775f3d37098e4ab04edad0,2024-01-07T09:00:00,流出,84000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aab777780577f2c77da7e766,2024-01-07T15:00:00,流入,11776.26,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_187ddc01cdf69aa020a66d06,2024-01-07T15:00:00,流入,258354.09,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_917bf8b76fb6058dbfe8f6b6,2024-01-10T15:00:00,流入,9406.00,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_611f7b6024459859ca389508,2024-01-11T09:00:00,流出,2200.65,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8e158dc0a3291eb31ae4f051,2024-01-11T09:00:00,流出,31849.76,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f5551a2a3bd3d2fb947158c6,2024-01-18T09:00:00,流出,2292.37,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_15aeee0411e3f29342e7077a,2024-01-21T09:00:00,流出,248956.87,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1066ff869ba3df1b3d4d59fe,2024-01-23T09:00:00,流出,270000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_48068298c1b6ef9ab62bc70f,2024-01-23T15:00:00,流入,113152.82,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3de1cdfe355370fe3cbd39ff,2024-01-26T09:00:00,流出,7491.60,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_28191c1e92f3349f50e0004d,2024-02-02T09:00:00,流出,2704.95,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f3f6ee4e4ce6ff491a2b7496,2024-02-02T09:00:00,流出,1300.95,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e452b06c506ef11ca5676934,2024-02-02T15:00:00,流入,34467.80,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_461d3ed57a4290da0e04c3b1,2024-02-03T15:00:00,流入,56308.03,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fa0685dfcf438438c7281ac0,2024-02-03T15:00:00,流入,139052.11,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7e134d1137d4015be1a31add,2024-02-05T09:00:00,流出,21000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4559ead8be119ffb296da8fb,2024-02-06T09:00:00,流出,146277.15,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a4a3b098f859fa4db7bf669e,2024-02-06T15:00:00,流入,18012.24,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3445fcd4b11c7b9d5c0ec04f,2024-02-07T09:00:00,流出,84000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_82b4f954d1cf98ecd94532ff,2024-02-08T15:00:00,流入,275.75,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d316535d3af49bd190586b00,2024-02-09T09:00:00,流出,4625.01,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a0fa1e2380203d807b538cab,2024-02-09T09:00:00,流出,33809.48,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e5f784651066277c64a6e65e,2024-02-09T15:00:00,流入,86509.93,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c7f39dcf65ba448b521122a6,2024-02-10T15:00:00,流入,220355.20,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_086ee62becd4c0dbd7f3e244,2024-02-11T09:00:00,流出,14464.04,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2dd33599abd0e653a35bbbb9,2024-02-13T09:00:00,流出,62588.86,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_180a373e52d8e0583adbac2e,2024-02-14T15:00:00,流入,173940.84,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_460899e4c22318dae421210c,2024-02-15T15:00:00,流入,11464.79,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1f5bfd788475ea62a4c82815,2024-02-16T09:00:00,流出,644.91,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b464956f84f91976deef4a5e,2024-02-16T09:00:00,流出,218800.90,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_417604e59231ab7ba89d7b1c,2024-02-16T15:00:00,流入,6120.32,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_890365f7cf13ca0a5a705f2e,2024-02-17T09:00:00,流出,6743.00,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4843d521afdd407f423031a2,2024-02-18T09:00:00,流出,28615.85,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ea05c0dd8f7028cfa73ab74a,2024-02-18T09:00:00,流出,7706.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_32fccc35d4e2b6cd3a01c81b,2024-02-18T09:00:00,流出,924.72,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e9d3751233c967224863815d,2024-02-19T09:00:00,流出,1280.56,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fb9dbaf8d58293f931426e8e,2024-02-20T09:00:00,流出,210000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_420ad531fc62f0effe3ab86c,2024-02-23T09:00:00,流出,225.40,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_014f931610d813d11d5a4b23,2024-02-23T15:00:00,流入,45453.78,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_96727c3500dc041e8914fd53,2024-02-24T15:00:00,流入,33809.74,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cf0aa9d3d4cca3a1a583b2ee,2024-02-24T15:00:00,流入,37351.85,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_97724ffbb8ad56f2fefde72f,2024-02-26T09:00:00,流出,125005.67,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0ab366fb6e98f9cddbcbb670,2024-02-27T09:00:00,流出,7730.08,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d589e57c46c24f92efcb697f,2024-02-27T09:00:00,流出,3861.84,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
