transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_2e5f1785a6a1e4b9802a78b0,2024-01-01T09:00:00,0.00,1806000.00,1806000.00
synb1_txn_0f284c0f963181eefc1c0378,2024-01-04T09:00:00,3624.37,0.00,1802375.63
synb1_txn_0fae0a30a18d944321cc6987,2024-01-05T09:00:00,19000.00,0.00,1783375.63
synb1_txn_198fd6009037e111633113a9,2024-01-05T09:00:00,887262.42,0.00,896113.21
synb1_txn_6c4138f09ecf8d0128502618,2024-01-06T15:00:00,0.00,194128.83,1090242.04
synb1_txn_0db39fd1b3abb013b104b64a,2024-01-07T09:00:00,50000.00,0.00,1040242.04
synb1_txn_53f2b35a89fa5d2bd7e97b92,2024-01-09T09:00:00,8375.63,0.00,1031866.41
synb1_txn_fa8bdf09dec72d1d9254175c,2024-01-14T15:00:00,0.00,528766.87,1560633.28
synb1_txn_eea193db11b4db1414a8d382,2024-01-15T15:00:00,0.00,63467.39,1624100.67
synb1_txn_707ba7f787a6e926a23d175f,2024-01-18T15:00:00,0.00,300537.80,1924638.47
synb1_txn_c6187ae9e97bbf0108d133cf,2024-01-20T09:00:00,54797.58,0.00,1869840.89
synb1_txn_03424614e580e80112c3aecf,2024-01-20T15:00:00,0.00,18981.55,1888822.44
synb1_txn_9435ef537948ac49118ea781,2024-01-26T15:00:00,0.00,58917.56,1947740.00
synb1_txn_0aa3943dea18d06eb2ea24ee,2024-02-02T09:00:00,172609.73,0.00,1775130.27
synb1_txn_136de746e693491637297b74,2024-02-02T15:00:00,0.00,57088.31,1832218.58
synb1_txn_e526775dcfb1cc5d59939a59,2024-02-03T09:00:00,21203.25,0.00,1811015.33
synb1_txn_2f012b06e532dfe86e7e45d6,2024-02-03T15:00:00,0.00,81833.30,1892848.63
synb1_txn_65426cafd0854bed0c4a22cb,2024-02-05T09:00:00,19000.00,0.00,1873848.63
synb1_txn_3fa59ae6d9303763129f31c6,2024-02-05T15:00:00,0.00,151463.18,2025311.81
synb1_txn_e16c3ffedc2dfb0f54db57b1,2024-02-07T09:00:00,50000.00,0.00,1975311.81
synb1_txn_38dba6e03ac98f5f6b83e32e,2024-02-10T09:00:00,2257.35,0.00,1973054.46
synb1_txn_0f86d97ad7739e1a06bce348,2024-02-10T15:00:00,0.00,69119.09,2042173.55
synb1_txn_76ce8e772cd210f752f90f77,2024-02-11T09:00:00,3170.93,0.00,2039002.62
synb1_txn_1d3fa811c7f17501a26892a2,2024-02-12T09:00:00,1029.48,0.00,2037973.14
synb1_txn_5e7aa347eb6d16f210e0f643,2024-02-13T09:00:00,11577.63,0.00,2026395.51
synb1_txn_30c72e56eff0ed52faff8820,2024-02-13T15:00:00,0.00,328000.96,2354396.47
synb1_txn_fb75bafe88aba0758ffe3431,2024-02-14T09:00:00,797.70,0.00,2353598.77
synb1_txn_8bf1479516833de45d5da65b,2024-02-15T09:00:00,15074.38,0.00,2338524.39
synb1_txn_4dff3ac02b9e725514c94777,2024-02-15T09:00:00,14690.33,0.00,2323834.06
synb1_txn_a803e86ad69fc2face4fdafb,2024-02-16T15:00:00,0.00,72504.16,2396338.22
synb1_txn_35f48725be9a43b97c72223b,2024-02-17T15:00:00,0.00,80074.18,2476412.40
synb1_txn_8474653f0966772128386c0d,2024-02-17T15:00:00,0.00,107123.14,2583535.54
synb1_txn_f2a1bcf6d0b58b2d08be523c,2024-02-18T09:00:00,92563.20,0.00,2490972.34
synb1_txn_f1a20a7ece8e64fdbd9dd372,2024-02-18T09:00:00,18200.00,0.00,2472772.34
synb1_txn_63a0c60421f9c5816090f811,2024-02-18T09:00:00,2184.00,0.00,2470588.34
synb1_txn_a8d62b729ff438dd60666f4d,2024-02-18T15:00:00,0.00,19392.33,2489980.67
synb1_txn_5fc7298725b4a5175ced4fd2,2024-02-18T15:00:00,0.00,78822.38,2568803.05
synb1_txn_3d1af56c69f0fe31584a19f8,2024-02-19T15:00:00,0.00,3547.35,2572350.40
