transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_d8b4d309bd98b81337881f60,2025-01-01T09:00:00,流入,83575158.92,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fcaa9379f614bf3df3b88c80,2025-01-01T10:20:47,流出,85894.08,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_79eba22a9ed22074afc3c514,2025-01-01T11:00:44,流出,75385.16,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c9175c2fcd22cc539f974c9e,2025-01-18T10:25:41,流出,3683960.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7fc68d60db75376b3ceda203,2025-01-23T15:11:05,流出,540988.51,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3de85db8d1bd274ebe376fed,2025-01-31T15:21:21,流出,73059.84,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_42ce6aac380b2306b13d5df6,2025-02-05T15:19:32,流出,67343.96,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5bcc975ddd9a4da19f966750,2025-02-18T13:21:36,流出,83191.79,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1ab7655f182fe6b2f2f88a86,2025-02-19T16:41:28,流出,83803.33,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7253f23a84b76aff4b340b15,2025-02-24T14:26:07,流出,540988.51,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ddb1a1f0c4c5d7d2c7ada738,2025-02-27T09:00:00,流出,221096.85,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_24cec5e07d8cf07011f70071,2025-02-27T09:00:00,流出,26531.62,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_544e0daaf8122f14019cbddb,2025-02-28T16:09:20,流出,3683960.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_509091c6a67f38f4e02a0abc,2025-03-02T12:50:19,流出,3683960.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_78f76acc43ca325df2dbed80,2025-03-03T09:00:00,流入,36155172.00,银行借款到账,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2ad8b7e2b228152ee63ff1c3,2025-03-11T09:01:47,流出,540988.51,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_505721f7dfa9a4fa617e0ddf,2025-03-14T09:29:58,流出,2202205.77,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7644e3568af20a98a48ae275,2025-03-16T16:02:04,流出,69299.64,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e3e0658c5d6ec946c1f728fd,2025-03-18T10:45:45,流出,2109537.18,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_74066cd91dd3436e995e355f,2025-03-20T12:42:42,流出,1865822.86,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2ae52de470096815f648e156,2025-03-22T14:36:19,流出,84085.94,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3a48bdd6ba4b9a8cb832e2e3,2025-03-25T11:28:02,流入,2227520.36,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f26694052a02c7e93b9a955c,2025-03-26T11:44:23,流入,2194416.64,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8c369c06daff8fa1eec7d0ec,2025-03-27T09:00:00,流出,223595.24,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a08b23a4ad954462f4a3dba3,2025-03-27T09:00:00,流出,26831.42,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_642fcf68bbb611123a805969,2025-03-31T14:53:05,流出,80953.50,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7f74d0d1491cb7348f2e9d6d,2025-04-01T10:35:33,流出,78058.93,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d9e7276c46c27f919d182acf,2025-04-03T09:00:00,流出,143709.38,支付银行借款利息,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6ab1c73c8cdbe70cdf416b96,2025-04-10T16:12:24,流入,5990819.97,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e5f2987870562235c89a7eef,2025-04-13T10:30:48,流出,3683960.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_272a59713614cb4b9dabf8fe,2025-04-15T10:54:30,流出,6186223.56,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6ac2c702430abc3f776be090,2025-04-15T15:04:34,流出,5727245.69,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1db8bbebf20e22fa11915347,2025-04-18T16:05:45,流出,6328331.35,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b5934865f4db04ae6de255cf,2025-04-23T09:37:02,流出,80168.64,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fa2542d4b6c59c45c274344b,2025-04-23T12:31:35,流出,540988.51,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_28cdb1d39aa3d9e5c8a81805,2025-04-23T14:12:28,流出,76111.51,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_73ac59502867af237cb40193,2025-04-26T12:33:38,流入,5850979.91,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c4e7b518553ea12f8d74ca22,2025-04-27T09:00:00,流出,1073764.53,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
