transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_d8b4d309bd98b81337881f60,2025-01-01T09:00:00,0.00,83575158.92,83575158.92
synb1_txn_fcaa9379f614bf3df3b88c80,2025-01-01T10:20:47,85894.08,0.00,83489264.84
synb1_txn_79eba22a9ed22074afc3c514,2025-01-01T11:00:44,75385.16,0.00,83413879.68
synb1_txn_c9175c2fcd22cc539f974c9e,2025-01-18T10:25:41,3683960.00,0.00,79729919.68
synb1_txn_7fc68d60db75376b3ceda203,2025-01-23T15:11:05,540988.51,0.00,79188931.17
synb1_txn_3de85db8d1bd274ebe376fed,2025-01-31T15:21:21,73059.84,0.00,79115871.33
synb1_txn_42ce6aac380b2306b13d5df6,2025-02-05T15:19:32,67343.96,0.00,79048527.37
synb1_txn_5bcc975ddd9a4da19f966750,2025-02-18T13:21:36,83191.79,0.00,78965335.58
synb1_txn_1ab7655f182fe6b2f2f88a86,2025-02-19T16:41:28,83803.33,0.00,78881532.25
synb1_txn_7253f23a84b76aff4b340b15,2025-02-24T14:26:07,540988.51,0.00,78340543.74
synb1_txn_ddb1a1f0c4c5d7d2c7ada738,2025-02-27T09:00:00,221096.85,0.00,78119446.89
synb1_txn_24cec5e07d8cf07011f70071,2025-02-27T09:00:00,26531.62,0.00,78092915.27
synb1_txn_544e0daaf8122f14019cbddb,2025-02-28T16:09:20,3683960.00,0.00,74408955.27
synb1_txn_509091c6a67f38f4e02a0abc,2025-03-02T12:50:19,3683960.00,0.00,70724995.27
synb1_txn_78f76acc43ca325df2dbed80,2025-03-03T09:00:00,0.00,36155172.00,106880167.27
synb1_txn_2ad8b7e2b228152ee63ff1c3,2025-03-11T09:01:47,540988.51,0.00,106339178.76
synb1_txn_505721f7dfa9a4fa617e0ddf,2025-03-14T09:29:58,2202205.77,0.00,104136972.99
synb1_txn_7644e3568af20a98a48ae275,2025-03-16T16:02:04,69299.64,0.00,104067673.35
synb1_txn_e3e0658c5d6ec946c1f728fd,2025-03-18T10:45:45,2109537.18,0.00,101958136.17
synb1_txn_74066cd91dd3436e995e355f,2025-03-20T12:42:42,1865822.86,0.00,100092313.31
synb1_txn_2ae52de470096815f648e156,2025-03-22T14:36:19,84085.94,0.00,100008227.37
synb1_txn_3a48bdd6ba4b9a8cb832e2e3,2025-03-25T11:28:02,0.00,2227520.36,102235747.73
synb1_txn_f26694052a02c7e93b9a955c,2025-03-26T11:44:23,0.00,2194416.64,104430164.37
synb1_txn_8c369c06daff8fa1eec7d0ec,2025-03-27T09:00:00,223595.24,0.00,104206569.13
synb1_txn_a08b23a4ad954462f4a3dba3,2025-03-27T09:00:00,26831.42,0.00,104179737.71
synb1_txn_642fcf68bbb611123a805969,2025-03-31T14:53:05,80953.50,0.00,104098784.21
synb1_txn_7f74d0d1491cb7348f2e9d6d,2025-04-01T10:35:33,78058.93,0.00,104020725.28
synb1_txn_d9e7276c46c27f919d182acf,2025-04-03T09:00:00,143709.38,0.00,103877015.90
synb1_txn_6ab1c73c8cdbe70cdf416b96,2025-04-10T16:12:24,0.00,5990819.97,109867835.87
synb1_txn_e5f2987870562235c89a7eef,2025-04-13T10:30:48,3683960.00,0.00,106183875.87
synb1_txn_272a59713614cb4b9dabf8fe,2025-04-15T10:54:30,6186223.56,0.00,99997652.31
synb1_txn_6ac2c702430abc3f776be090,2025-04-15T15:04:34,5727245.69,0.00,94270406.62
synb1_txn_1db8bbebf20e22fa11915347,2025-04-18T16:05:45,6328331.35,0.00,87942075.27
synb1_txn_b5934865f4db04ae6de255cf,2025-04-23T09:37:02,80168.64,0.00,87861906.63
synb1_txn_fa2542d4b6c59c45c274344b,2025-04-23T12:31:35,540988.51,0.00,87320918.12
synb1_txn_28cdb1d39aa3d9e5c8a81805,2025-04-23T14:12:28,76111.51,0.00,87244806.61
synb1_txn_73ac59502867af237cb40193,2025-04-26T12:33:38,0.00,5850979.91,93095786.52
synb1_txn_c4e7b518553ea12f8d74ca22,2025-04-27T09:00:00,1073764.53,0.00,92022021.99
synb1_txn_9c20a51ad9e4c1dff0e0a35e,2025-04-27T09:00:00,904374.55,0.00,91117647.44
synb1_txn_a320b5252194614ad723b37d,2025-04-27T09:00:00,108524.94,0.00,91009122.50
synb1_txn_3b2d165159b72f59c122273f,2025-05-03T09:00:00,139073.59,0.00,90870048.91
synb1_txn_0fd2e4533d75f5e847896d1c,2025-05-06T11:49:43,7924692.33,0.00,82945356.58
synb1_txn_a5dc8d6c3fbaddb665ad5329,2025-05-08T16:16:22,78622.00,0.00,82866734.58
synb1_txn_cf3dd5e1de90ec678be0d486,2025-05-11T13:25:04,7226191.50,0.00,75640543.08
synb1_txn_af5aefaade4cc787154f9595,2025-05-12T17:08:08,7208299.56,0.00,68432243.52
