calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_442d70de19f8604b95dba272,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,99577.50,2,3500422.50,last_posted_transaction_or_prior_closing_balance,synb1_txn_43125189e579f9120cd24beb,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,3500422.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,3500422.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,3500422.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,152450.60,1,3347971.90,last_posted_transaction_or_prior_closing_balance,synb1_txn_3f170761c1df957710f196ec,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,0.00,0,3347971.90,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,91791.86,0.00,1,3439763.76,last_posted_transaction_or_prior_closing_balance,synb1_txn_c5af8a4dfbf10fec1dd44fb4,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,0.00,0.00,0,3439763.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-11,complete
2025-01-11,0.00,24421.28,1,3415342.48,last_posted_transaction_or_prior_closing_balance,synb1_txn_ee665dc5c2806faaf5edc0b3,trusted,historical_transaction_override,historical_transaction_override,True,9,2025-01-12,complete
2025-01-12,0.00,65937.47,1,3349405.01,last_posted_transaction_or_prior_closing_balance,synb1_txn_0af42bc02f4d563e15a373b7,trusted,historical_transaction_override,historical_transaction_override,True,10,2025-01-13,complete
2025-01-13,78678.75,0.00,1,3428083.76,last_posted_transaction_or_prior_closing_balance,synb1_txn_7cbac2ed4f3f5bd7b81a2dd1,trusted,weekday_rule,base_calendar,True,11,2025-01-14,complete
2025-01-14,0.00,0.00,0,3428083.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2025-01-15,complete
2025-01-15,0.00,0.00,0,3428083.76,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-16,complete
2025-01-16,60641.70,0.00,1,3488725.46,last_posted_transaction_or_prior_closing_balance,synb1_txn_3b592c3e62cc104dec3d8af9,trusted,weekday_rule,base_calendar,True,14,2025-01-17,complete
2025-01-17,0.00,0.00,0,3488725.46,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2025-01-18,complete
