transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_d5743188a913bec645ec473f,2024-01-01T09:00:00,0.00,1600000.00,1600000.00
synb1_txn_e3c7dad634dbebfa7b69d294,2024-01-02T15:00:00,0.00,76399.55,1676399.55
synb1_txn_3cd4a01f586cf8789683eb82,2024-01-04T09:00:00,55835.75,0.00,1620563.80
synb1_txn_6705ec27e55274e61c31018f,2024-01-05T09:00:00,6200.00,0.00,1614363.80
synb1_txn_a0597f6ad2742d82e77c0281,2024-01-07T09:00:00,26000.00,0.00,1588363.80
synb1_txn_84280db20f7b532c6012d42b,2024-01-07T09:00:00,8527.50,0.00,1579836.30
synb1_txn_4663f003af0cbd25f6f29b61,2024-01-08T09:00:00,2100.40,0.00,1577735.90
synb1_txn_b9d08961034954e5cb79ec0c,2024-01-10T09:00:00,2499.60,0.00,1575236.30
synb1_txn_58ebf549c74d62452d9aa5f0,2024-01-12T09:00:00,59.88,0.00,1575176.42
synb1_txn_a972d4f0e8253b48960ae897,2024-01-13T09:00:00,10102.86,0.00,1565073.56
synb1_txn_624e4b7596024627577e58bd,2024-01-15T15:00:00,0.00,11958.67,1577032.23
synb1_txn_efd878a14b521c4616172d51,2024-01-21T15:00:00,0.00,58519.64,1635551.87
synb1_txn_01f1bd985df833d4e2fbd988,2024-01-22T15:00:00,0.00,26066.20,1661618.07
synb1_txn_e78eeee4f9f14ea4ac1f49ad,2024-01-23T15:00:00,0.00,655.94,1662274.01
synb1_txn_301d587958e6f3d16ffd1f9b,2024-01-24T09:00:00,70000.00,0.00,1592274.01
synb1_txn_02cf09e592c151d6dd5875e0,2024-01-25T09:00:00,20269.37,0.00,1572004.64
synb1_txn_df61ec10b72a97292a6ee836,2024-01-27T09:00:00,72644.64,0.00,1499360.00
synb1_txn_c49d09e85a2fa027bd27de52,2024-02-05T09:00:00,6200.00,0.00,1493160.00
synb1_txn_61fbf63dbd444b7cc1181dd1,2024-02-07T09:00:00,26000.00,0.00,1467160.00
synb1_txn_d27366b05a41fb3a2b83e741,2024-02-11T15:00:00,0.00,31367.70,1498527.70
synb1_txn_000cb1dd5df640ff2fbd073d,2024-02-12T09:00:00,2777.97,0.00,1495749.73
synb1_txn_9e27bd4ce3100447e9f66ab2,2024-02-12T09:00:00,10714.93,0.00,1485034.80
synb1_txn_3e7df0af86db4e3746cea915,2024-02-13T09:00:00,573.97,0.00,1484460.83
synb1_txn_385db073609a6729e2f7f0f3,2024-02-14T15:00:00,0.00,20104.45,1504565.28
synb1_txn_9e16eac766a17815fd9911b1,2024-02-15T09:00:00,3543.89,0.00,1501021.39
synb1_txn_cd0b79a0c9015ba3686a8368,2024-02-15T09:00:00,16322.61,0.00,1484698.78
synb1_txn_9a134cbd9f4af823b62b1fc7,2024-02-16T15:00:00,0.00,54927.85,1539626.63
synb1_txn_594d5b88fd62ddcc2e7b2364,2024-02-17T15:00:00,0.00,15175.63,1554802.26
synb1_txn_12a41c6d3912111a2d2c3b3d,2024-02-18T09:00:00,9372.80,0.00,1545429.46
synb1_txn_b0d614b04fc7ac0f7f8cb350,2024-02-18T09:00:00,2800.00,0.00,1542629.46
synb1_txn_138b5af65c80bc1cbb443b8a,2024-02-18T09:00:00,336.00,0.00,1542293.46
synb1_txn_19fd76913de1f1f6bda5c2d3,2024-02-19T09:00:00,4351.65,0.00,1537941.81
synb1_txn_6452441fb6292133782df01e,2024-02-20T09:00:00,44608.75,0.00,1493333.06
synb1_txn_3d45c78cda4e04bab3f56c58,2024-02-20T09:00:00,4038.02,0.00,1489295.04
synb1_txn_63d2a9ae1974bd5a441cecdb,2024-02-21T09:00:00,60000.00,0.00,1429295.04
synb1_txn_79c7b0af49dea8738ecb4122,2024-02-21T15:00:00,0.00,25800.04,1455095.08
synb1_txn_e1d84add5f11fd78626623cc,2024-02-22T09:00:00,346.84,0.00,1454748.24
synb1_txn_fd45d8be2c3973c9e25a5e58,2024-02-22T15:00:00,0.00,36121.59,1490869.83
synb1_txn_6833e7c11c64c242f7a19515,2024-02-23T09:00:00,1008.98,0.00,1489860.85
synb1_txn_3bbecdbdbcbceeaad840fb75,2024-02-23T09:00:00,4155.92,0.00,1485704.93
synb1_txn_453ccae1a3a3c4b5884bd998,2024-02-23T09:00:00,115708.36,0.00,1369996.57
synb1_txn_447094aa620f81e28920b463,2024-02-24T09:00:00,37019.03,0.00,1332977.54
synb1_txn_4dfa9675998899a3330145eb,2024-02-27T09:00:00,239.08,0.00,1332738.46
synb1_txn_59a1c64c912ecd8cafe70d09,2024-02-27T15:00:00,0.00,139902.74,1472641.20
synb1_txn_bf11cc6a9086a991f0816add,2024-03-04T09:00:00,13262.38,0.00,1459378.82
synb1_txn_660d8438a8e9af6e9f109971,2024-03-04T09:00:00,11550.90,0.00,1447827.92
synb1_txn_6afe955e7f63d9d091cf4ebb,2024-03-04T09:00:00,18590.36,0.00,1429237.56
synb1_txn_65105c253d4b0a07a6e1d86f,2024-03-04T09:00:00,9098.99,0.00,1420138.57
synb1_txn_1925b658356bc6901bb135b1,2024-03-05T09:00:00,6200.00,0.00,1413938.57
synb1_txn_164869888c9462f6db4263b7,2024-03-06T15:00:00,0.00,3404.43,1417343.00
synb1_txn_84004f22c8b53b3b16f85bae,2024-03-06T15:00:00,0.00,15437.11,1432780.11
synb1_txn_e3136c1977d866f9e6021ec6,2024-03-07T09:00:00,3299.04,0.00,1429481.07
synb1_txn_85b07a8a52c38f2deb0e6d1c,2024-03-07T09:00:00,26000.00,0.00,1403481.07
synb1_txn_7f4964dff375a810d04a4b7a,2024-03-07T09:00:00,93884.20,0.00,1309596.87
synb1_txn_3d23c4abcf07a3e9e0c8f84a,2024-03-10T15:00:00,0.00,9886.64,1319483.51
synb1_txn_cc00ce718b8cb777f6e6e427,2024-03-14T15:00:00,0.00,1969.19,1321452.70
synb1_txn_7549791199989e7304320672,2024-03-15T09:00:00,1300.96,0.00,1320151.74
synb1_txn_955e1da84f05136eedc504eb,2024-03-15T09:00:00,542.38,0.00,1319609.36
synb1_txn_51b3a5e8536aadf7d33ac7ac,2024-03-16T09:00:00,10575.52,0.00,1309033.84
synb1_txn_3eb5ecfb45d325cee511c5c2,2024-03-17T09:00:00,7493.27,0.00,1301540.57
synb1_txn_75cdd7c62653c4252f830212,2024-03-17T15:00:00,0.00,9801.65,1311342.22
synb1_txn_bcd9dc49762accdf8a4717e1,2024-03-18T09:00:00,13556.00,0.00,1297786.22
synb1_txn_99c06cb7d222af74f7421fcb,2024-03-18T09:00:00,3500.00,0.00,1294286.22
synb1_txn_177547aab152ee44b92c335d,2024-03-18T09:00:00,420.00,0.00,1293866.22
synb1_txn_1c9d6b867ae6a7ecfb127059,2024-03-18T15:00:00,0.00,37425.11,1331291.33
synb1_txn_50a7202549996f8d945bb982,2024-03-20T09:00:00,299.83,0.00,1330991.50
