transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_dd4acb2b7761af2a8f173cff,2025-01-01T09:00:00,流入,45125959.02,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8bd29f7b83934df86a10901c,2025-01-02T10:50:27,流出,130887.51,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_73933927e03f7caf13c8b979,2025-01-14T15:31:54,流出,195747.13,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c9bc6fc69d4b70804f816995,2025-01-15T11:31:27,流出,122840.01,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8e75f445039650fb9f3771af,2025-01-19T14:59:30,流出,1546300.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_592ae275d9ae7cf88a19a804,2025-01-21T16:09:22,流出,2614192.42,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0152cd16c43c9c3bdcfc30d1,2025-01-22T11:28:06,流出,2333401.83,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2420669d71dbd71a3359edc1,2025-01-26T14:31:40,流出,2495231.52,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cdc49bfc700185a92939c0fb,2025-01-27T15:00:34,流出,2435215.21,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_91752773bac9b3b17f556ccd,2025-01-31T16:10:14,流出,122709.26,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1bb80a332c619347dfc0833d,2025-02-03T13:35:30,流出,5060547.71,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_27fbecc08882d9337de3fcc7,2025-02-05T17:15:30,流入,1847953.88,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_984235d41ed11d33c26f2950,2025-02-07T16:42:26,流出,128601.29,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f9f7c1e6194a5c86f5b5d0b5,2025-02-08T11:47:18,流出,4977816.68,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_306dfd41477129ea69b5105a,2025-02-12T10:02:22,流入,1935442.17,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1d8201090a3e6f34fee5a118,2025-02-12T12:57:01,流出,195747.13,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9e822d1966e5c78ee40169e3,2025-02-14T09:28:58,流出,1546300.00,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cd74feecf6a7a123b031ce7a,2025-02-17T11:14:56,流入,2321901.19,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_63e1a8fd504de8033abeb20d,2025-02-19T14:24:05,流出,122912.37,其他已声明事项,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_35b944b00736ed0b4ffb6334,2025-02-21T16:42:34,流出,4524291.12,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_878e08f3d8a6646c5f2ba133,2025-02-24T09:52:30,流出,4615494.61,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cea6a7f81b212c3afc3d067f,2025-02-24T11:10:50,流入,2153638.36,销售回款,仅供人工查看；不得作为模型输入或导入数据库
