transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_75135ec333b5f9126f25616d,2024-01-01T09:00:00,0.00,3168000.00,3168000.00
synb1_txn_54bfc5b7601495dc6dffc234,2024-01-05T09:00:00,19500.00,0.00,3148500.00
synb1_txn_f4179d095d1b04f273fd602a,2024-01-05T15:00:00,0.00,38417.84,3186917.84
synb1_txn_56691809659ecbcabf737acf,2024-01-07T09:00:00,82000.00,0.00,3104917.84
synb1_txn_1d403abb5dd226a510b8fbfc,2024-01-07T15:00:00,0.00,64550.40,3169468.24
synb1_txn_3e532d563cc59f94acc00442,2024-01-10T09:00:00,8813.06,0.00,3160655.18
synb1_txn_9f0f6eed79341f275f426487,2024-01-12T09:00:00,27678.93,0.00,3132976.25
synb1_txn_1d19cacaaa420e3557c341e1,2024-01-16T09:00:00,74934.71,0.00,3058041.54
synb1_txn_c12b34d49136d08129f8f04e,2024-01-18T09:00:00,2821.28,0.00,3055220.26
synb1_txn_a9c6c3dc02fe27cbdbe96c56,2024-01-20T09:00:00,137643.54,0.00,2917576.72
synb1_txn_1bee7f7b0d04261fdeb6aa1a,2024-01-20T15:00:00,0.00,3163.60,2920740.32
synb1_txn_c7924ab572c431a0688f66f6,2024-01-24T09:00:00,865.66,0.00,2919874.66
synb1_txn_4264cca304b3fc536f59162c,2024-01-24T09:00:00,70446.82,0.00,2849427.84
synb1_txn_aeedd53cc4a3f52b323f2b22,2024-01-24T15:00:00,0.00,143986.32,2993414.16
synb1_txn_0e1e43465cb8b512c374fb04,2024-01-25T09:00:00,100000.00,0.00,2893414.16
synb1_txn_21209233ae2e46b67e7578d6,2024-01-26T15:00:00,0.00,4967.72,2898381.88
synb1_txn_0dd88b314d6defddc05afb5f,2024-01-27T15:00:00,0.00,95704.12,2994086.00
synb1_txn_6a04d2b6d658661b43077dbe,2024-02-02T15:00:00,0.00,30667.41,3024753.41
synb1_txn_32bafd9402ac5564a3c36aac,2024-02-04T09:00:00,1353.61,0.00,3023399.80
synb1_txn_d61b00b1b86357c3a3a7ae08,2024-02-05T09:00:00,19500.00,0.00,3003899.80
synb1_txn_4b6facda0516386499aa9e22,2024-02-05T09:00:00,9841.28,0.00,2994058.52
synb1_txn_a4ceaa6da362cad16aedb155,2024-02-06T09:00:00,608.88,0.00,2993449.64
synb1_txn_dad08f8a211e4b9f6e07faf8,2024-02-06T09:00:00,15614.55,0.00,2977835.09
synb1_txn_7a2a37e83f938e6918a9f4c0,2024-02-07T09:00:00,82000.00,0.00,2895835.09
synb1_txn_4ad8a8b0a09a52a7e3536841,2024-02-08T09:00:00,41404.94,0.00,2854430.15
synb1_txn_9147d08f7c5c75cc3eafc427,2024-02-09T09:00:00,1111.52,0.00,2853318.63
synb1_txn_9832b5a1e092bd45768b64a1,2024-02-09T15:00:00,0.00,75022.14,2928340.77
synb1_txn_c50bb2d42e07967ba7b2f783,2024-02-09T15:00:00,0.00,83688.64,3012029.41
synb1_txn_7bae263c9a23166207bdb635,2024-02-10T15:00:00,0.00,22844.61,3034874.02
synb1_txn_43159a23cbd5abe442583e13,2024-02-10T15:00:00,0.00,14123.71,3048997.73
synb1_txn_bccc00802f6bba4740c0df4f,2024-02-10T15:00:00,0.00,187576.00,3236573.73
synb1_txn_ecf30a85efa78bef7e1a716d,2024-02-11T09:00:00,8240.23,0.00,3228333.50
synb1_txn_97ffb54e92d0a8c66cc62b94,2024-02-11T09:00:00,25203.56,0.00,3203129.94
synb1_txn_fc9710e5613f39ead3d1afa7,2024-02-12T15:00:00,0.00,5890.85,3209020.79
synb1_txn_e777f042ffeeb3e7e751ec12,2024-02-13T15:00:00,0.00,18022.67,3227043.46
synb1_txn_7d8818dbb8df64e36da15886,2024-02-18T09:00:00,13214.44,0.00,3213829.02
synb1_txn_16926d073a91578a427462b4,2024-02-18T09:00:00,5315.00,0.00,3208514.02
synb1_txn_1c533157e5b3125ee48accf0,2024-02-18T09:00:00,637.80,0.00,3207876.22
synb1_txn_07ef8ac3437f037667957e86,2024-02-18T09:00:00,1954.90,0.00,3205921.32
synb1_txn_8c8e3692220304b8717f9e83,2024-02-19T15:00:00,0.00,10060.80,3215982.12
synb1_txn_536a9208d5e6584663e5ee22,2024-02-20T09:00:00,584.47,0.00,3215397.65
synb1_txn_abde5ebe1918d7d1b6e9416e,2024-02-20T09:00:00,65352.59,0.00,3150045.06
synb1_txn_3be792215c5a4105dd193265,2024-02-21T09:00:00,148744.01,0.00,3001301.05
synb1_txn_2ade8c15793e8888c54d5837,2024-02-21T15:00:00,0.00,1940.35,3003241.40
synb1_txn_1f48349f3bd11fb0af7ad3e6,2024-02-22T09:00:00,80000.00,0.00,2923241.40
synb1_txn_ca11dc887d6db116bc1fc56d,2024-02-22T09:00:00,147030.76,0.00,2776210.64
synb1_txn_29f1f9c812035df1806e5de0,2024-02-23T09:00:00,15760.67,0.00,2760449.97
synb1_txn_1babfb4eab3bd7f1dd4aecbf,2024-02-23T15:00:00,0.00,74066.41,2834516.38
synb1_txn_319103fb2449a3f6f62a5ffc,2024-02-23T15:00:00,0.00,53377.20,2887893.58
synb1_txn_36c809d140e809190e625e23,2024-02-24T15:00:00,0.00,62259.31,2950152.89
synb1_txn_0dc86b61560700bbbf8cdce9,2024-02-25T15:00:00,0.00,6320.36,2956473.25
synb1_txn_1ec193511449d774a83851c1,2024-02-26T09:00:00,823.43,0.00,2955649.82
synb1_txn_6e71c0f34b198d01e2adcd67,2024-02-26T15:00:00,0.00,5033.54,2960683.36
synb1_txn_279fd35cc4d6795697943e5a,2024-03-02T09:00:00,11682.40,0.00,2949000.96
synb1_txn_f4259c1f460b69397fe875f7,2024-03-02T15:00:00,0.00,23015.48,2972016.44
synb1_txn_44303f083882507046731b63,2024-03-03T09:00:00,6349.20,0.00,2965667.24
synb1_txn_8b89fddabf04f7599f9da456,2024-03-04T15:00:00,0.00,18976.71,2984643.95
synb1_txn_3a6b0b4e6ffe71475a5b81b6,2024-03-05T09:00:00,19500.00,0.00,2965143.95
synb1_txn_4531690146944573824ac0a4,2024-03-07T09:00:00,82000.00,0.00,2883143.95
synb1_txn_98b67b65d7c8698af1fa0759,2024-03-07T15:00:00,0.00,1999.32,2885143.27
synb1_txn_53a8187511c0cdccfe293852,2024-03-09T09:00:00,4935.12,0.00,2880208.15
synb1_txn_974653e9459df5957e12674d,2024-03-10T09:00:00,80.61,0.00,2880127.54
synb1_txn_5744d2e41397bef2015e4445,2024-03-11T15:00:00,0.00,204182.35,3084309.89
synb1_txn_1e0b8aadad7a401eda451c4d,2024-03-13T09:00:00,16979.84,0.00,3067330.05
synb1_txn_286783686ea8fe94230b464d,2024-03-14T15:00:00,0.00,218974.94,3286304.99
synb1_txn_611e2d3bfa9e69a102fe8409,2024-03-15T09:00:00,98295.16,0.00,3188009.83
synb1_txn_803398117c953c89b5b40176,2024-03-16T09:00:00,1124.27,0.00,3186885.56
synb1_txn_70a96b87e689d285f8b03f67,2024-03-16T09:00:00,10.80,0.00,3186874.76
synb1_txn_930f624bab8a5d4a3a01f150,2024-03-17T15:00:00,0.00,1204.87,3188079.63
synb1_txn_22cc76562782339665440357,2024-03-17T15:00:00,0.00,49817.91,3237897.54
synb1_txn_52d8c40b9510e016f6852086,2024-03-18T09:00:00,25472.22,0.00,3212425.32
synb1_txn_e9478a3cc7d529f5e556b19a,2024-03-18T09:00:00,7124.00,0.00,3205301.32
synb1_txn_0efecc17c7f82bd56d5aa3e5,2024-03-18T09:00:00,854.88,0.00,3204446.44
synb1_txn_eb1302827711cb3b655e2f16,2024-03-22T15:00:00,0.00,3453.03,3207899.47
synb1_txn_832ff87acef82a746d97fae8,2024-03-22T15:00:00,0.00,35455.09,3243354.56
synb1_txn_922ac3d338745649b7391128,2024-03-23T15:00:00,0.00,8156.19,3251510.75
synb1_txn_07099450f0dca1c7e506b580,2024-03-24T09:00:00,261698.56,0.00,2989812.19
synb1_txn_2446e9f9ea231043ab3762ae,2024-03-25T09:00:00,56724.04,0.00,2933088.15
synb1_txn_d42bbf4801cd02d71d237c7c,2024-03-25T15:00:00,0.00,54451.28,2987539.43
synb1_txn_09d985b411c761809eeb95a4,2024-03-26T15:00:00,0.00,64662.83,3052202.26
synb1_txn_ed5b65e6d420427798679141,2024-04-03T15:00:00,0.00,2634.59,3054836.85
synb1_txn_9b955170185a434510207e87,2024-04-05T09:00:00,19500.00,0.00,3035336.85
synb1_txn_22456d45c67cd0e33647f7e1,2024-04-06T15:00:00,0.00,7643.16,3042980.01
synb1_txn_f827863b170a046340953994,2024-04-06T15:00:00,0.00,68630.77,3111610.78
synb1_txn_b49ebcef0ff0f97c200b2357,2024-04-07T09:00:00,82000.00,0.00,3029610.78
synb1_txn_6273a2a6ccb312c34d89a5b6,2024-04-11T09:00:00,149270.51,0.00,2880340.27
synb1_txn_af13e0a5424e20de64a3ae32,2024-04-11T09:00:00,183261.61,0.00,2697078.66
synb1_txn_618ac583b88afe59e1526113,2024-04-17T09:00:00,48075.99,0.00,2649002.67
synb1_txn_ee595af6111e3ffc050c33b9,2024-04-17T15:00:00,0.00,126974.09,2775976.76
synb1_txn_0ada6d64c258628a639f865b,2024-04-17T15:00:00,0.00,22121.68,2798098.44
synb1_txn_b2c233a1e8ce065e3b17a917,2024-04-18T09:00:00,22022.42,0.00,2776076.02
synb1_txn_3bf907f36e8c6f54e0ffcecb,2024-04-18T09:00:00,6699.00,0.00,2769377.02
synb1_txn_b0d64188935ab897e2f63d44,2024-04-18T09:00:00,803.88,0.00,2768573.14
synb1_txn_e4fa1e48db176e6dad56cdd8,2024-04-18T09:00:00,11082.40,0.00,2757490.74
synb1_txn_29cbf32abdbf74f702c3bb7a,2024-04-18T15:00:00,0.00,1904.23,2759394.97
synb1_txn_e951cfecf8cadc07fa01f522,2024-04-20T09:00:00,7486.09,0.00,2751908.88
synb1_txn_2841966f75d24ca301a493d3,2024-04-21T09:00:00,1417.60,0.00,2750491.28
synb1_txn_2591c464234199c49585e223,2024-04-21T15:00:00,0.00,3258.73,2753750.01
synb1_txn_df7cf01d726fc3bd9ed121c6,2024-04-23T15:00:00,0.00,14494.54,2768244.55
synb1_txn_10f6b6ccf20e1749a87fc6ab,2024-04-23T15:00:00,0.00,34278.64,2802523.19
synb1_txn_dc68b22738e30664fb62d454,2024-04-24T15:00:00,0.00,36578.02,2839101.21
synb1_txn_2472c7c2bf57a77b77ee09a3,2024-04-25T15:00:00,0.00,16520.77,2855621.98
synb1_txn_91df29ce35c4f855c1b9ac50,2024-04-26T15:00:00,0.00,68083.42,2923705.40
synb1_txn_c57bccc5e761cddca3008389,2024-04-26T15:00:00,0.00,44579.86,2968285.26
synb1_txn_a2927b015dcdd52264f97589,2024-04-27T15:00:00,0.00,147089.50,3115374.76
synb1_txn_6cfd6dca1f48a21835e82126,2024-05-02T15:00:00,0.00,3274.37,3118649.13
synb1_txn_83cb19d1fce98d7b14e6b72d,2024-05-04T09:00:00,173233.95,0.00,2945415.18
synb1_txn_897661a8d7e079d40017d852,2024-05-04T15:00:00,0.00,3747.90,2949163.08
synb1_txn_26be25bb9ff982e704a8fc8a,2024-05-05T09:00:00,9261.74,0.00,2939901.34
synb1_txn_2b2b2ed85d99eea3c3b62b10,2024-05-05T09:00:00,19500.00,0.00,2920401.34
synb1_txn_0d6571f3f44630d6e38a7c2e,2024-05-05T09:00:00,2632.08,0.00,2917769.26
synb1_txn_8ca9eb77026fff45a03c1029,2024-05-05T09:00:00,33550.61,0.00,2884218.65
synb1_txn_d45977f6305afc790a859a82,2024-05-05T09:00:00,87100.93,0.00,2797117.72
synb1_txn_6fd11526a9bd94fccf8e054c,2024-05-07T09:00:00,82000.00,0.00,2715117.72
synb1_txn_ca285c44197a3e926c6e6dc1,2024-05-07T15:00:00,0.00,94430.11,2809547.83
synb1_txn_93627d321c48a5e8d1ba4e36,2024-05-08T09:00:00,2868.03,0.00,2806679.80
synb1_txn_31edcc0e05061ae1edeff7b6,2024-05-08T09:00:00,33441.90,0.00,2773237.90
synb1_txn_540038045eee050d0acd75fa,2024-05-08T15:00:00,0.00,11311.39,2784549.29
synb1_txn_7c988f47fe8c263794b5cba5,2024-05-10T09:00:00,16139.54,0.00,2768409.75
synb1_txn_342bbf62a1305a2ddb0ad07d,2024-05-10T15:00:00,0.00,4334.40,2772744.15
synb1_txn_417843a6fc24ece1a0c08caf,2024-05-11T09:00:00,67.60,0.00,2772676.55
synb1_txn_5ba02b84d4bdd02617ae4efc,2024-05-15T09:00:00,3170.66,0.00,2769505.89
synb1_txn_db8348b6e98a597e5ab09522,2024-05-15T15:00:00,0.00,772885.07,3542390.96
synb1_txn_cff67b334d9b40132d5cb667,2024-05-17T09:00:00,157498.41,0.00,3384892.55
synb1_txn_6a9bd6315993e2d22499cc5e,2024-05-20T09:00:00,14311.33,0.00,3370581.22
synb1_txn_50155c3d3f2584e63e2ce183,2024-05-20T09:00:00,5561.00,0.00,3365020.22
synb1_txn_f58b1d8be206be349430610a,2024-05-20T09:00:00,667.32,0.00,3364352.90
synb1_txn_48f406bdd03784f1be99ad0c,2024-05-20T09:00:00,82482.22,0.00,3281870.68
synb1_txn_4aee2e317d2d0d2a2df3b19b,2024-05-21T15:00:00,0.00,1115.27,3282985.95
synb1_txn_ca34131da1bce8cf10c7d392,2024-05-22T15:00:00,0.00,49552.93,3332538.88
synb1_txn_851f6a36cf805c339fd49675,2024-05-22T15:00:00,0.00,6664.66,3339203.54
synb1_txn_6ee04b87fb13e4bdab45c5d2,2024-05-23T09:00:00,14360.95,0.00,3324842.59
synb1_txn_d986baeff5d304f50b64ceb3,2024-05-24T09:00:00,17668.98,0.00,3307173.61
synb1_txn_00879cbb3de61e7d5746ef1c,2024-05-25T09:00:00,39965.80,0.00,3267207.81
synb1_txn_6c6586fd995adc2c5662f0f2,2024-05-25T15:00:00,0.00,66000.56,3333208.37
synb1_txn_829261075188bd8c6a382dd3,2024-05-27T15:00:00,0.00,17917.34,3351125.71
synb1_txn_40146ba831e9b2bb9b9562a2,2024-06-02T09:00:00,6314.65,0.00,3344811.06
synb1_txn_5a7fcd6e5367d4c239eea43e,2024-06-02T15:00:00,0.00,76522.91,3421333.97
synb1_txn_781e1ebf246190122e6a12e3,2024-06-02T15:00:00,0.00,53378.42,3474712.39
synb1_txn_528051837219fa2432b2acd5,2024-06-03T15:00:00,0.00,11787.60,3486499.99
synb1_txn_ff049968f40dbac4ccf5552a,2024-06-05T09:00:00,19500.00,0.00,3466999.99
synb1_txn_34b3421995cbc22323a5dbed,2024-06-05T15:00:00,0.00,515.24,3467515.23
synb1_txn_e65acdb6938e309a0231dc14,2024-06-06T09:00:00,9696.61,0.00,3457818.62
synb1_txn_36928229208210965dcf9a7c,2024-06-06T09:00:00,311.23,0.00,3457507.39
synb1_txn_06ebf8f23be2662787f5e472,2024-06-06T15:00:00,0.00,2298.35,3459805.74
synb1_txn_8a6e64ca00c758af0cd51646,2024-06-07T09:00:00,82000.00,0.00,3377805.74
synb1_txn_7a2bdba3575d21e816db2965,2024-06-09T09:00:00,146426.91,0.00,3231378.83
synb1_txn_4c8631ed17838dfe15430ddf,2024-06-10T15:00:00,0.00,11388.85,3242767.68
synb1_txn_921b741a025a8d098fc43b73,2024-06-10T15:00:00,0.00,54553.29,3297320.97
synb1_txn_0d25655292099d1c8a267cdf,2024-06-12T09:00:00,50530.04,0.00,3246790.93
synb1_txn_fa10a1ad32878aa4468a6739,2024-06-12T09:00:00,140728.83,0.00,3106062.10
synb1_txn_cbfed12dced5a584026393af,2024-06-12T15:00:00,0.00,256795.25,3362857.35
synb1_txn_5259013bc1db1e30b5682633,2024-06-13T15:00:00,0.00,98136.97,3460994.32
synb1_txn_d07ab838e6ea07ba1d4116ed,2024-06-14T09:00:00,5712.06,0.00,3455282.26
synb1_txn_38a0f97e2f7962ae574d1c4e,2024-06-14T09:00:00,22049.01,0.00,3433233.25
synb1_txn_ba9bfaccc76e9cd9f999ea74,2024-06-14T15:00:00,0.00,9559.95,3442793.20
synb1_txn_5730fafedc8eb1906d7f9c15,2024-06-15T09:00:00,11711.46,0.00,3431081.74
synb1_txn_7f5462448398a9607ed671aa,2024-06-15T09:00:00,26556.83,0.00,3404524.91
synb1_txn_d632bda1f777cac6da13bb5d,2024-06-18T09:00:00,63091.76,0.00,3341433.15
synb1_txn_f776f62857bf2817ca24df70,2024-06-18T09:00:00,12760.00,0.00,3328673.15
synb1_txn_ef41f60ddada80f207abe81f,2024-06-18T09:00:00,1531.20,0.00,3327141.95
