transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_3bfc12e3945a3361a735c49b,2025-01-01T09:00:00,流入,911828.41,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c32cfa5fbd5cb1530a5f30c3,2025-01-15T11:26:26,流出,13952.64,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f9cd1f9c6b75b8fd94ed6508,2025-01-26T13:39:22,流出,4992.00,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bff84f278b6139f57bd8b688,2025-02-03T09:00:00,流入,224640.00,银行借款到账,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_18b46a2b0c68936c445251b6,2025-02-11T10:35:59,流出,13952.64,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2def989ffb84795c9346d6e8,2025-02-19T09:35:28,流出,4992.00,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f18f2e94ad8d93b1053f0d99,2025-02-28T09:00:00,流出,2401.33,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b1a116b965df1fb273dfac80,2025-02-28T09:00:00,流出,3299.71,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2a61007fed7e01096401d52e,2025-02-28T09:00:00,流出,395.96,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a720c2b69a026312f01c2836,2025-03-03T09:00:00,流出,689.31,支付银行借款利息,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_477bd6f34a5f98f150ff675a,2025-03-03T16:29:24,流入,329971.20,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_18e38e9f873663d9b79e710b,2025-03-11T13:40:53,流出,13952.64,工资发放,仅供人工查看；不得作为模型输入或导入数据库
