transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_fecd5c169c0eb2a54dcf051c,2024-01-01T09:00:00,流入,1670800.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a2d7c8c7f28d65b228469e5b,2024-01-05T09:00:00,流出,36000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b32b0ae47903d3779d395419,2024-01-05T09:00:00,流出,111581.78,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f2713f0ed6974357e8f97611,2024-01-05T09:00:00,流出,152829.20,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1b87935e775c5094ae634c92,2024-01-06T09:00:00,流出,3240.42,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_713409435856a5ad97a12926,2024-01-07T09:00:00,流出,113000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b1ea0b1518a43a871b096c20,2024-01-11T09:00:00,流出,200539.98,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d421326424f860895d18361e,2024-01-14T15:00:00,流入,5473.89,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b2868f666a1ae27fcbe7e686,2024-01-14T15:00:00,流入,108013.87,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b6a28cd35da55c52c18b1714,2024-01-16T15:00:00,流入,166802.03,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c3079ebb61f5affc09a7c691,2024-01-18T09:00:00,流出,120.46,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dc9e72c78299b4c3ab2f38cd,2024-01-20T09:00:00,流出,34408.18,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a6e80542df7681fd05f3f6eb,2024-01-23T09:00:00,流出,242680.44,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5d9f3b62d43285804263db9a,2024-01-24T09:00:00,流出,16706.37,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_68f3e66bd44cd9d23f717304,2024-01-24T15:00:00,流入,274314.93,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_05ab64166550b62c14692288,2024-01-25T09:00:00,流出,3680.50,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_668d01df825e1cd2347849b0,2024-01-26T09:00:00,流出,3492.67,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f017a4f21329ae10f397c35e,2024-01-26T15:00:00,流入,187795.28,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9b1869614946f915f91e3a29,2024-02-02T09:00:00,流出,18868.29,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9ed34faf1a20beb61d695f48,2024-02-02T09:00:00,流出,30261.04,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e0c2d596861272a0a493af2c,2024-02-02T15:00:00,流入,154514.95,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_417b7f42e5a83df83db40bb4,2024-02-05T09:00:00,流出,36000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_723653b3a584748eac997a7e,2024-02-05T09:00:00,流出,150266.27,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8616e91a79e2a1db15acb942,2024-02-05T15:00:00,流入,7354.28,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_afc51bb04a68dca95270a304,2024-02-05T15:00:00,流入,7867.74,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d6f595a09355a310bf6ec873,2024-02-07T09:00:00,流出,113000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_135d703a8583855810b95a57,2024-02-10T09:00:00,流出,35537.42,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7b5725881d52168c49ac027c,2024-02-11T09:00:00,流出,64449.35,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_203ebcf4527297571ca7a9df,2024-02-13T09:00:00,流出,190000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d7e57cb4c1d93732e0827eda,2024-02-13T15:00:00,流入,129253.75,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3a497c77b527aa438bcdbc8c,2024-02-14T09:00:00,流出,70573.44,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_76e615e2e998b20d64df6e04,2024-02-14T09:00:00,流出,118316.01,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e303cc20b2d410f6ea90c36d,2024-02-14T15:00:00,流入,313794.69,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8b83308a07821e93074b4980,2024-02-15T09:00:00,流出,3121.90,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1e19d612382cbafc6397367b,2024-02-15T09:00:00,流出,90684.46,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_20114d535dff3e6c111568a0,2024-02-16T15:00:00,流入,19658.18,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_33bd7e082a0c1bbddba3a6c1,2024-02-16T15:00:00,流入,179636.61,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_02033184da3ddff5c1ccb1bf,2024-02-17T09:00:00,流出,152112.15,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_23419d36728660b9fa6758eb,2024-02-18T09:00:00,流出,39332.80,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7c61df2f2fd590591d7a2ea0,2024-02-18T09:00:00,流出,12800.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c623d27ab6e47cf5f41b3ba2,2024-02-18T09:00:00,流出,1536.00,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5de5c253440dffea5d7e20bc,2024-02-18T15:00:00,流入,89305.23,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2803321fde8f2eaa3988d342,2024-02-22T09:00:00,流出,2009.81,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fc5905f14991e5ea4e882f85,2024-02-23T09:00:00,流出,232594.00,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_02a4ac3bda4144fc510b7e3c,2024-02-25T09:00:00,流出,37069.12,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2f908d3225393b2545f020d1,2024-02-27T09:00:00,流出,6696.74,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a44286d5c1a0f4dd0e528db0,2024-02-27T15:00:00,流入,413414.57,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_568ecd0ffa906f1ef1393630,2024-03-03T09:00:00,流出,475.73,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f5f57e16e6df233037711f52,2024-03-03T15:00:00,流入,293996.23,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4ae319245048795289577fba,2024-03-05T09:00:00,流出,36000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d1a3aebd96ba63ddd288983a,2024-03-06T09:00:00,流出,60028.70,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e3cfee1bac11224559feb8ba,2024-03-07T09:00:00,流出,113000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
