calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,780000.00,0.00,1,780000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_b35d03f6730f6db7e92d90ec,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,0.00,0.00,0,780000.00,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,0.00,0.00,0,780000.00,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,0.00,0.00,0,780000.00,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,0.00,11279.83,2,768720.17,last_posted_transaction_or_prior_closing_balance,synb1_txn_ac98f71d145ccfc08c31b32d,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,0.00,0.00,0,768720.17,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,0.00,38000.00,1,730720.17,last_posted_transaction_or_prior_closing_balance,synb1_txn_89f87670daa5b54363349da3,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,12051.50,61289.87,2,681481.80,last_posted_transaction_or_prior_closing_balance,synb1_txn_4f2ba26c60c897a5f90bf01d,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,32315.56,157059.47,2,556737.89,last_posted_transaction_or_prior_closing_balance,synb1_txn_57885bdf6467ecde0e43ddcd,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,0.00,0.00,0,556737.89,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
2024-01-11,19324.70,0.00,1,576062.59,last_posted_transaction_or_prior_closing_balance,synb1_txn_39d182f10062171382d917bb,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,8,2024-01-12,complete
2024-01-12,0.00,217.91,1,575844.68,last_posted_transaction_or_prior_closing_balance,synb1_txn_841b06236edf14892c5810bc,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,9,2024-01-15,complete
2024-01-13,71830.25,0.00,1,647674.93,last_posted_transaction_or_prior_closing_balance,synb1_txn_6da1f31ca75c7f9e0c22a529,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-14,31960.38,835.46,2,678799.85,last_posted_transaction_or_prior_closing_balance,synb1_txn_ebc1724708e427a6d6754320,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-15,0.00,0.00,0,678799.85,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,10,2024-01-16,complete
2024-01-16,0.00,321.78,1,678478.07,last_posted_transaction_or_prior_closing_balance,synb1_txn_5ab3c977ba9a1f6e91e951b0,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,11,2024-01-17,complete
2024-01-17,0.00,0.00,0,678478.07,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,12,2024-01-18,complete
