transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_87537ddad86f0bcfdb6055f4,2024-01-01T09:00:00,0.00,1030000.00,1030000.00
synb1_txn_5c55f583dc1e9291769c05b6,2024-01-02T09:00:00,11475.85,0.00,1018524.15
synb1_txn_e668728bc864f737b09681e0,2024-01-03T15:00:00,0.00,59416.09,1077940.24
synb1_txn_f18b2e14314044b05d483134,2024-01-04T15:00:00,0.00,12317.55,1090257.79
synb1_txn_63e7b5be2080a3e76c73851e,2024-01-05T09:00:00,20000.00,0.00,1070257.79
synb1_txn_4346c7e897d3610cd6188386,2024-01-07T09:00:00,55000.00,0.00,1015257.79
synb1_txn_4c2c932146c829039f54fd63,2024-01-10T15:00:00,0.00,49537.51,1064795.30
synb1_txn_d518589adeac152d2ec2d5dd,2024-01-11T09:00:00,193939.12,0.00,870856.18
synb1_txn_1dca891f0cce6e40a00f6340,2024-01-17T15:00:00,0.00,33878.00,904734.18
synb1_txn_eb61472d20080fd082fc0f97,2024-01-18T15:00:00,0.00,42436.29,947170.47
synb1_txn_5ba64c4312ae2226b2dd6436,2024-01-18T15:00:00,0.00,10186.71,957357.18
synb1_txn_ec4bcb92834c9954f4e19d50,2024-01-21T09:00:00,1022.42,0.00,956334.76
synb1_txn_05bc504e894b3444de7d511c,2024-01-23T09:00:00,1.73,0.00,956333.03
synb1_txn_10c3053ea21ec56fd66075fe,2024-01-25T15:00:00,0.00,19436.83,975769.86
synb1_txn_1d6c8a824df369c9e456bb13,2024-01-27T09:00:00,72172.88,0.00,903596.98
synb1_txn_6486d65444940ca2785a4330,2024-01-28T15:00:00,0.00,9399.89,912996.87
synb1_txn_09db7f2d8f82e43fcd679f15,2024-01-28T15:00:00,0.00,36991.13,949988.00
synb1_txn_09f83a4647ae33a02dea90e8,2024-02-02T09:00:00,45580.02,0.00,904407.98
synb1_txn_ef13eff6132bcb056de2c980,2024-02-05T09:00:00,20000.00,0.00,884407.98
synb1_txn_c71aae32eaabb3934c90bb73,2024-02-05T15:00:00,0.00,57082.71,941490.69
synb1_txn_307a20886c44b56469c941f5,2024-02-06T15:00:00,0.00,1432.85,942923.54
synb1_txn_82f7539a3749f59a67530e79,2024-02-06T15:00:00,0.00,19181.74,962105.28
synb1_txn_3cffb889a6cb3e6a5c42ecb7,2024-02-07T09:00:00,55000.00,0.00,907105.28
synb1_txn_4d6e191a18686f8560ba0214,2024-02-07T09:00:00,21714.41,0.00,885390.87
synb1_txn_278de303d706db20d8133b18,2024-02-09T09:00:00,5998.45,0.00,879392.42
synb1_txn_d5b3c63d75c2301d7b1285c7,2024-02-09T15:00:00,0.00,82228.04,961620.46
synb1_txn_3ac2a0cb03402a791b42bd64,2024-02-10T09:00:00,2126.61,0.00,959493.85
synb1_txn_1fc1b298fa2d7b8fb3f10a6a,2024-02-10T09:00:00,37468.27,0.00,922025.58
synb1_txn_7b5298cdc1282fe001f47952,2024-02-11T09:00:00,16898.76,0.00,905126.82
synb1_txn_7e6a8805b5f4ff95a8559b7a,2024-02-12T15:00:00,0.00,36121.57,941248.39
synb1_txn_5d621b643851c2437efc5f70,2024-02-12T15:00:00,0.00,98448.58,1039696.97
synb1_txn_9f156941a7701e5d0fb775f3,2024-02-15T09:00:00,42027.82,0.00,997669.15
synb1_txn_643b7e104f3dc93b7c916b7d,2024-02-16T15:00:00,0.00,30839.44,1028508.59
synb1_txn_c8d1d8d162159946f47af0f9,2024-02-18T09:00:00,20784.80,0.00,1007723.79
synb1_txn_ccff1b53c7e63d8d90822804,2024-02-18T09:00:00,4800.00,0.00,1002923.79
synb1_txn_c9bcaef421a1cf6f8e704961,2024-02-18T09:00:00,576.00,0.00,1002347.79
synb1_txn_4ebc2dae7eef12eaf5927fe6,2024-02-19T09:00:00,105000.00,0.00,897347.79
synb1_txn_62e738a35d3aa6943fde22fb,2024-02-20T09:00:00,20056.19,0.00,877291.60
synb1_txn_6bb336a31b9caf86a36b0d30,2024-02-20T15:00:00,0.00,11217.03,888508.63
synb1_txn_b114fb50e26c64ddc8060043,2024-02-22T09:00:00,15069.39,0.00,873439.24
synb1_txn_d0551c5ba5ca42de7966f9fc,2024-02-22T09:00:00,97890.11,0.00,775549.13
synb1_txn_dfc240d71589a2fb1738ec98,2024-02-22T15:00:00,0.00,2323.96,777873.09
synb1_txn_4df56e598e4de167fdab46b4,2024-02-26T09:00:00,4064.21,0.00,773808.88
synb1_txn_cbef7a5888dd3290a881f147,2024-02-26T15:00:00,0.00,112954.93,886763.81
synb1_txn_c34eaefbd64365bb49703bbe,2024-02-27T09:00:00,8435.79,0.00,878328.02
synb1_txn_26d44a4249e19769fb7031b0,2024-02-27T09:00:00,46427.97,0.00,831900.05
synb1_txn_908d6451910790b9b638f943,2024-02-27T15:00:00,0.00,68069.15,899969.20
synb1_txn_62ef495ea79e04daf586c68c,2024-03-02T15:00:00,0.00,107017.77,1006986.97
synb1_txn_83e703b811a9e9a92713b2f7,2024-03-02T15:00:00,0.00,8539.87,1015526.84
synb1_txn_60b208ce9480148384213643,2024-03-03T15:00:00,0.00,2924.31,1018451.15
synb1_txn_b4070f358234a37ae58bfd2b,2024-03-04T09:00:00,31575.93,0.00,986875.22
