transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_956b24fd5b7d286c261f2489,2025-01-01T09:00:00,流入,2458917.64,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_53c9e9136d3f4fdf10fb2973,2025-01-02T15:20:28,流出,8129.15,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_58a85b3062ec75b35ab99418,2025-01-03T12:03:16,流出,10383.65,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fea88759c63ea67efc7d68a3,2025-01-03T13:54:19,流出,9160.07,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5c93871a3478168c4bd5c7a0,2025-01-07T17:02:54,流出,2210.65,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b637946253b035a2b82951e4,2025-01-09T13:54:14,流出,2694.12,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_014c801ea192b3f79c363b83,2025-01-12T09:28:05,流出,11259.13,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_08b89a1fe8a14391f47ad8ea,2025-01-15T09:10:06,流出,2031.27,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_74f4b36b4e2a61ac5f0efb73,2025-01-19T14:37:14,流出,2796.96,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_897e3cbea485719c21b3b524,2025-02-03T09:00:00,流入,1459950.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2af62efaa402e5a4dcd98eff,2025-02-05T11:20:38,流出,10249.25,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f4f200895ddf3b268d40b808,2025-02-05T16:55:03,流出,1890.16,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cf2a0e381d2f298146dfb451,2025-02-11T16:19:34,流出,2509.11,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_09ff30f088702bb9a0167aa8,2025-02-15T15:12:17,流出,9735.18,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ad86810fe30a506dec6f92d4,2025-02-16T10:01:08,流出,7943.72,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aa3f403ac04ebd3bf3f96577,2025-02-19T13:32:51,流出,2641.79,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b66a25552520062b4b0b7114,2025-02-21T11:10:30,流出,2691.94,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_63e686e80c3f9059635023b9,2025-02-24T14:50:57,流出,11003.85,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cdb41a68e34778c381bf3770,2025-03-01T15:23:19,流出,896488.10,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9e154bb7c00001aa3a06631e,2025-03-02T10:18:41,流出,9622.53,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cdebc38de33c22bae5fb15ba,2025-03-03T09:00:00,流出,3359.88,支付银行借款利息,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_785b7632cfa9deb27ec6a04b,2025-03-07T10:23:40,流出,10989.99,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_47c1209fc8a14fe0ccb508a5,2025-03-07T16:12:07,流入,150556.59,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9a76b60ac4ae522d451a2ab1,2025-03-15T10:02:25,流入,171528.67,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5d57de0db9fd887cb9ce607d,2025-03-16T13:22:07,流出,7929.13,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3a59bd445f11410dde2302ac,2025-03-16T14:53:41,流出,2276.31,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7c1d3f859673d5d9f4c0b247,2025-03-17T16:15:44,流出,714883.83,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7a475ae78a042f2a56235c67,2025-03-19T11:16:56,流出,1044291.10,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d94eb09c880d42bd75e5fe68,2025-03-19T15:25:20,流入,132058.56,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_29395c4efa6f26e9652568c5,2025-03-21T17:42:23,流入,189207.48,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b8d0f6c1b6da45b3d691b69d,2025-03-22T11:38:55,流出,2184.51,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f7552fda4e62667b872d6008,2025-03-26T15:01:28,流出,3011.14,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1a6f460f2839eb96bc1615dd,2025-03-28T10:37:53,流出,2261.04,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d7ab17cd6371d3d620f4f1b5,2025-03-28T15:48:42,流出,914586.44,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f24a9b8fb1fea28e33355e16,2025-03-28T15:53:54,流出,10390.35,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3fd896fe21912902c3d92aa4,2025-04-02T09:46:36,流出,2176.34,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_29766fd7bf3fab571439df56,2025-04-02T11:00:28,流入,252678.59,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_02aa306dc34f0b54eedb28be,2025-04-03T09:00:00,流出,3719.87,支付银行借款利息,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5d96a1b98bb5a6462fc8321b,2025-04-03T15:19:27,流出,3028.73,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_58f283cb937f293f7fdd369a,2025-04-08T17:15:10,流出,9959.82,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e16639906aa20e13956a011d,2025-04-09T09:58:27,流出,256698.94,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_88c23d021f1a70d4a358d264,2025-04-11T12:10:10,流出,8873.74,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c34649687208d445a60f25b5,2025-04-12T16:54:03,流入,358832.79,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1e4f1ecd732f5696699f37c0,2025-04-14T11:10:00,流入,259609.62,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f82565c6cfc116e20fdbeb30,2025-04-17T09:49:10,流出,10573.05,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4b2e53392ed45ba2bc4c69fc,2025-04-18T11:26:41,流出,305314.45,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6d3c0714824e7441f440235d,2025-04-19T09:31:11,流出,9525.39,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4c86bb5e588f9319e22d69ab,2025-04-22T10:05:18,流出,2359.18,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f18f0c53dbbebf00b1f3f931,2025-04-23T09:49:00,流入,354212.11,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_528f68f475c007963645b70c,2025-04-24T14:45:34,流出,2168.75,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9a4f3359be10e020c29658a8,2025-04-28T09:00:00,流出,43094.86,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_33b627324379a68cd9053fbb,2025-04-28T09:00:00,流出,34482.89,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5276c4cfacd4261b01f58f2b,2025-04-28T09:00:00,流出,4137.93,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c20184460a8f5ae9b1f664be,2025-04-29T10:35:52,流出,295996.01,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2e405575a1e088ae5cf34eaa,2025-04-30T14:18:02,流出,249318.28,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ed500e64feaedc118ad6bb1c,2025-05-01T09:52:45,流出,10270.41,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9a205ba5ac414b829d2f9e36,2025-05-01T17:52:36,流出,10902.23,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dfc1dd5e8b6672e3299f1851,2025-05-02T11:41:59,流出,8627.06,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b4c40c1f1f6ab8523951261a,2025-05-03T09:00:00,流出,3599.88,支付银行借款利息,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_987bb94e5e074c15ed6897cc,2025-05-04T13:57:40,流出,9132.30,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_296bc65a28c2587b7c82632b,2025-05-07T11:17:21,流出,303432.67,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7242df178ffdbf8b3ec8ce2d,2025-05-13T10:22:11,流出,2238.71,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
