transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_03edb67a0bc1dce38dccb489,2024-01-01T09:00:00,流入,3600000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_71b40f2dfd4f6434042a704e,2024-01-03T09:00:00,流出,60000.00,投用设备购买款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ea79d06b0edde1370b2f914f,2024-01-03T09:00:00,流出,31124.78,固定场地租赁付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9b68517483f1dafc23d6e055,2024-01-07T09:00:00,流出,119515.69,持续服务班组工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_37d3ab50a8159462e70d505d,2024-01-08T15:00:00,流入,44285.40,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_456b6508b4252c544dcdaf5e,2024-01-09T09:00:00,流出,138559.67,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e73504642561dcd1e4208c31,2024-01-09T15:00:00,流入,52043.47,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9aa28bd725c14a44f9b2cc28,2024-01-12T15:00:00,流入,14234.60,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_afdc1ebb28869e41afc2d8f9,2024-01-12T15:00:00,流入,26334.00,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_36909171d1851deb940781b7,2024-01-13T15:00:00,流入,80956.53,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_675a14364c96fd97c5f3cbf0,2024-01-15T15:00:00,流入,14732.30,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_abdb8ceb6f26051e1f213516,2024-01-16T15:00:00,流入,32186.00,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dc781b0da9c2cc6e6ae4a700,2024-01-19T09:00:00,流出,66267.66,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_475b1474169105835db76817,2024-01-19T15:00:00,流入,33147.70,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_363e25032e51064ccdd6fb09,2024-01-20T15:00:00,流入,42994.28,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_16af5a9e6acfb7f1bcd516a6,2024-01-24T09:00:00,流出,114462.35,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f7fa512a0efaee1a857b66d3,2024-01-24T15:00:00,流入,52765.72,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3ae347d89c064898ab255fcc,2024-01-25T09:00:00,流出,44731.70,合规、技术支持及外部服务费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2928efcbfb9ee64a3735fe3b,2024-01-25T15:00:00,流入,83600.00,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e8b0a5549c7ffd528ba92922,2024-01-28T15:00:00,流入,46766.51,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_643509938b0fc375699b5bc5,2024-01-29T15:00:00,流入,49400.00,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c83c463e947307f72591b7df,2024-02-01T15:00:00,流入,64953.49,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_135bf711562883e6bc74130d,2024-02-03T09:00:00,流出,31124.78,固定场地租赁付款,仅供人工查看；不得作为模型输入或导入数据库
