transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_e7a769e3d6103414193c89bb,2025-01-01T09:00:00,0.00,36940957.53,36940957.53
synb1_txn_672375e055df10b9005a417a,2025-01-04T15:53:19,0.00,1207485.85,38148443.38
synb1_txn_b4991b72342c60ccbabd9777,2025-01-07T16:28:04,145803.20,0.00,38002640.18
synb1_txn_3b6aa2b791fe67f339d5c43d,2025-01-13T15:00:48,161672.93,0.00,37840967.25
synb1_txn_b39916034d48e5dcc966ffdf,2025-01-15T10:02:54,0.00,1200618.49,39041585.74
synb1_txn_8cb59c3c35f0272ed7f90f08,2025-01-15T10:57:53,0.00,1722683.71,40764269.45
synb1_txn_a516d744beba0782f85bcd37,2025-01-16T11:41:56,2163150.00,0.00,38601119.45
synb1_txn_7765e524efee88cee62869be,2025-01-16T12:59:44,0.00,1404885.82,40006005.27
synb1_txn_f39c191d9a6161a57b2ca515,2025-01-19T17:32:36,184396.55,0.00,39821608.72
synb1_txn_5cd3696444a05b6fd97cadd9,2025-01-22T11:07:44,0.00,1181769.79,41003378.51
synb1_txn_661653f11e8ca969a64e9841,2025-01-22T17:04:42,0.00,1694775.94,42698154.45
synb1_txn_e0ad96a21a076879691d440c,2025-01-22T17:18:32,0.00,1777330.34,44475484.79
synb1_txn_4535be5e2f40c17cd50780e4,2025-01-28T13:14:04,0.00,1244891.02,45720375.81
synb1_txn_f22d10d5fe8eb2cee1fda932,2025-01-28T14:42:34,138644.56,0.00,45581731.25
synb1_txn_9144d0dad7fcd32832d7b42b,2025-02-02T17:16:43,134781.29,0.00,45446949.96
synb1_txn_6ee343e6b6ac62c9bde678d9,2025-02-03T10:27:21,0.00,2856960.26,48303910.22
synb1_txn_42d34be52401d067ccfa5f2a,2025-02-04T14:20:15,0.00,3326345.56,51630255.78
synb1_txn_18554e98bef45b75c695ebf1,2025-02-05T10:50:56,0.00,2653421.50,54283677.28
synb1_txn_29813349bdaeaf0c7b72e8ca,2025-02-05T13:19:20,158819.99,0.00,54124857.29
synb1_txn_5fc9a0f5af8cf86e4df068bc,2025-02-06T09:49:29,4635805.33,0.00,49489051.96
synb1_txn_3dd2736d7b93e53f71d16157,2025-02-06T11:34:01,4515128.48,0.00,44973923.48
synb1_txn_39993511d5a723d0adaac650,2025-02-06T17:15:31,184396.55,0.00,44789526.93
synb1_txn_e84c9775fcdea04eb945ac31,2025-02-08T16:25:37,4284422.72,0.00,40505104.21
