transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_ccff1d89a9b01f459e68cd64,2024-01-01T09:00:00,0.00,1180000.00,1180000.00
synb1_txn_541d33c9a1b343b0a3fcd10b,2024-01-02T15:00:00,0.00,45885.85,1225885.85
synb1_txn_172cbb2efec51f2b458e9cd1,2024-01-05T09:00:00,8000.00,0.00,1217885.85
synb1_txn_40e31af8eba4f63932f4f080,2024-01-07T09:00:00,23500.00,0.00,1194385.85
synb1_txn_7827e5ba54784ba938080774,2024-01-14T09:00:00,3797.75,0.00,1190588.10
synb1_txn_7d9c6c4ae547b37a12995686,2024-01-16T09:00:00,460.75,0.00,1190127.35
synb1_txn_244da43c1b4f8059fe47705e,2024-01-18T09:00:00,26464.04,0.00,1163663.31
synb1_txn_af3bb3b23e4b32c5537b2688,2024-01-20T09:00:00,1062.68,0.00,1162600.63
synb1_txn_1bba47b2f501f41fc2fdbaa9,2024-01-20T15:00:00,0.00,10176.17,1172776.80
synb1_txn_bd4a89bdcec59cd4c99177fe,2024-01-21T09:00:00,26038.21,0.00,1146738.59
synb1_txn_e41047f663f1012fba1629a8,2024-01-22T09:00:00,3351.29,0.00,1143387.30
synb1_txn_c061a0a3753ae602e3ee8485,2024-01-24T09:00:00,44000.00,0.00,1099387.30
synb1_txn_cdfa5be26aff806e46542494,2024-01-25T15:00:00,0.00,75937.98,1175325.28
synb1_txn_f052c97b7837705f5f2fe4ff,2024-01-28T09:00:00,325.28,0.00,1175000.00
synb1_txn_c12579ffe91c85976f3af3c1,2024-02-02T09:00:00,1949.16,0.00,1173050.84
synb1_txn_11cde67ce984b5f684909472,2024-02-03T09:00:00,3030.40,0.00,1170020.44
synb1_txn_dd883f151281e3de25cfdac4,2024-02-03T15:00:00,0.00,93.65,1170114.09
synb1_txn_db0be8369d523f765782910b,2024-02-04T15:00:00,0.00,1949.02,1172063.11
synb1_txn_0966c1b94b9d55371c604b73,2024-02-05T09:00:00,1517.55,0.00,1170545.56
synb1_txn_3fc95050e8e3deffa4a3ec7e,2024-02-05T09:00:00,8000.00,0.00,1162545.56
synb1_txn_21967f0b0be513ef75470a34,2024-02-05T09:00:00,549.41,0.00,1161996.15
synb1_txn_820ba75c9e2bef1f750cf58b,2024-02-05T15:00:00,0.00,16926.78,1178922.93
synb1_txn_1c92a36abee11d6e3d5a419c,2024-02-07T09:00:00,23500.00,0.00,1155422.93
synb1_txn_39b701418bf7e67efc3c7df8,2024-02-07T09:00:00,2995.33,0.00,1152427.60
synb1_txn_982dcde5a3bbd008180bec37,2024-02-07T15:00:00,0.00,28350.60,1180778.20
synb1_txn_86794197ba66b1e1cd79bfdb,2024-02-10T15:00:00,0.00,420.28,1181198.48
synb1_txn_c6217e0a2cc9486054a43f1b,2024-02-13T09:00:00,7023.19,0.00,1174175.29
synb1_txn_9df061070afa6c8236380778,2024-02-14T15:00:00,0.00,34237.92,1208413.21
synb1_txn_8b0413f57eaf92da8cd99bf3,2024-02-17T15:00:00,0.00,61286.58,1269699.79
synb1_txn_6c5c5f1936a3af8fd7a85bd4,2024-02-17T15:00:00,0.00,48707.66,1318407.45
synb1_txn_0e619f820fdf76a090d79885,2024-02-18T09:00:00,7482.40,0.00,1310925.05
synb1_txn_79fda4fc718a546e6d166306,2024-02-18T09:00:00,2400.00,0.00,1308525.05
synb1_txn_7e24f03fbf09228fdc344205,2024-02-18T09:00:00,288.00,0.00,1308237.05
synb1_txn_74b1a4aba62a481a37347d32,2024-02-18T09:00:00,24241.71,0.00,1283995.34
synb1_txn_37478f8a42102c9b6d5a7b39,2024-02-18T15:00:00,0.00,12238.38,1296233.72
synb1_txn_15c2e7d514d89c59c359f918,2024-02-19T09:00:00,25723.05,0.00,1270510.67
synb1_txn_f0d8bb9cb6d3da29cb689fc7,2024-02-19T15:00:00,0.00,1475.01,1271985.68
synb1_txn_3b08f2342d42a9de976dc5ed,2024-02-20T09:00:00,10732.47,0.00,1261253.21
synb1_txn_594052e43e4a6ceae10fca1c,2024-02-21T09:00:00,36000.00,0.00,1225253.21
synb1_txn_0cbaa24f805b9ee83f6544c0,2024-02-22T09:00:00,3230.39,0.00,1222022.82
synb1_txn_a522a059ae924803c1175fcc,2024-02-24T09:00:00,38220.97,0.00,1183801.85
synb1_txn_f5524c18da6ad8bb58fba686,2024-02-24T15:00:00,0.00,14518.51,1198320.36
synb1_txn_3a6bc190cb08eccf282e0d39,2024-02-25T09:00:00,652.05,0.00,1197668.31
synb1_txn_ed98ab9eb21b41f4215932eb,2024-02-26T15:00:00,0.00,13512.04,1211180.35
synb1_txn_3f80078686e87fd646fd6f35,2024-02-27T15:00:00,0.00,17283.57,1228463.92
synb1_txn_096e331d11ce554ec70bb1e7,2024-02-28T09:00:00,94223.51,0.00,1134240.41
synb1_txn_07c1b05f115b15451b7e6123,2024-02-28T09:00:00,4210.81,0.00,1130029.60
synb1_txn_b1471b4a35935588a4f478b2,2024-03-02T15:00:00,0.00,19100.30,1149129.90
synb1_txn_cff044401fb2b5be0ceeac45,2024-03-03T09:00:00,5383.12,0.00,1143746.78
synb1_txn_dd8111478b593f02ebf1bc34,2024-03-05T09:00:00,8000.00,0.00,1135746.78
synb1_txn_015f7f3dd482279905ea0b6b,2024-03-05T09:00:00,1117.22,0.00,1134629.56
synb1_txn_84181cc7a004ccedbf8cb8fe,2024-03-05T15:00:00,0.00,2856.46,1137486.02
synb1_txn_43163738d450a496891e3808,2024-03-07T09:00:00,23500.00,0.00,1113986.02
synb1_txn_51892f8c7a85a3724e8a3de6,2024-03-07T09:00:00,12559.32,0.00,1101426.70
synb1_txn_2dfecc23300901796e7b48ff,2024-03-07T15:00:00,0.00,20890.79,1122317.49
synb1_txn_474cb27f0ddd65bda81855a5,2024-03-08T09:00:00,28000.00,0.00,1094317.49
synb1_txn_116521517bdeb5c3922f56f6,2024-03-11T15:00:00,0.00,41198.04,1135515.53
synb1_txn_332b3b288db7275e317b3a6a,2024-03-12T15:00:00,0.00,8.73,1135524.26
synb1_txn_d50f78870a2f93567175a42a,2024-03-14T15:00:00,0.00,31635.81,1167160.07
synb1_txn_655f75243811c4f5cbe3d485,2024-03-16T09:00:00,69684.54,0.00,1097475.53
synb1_txn_795702c2ab268ba6d0d44d82,2024-03-16T09:00:00,573.12,0.00,1096902.41
synb1_txn_035b001b7a7f8839b8d34ebc,2024-03-17T15:00:00,0.00,52073.51,1148975.92
synb1_txn_bf40418c5be74299313d68a1,2024-03-18T09:00:00,8717.60,0.00,1140258.32
synb1_txn_1b5e5491301819b0ada6f89d,2024-03-18T09:00:00,2600.00,0.00,1137658.32
synb1_txn_bde79321a3c1f20969af6bd7,2024-03-18T09:00:00,312.00,0.00,1137346.32
synb1_txn_3f3cac3b8a3ade4244173578,2024-03-18T09:00:00,300.81,0.00,1137045.51
synb1_txn_897243b3ed6678d81ec3db81,2024-03-19T09:00:00,8516.09,0.00,1128529.42
synb1_txn_ec994af62ad4fdf576aa2c16,2024-03-20T09:00:00,12044.34,0.00,1116485.08
synb1_txn_97e0ded6d782c0ac97fa4465,2024-03-21T09:00:00,62915.46,0.00,1053569.62
synb1_txn_9fc4200f475ea9a859076973,2024-03-24T09:00:00,2306.79,0.00,1051262.83
synb1_txn_878ee3f5e104b54f5a96f22a,2024-03-27T09:00:00,4899.19,0.00,1046363.64
synb1_txn_5895e5dc6c13cb9a07b2de5e,2024-03-27T15:00:00,0.00,56302.14,1102665.78
synb1_txn_b3dcc6f07d7cf145475bb375,2024-03-28T15:00:00,0.00,30434.22,1133100.00
synb1_txn_193226849f1af138baef25fa,2024-04-03T09:00:00,115652.32,0.00,1017447.68
synb1_txn_fff7c9116b8548ae17ef50b2,2024-04-05T09:00:00,8000.00,0.00,1009447.68
synb1_txn_066ab07c90a1e02f8e7182b7,2024-04-06T09:00:00,1720.36,0.00,1007727.32
synb1_txn_60f04e7e6ac9ebb0346b3f6b,2024-04-07T09:00:00,23500.00,0.00,984227.32
synb1_txn_194b9a76aa25963926a5ef70,2024-04-07T09:00:00,11812.39,0.00,972414.93
synb1_txn_e96895f35a2173613f38a5b2,2024-04-07T15:00:00,0.00,34455.28,1006870.21
synb1_txn_f137308932cc15996ce788d5,2024-04-08T09:00:00,3230.09,0.00,1003640.12
synb1_txn_8c05c97d4b983c658e441f59,2024-04-10T15:00:00,0.00,15518.72,1019158.84
synb1_txn_4430db84fef68e58d5edf0cc,2024-04-13T09:00:00,249.55,0.00,1018909.29
synb1_txn_59dce349f6113b44a26e28bc,2024-04-13T15:00:00,0.00,9220.28,1028129.57
synb1_txn_04351bcc0687eb4dbc0a9c8e,2024-04-13T15:00:00,0.00,10146.79,1038276.36
synb1_txn_eddab33c66e81333b65892d0,2024-04-14T15:00:00,0.00,34281.44,1072557.80
synb1_txn_b250fb5cce655f754f282947,2024-04-15T09:00:00,677.67,0.00,1071880.13
synb1_txn_ff9bea2e6053be18e0d821f4,2024-04-15T09:00:00,9737.88,0.00,1062142.25
synb1_txn_5f2a6cdf4fcd944ab3d1e91e,2024-04-15T09:00:00,9110.61,0.00,1053031.64
synb1_txn_a468f30da5d57dc220d9a7eb,2024-04-17T09:00:00,11847.68,0.00,1041183.96
synb1_txn_af1067d8e7c9b7599adbb785,2024-04-17T15:00:00,0.00,20775.08,1061959.04
