transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_c8f5acd606d3622179a628f8,2024-01-01T09:00:00,0.00,1200000.00,1200000.00
synb1_txn_64349701c290f0747c287b19,2024-01-04T09:00:00,12772.58,0.00,1187227.42
synb1_txn_0903d13fe758eba1a5364a1c,2024-01-05T09:00:00,707.24,0.00,1186520.18
synb1_txn_902297cee84731420114c67b,2024-01-05T09:00:00,27000.00,0.00,1159520.18
synb1_txn_28a2cd6bdc3c41115fff7a3d,2024-01-08T15:00:00,0.00,4425.34,1163945.52
synb1_txn_1dae9b0b802f7eea4d450227,2024-01-10T09:00:00,1522.14,0.00,1162423.38
synb1_txn_fde4f9fd1aedf7c583f7694a,2024-01-13T09:00:00,126239.88,0.00,1036183.50
synb1_txn_729cd48095f253a67e4eecd9,2024-01-14T09:00:00,5419.95,0.00,1030763.55
synb1_txn_a9a29caf2a5fbd3165cdc4ea,2024-01-14T09:00:00,5357.19,0.00,1025406.36
synb1_txn_b89dd667e6be80ce8843debc,2024-01-16T09:00:00,4040.25,0.00,1021366.11
synb1_txn_e9d733a76c275f137b85193f,2024-01-16T15:00:00,0.00,8208.62,1029574.73
synb1_txn_0a1c5aa09555303a75b2c354,2024-01-17T15:00:00,0.00,19035.89,1048610.62
synb1_txn_b23e84cba66d22ba426842be,2024-01-18T09:00:00,21225.40,0.00,1027385.22
synb1_txn_fbaadf2e149b8a96622328f6,2024-01-18T09:00:00,53226.97,0.00,974158.25
synb1_txn_c685bf954ea9be025031cdf5,2024-01-20T15:00:00,0.00,68295.64,1042453.89
synb1_txn_016038848a345ce898dceb8f,2024-01-24T09:00:00,17119.78,0.00,1025334.11
synb1_txn_dee1c5c325f6139df7eab7e5,2024-01-26T09:00:00,8290.65,0.00,1017043.46
synb1_txn_11c8b41586b082508702c049,2024-01-26T15:00:00,0.00,139009.51,1156052.97
synb1_txn_9520cc75082a55e740ab27fe,2024-01-27T09:00:00,6310.42,0.00,1149742.55
synb1_txn_2e2f9f434121919806efbd5d,2024-01-28T09:00:00,90000.00,0.00,1059742.55
synb1_txn_abb96e912e8824be832cdde4,2024-02-03T09:00:00,3822.23,0.00,1055920.32
synb1_txn_39aae684ab29e54d24149d3c,2024-02-03T15:00:00,0.00,54.45,1055974.77
synb1_txn_885794ab69a7c1ac2fab3661,2024-02-04T15:00:00,0.00,1429.00,1057403.77
synb1_txn_7ac021dfdd55296f0953a773,2024-02-05T09:00:00,27000.00,0.00,1030403.77
synb1_txn_3131d719261565515a0d1d10,2024-02-06T09:00:00,104789.55,0.00,925614.22
synb1_txn_3c61469e7e347f256d6104de,2024-02-07T09:00:00,534.91,0.00,925079.31
synb1_txn_947dec536131e76154f4b63a,2024-02-07T09:00:00,154639.93,0.00,770439.38
synb1_txn_485a317696dcdddaffd92c84,2024-02-07T15:00:00,0.00,107384.16,877823.54
synb1_txn_7ef1dadb6ec919f9f9c57271,2024-02-08T09:00:00,224000.00,0.00,653823.54
synb1_txn_c34ddf352bd766e23aec0575,2024-02-08T09:00:00,8528.58,0.00,645294.96
synb1_txn_2c59042b7e8c3a7f8f4a07ba,2024-02-08T15:00:00,0.00,6458.99,651753.95
synb1_txn_036ab7ceeb53d83839140927,2024-02-09T09:00:00,5367.51,0.00,646386.44
synb1_txn_e09e48d81383d7779a6e1ae5,2024-02-09T15:00:00,0.00,977.28,647363.72
synb1_txn_f3c522666468da499b163935,2024-02-10T15:00:00,0.00,75216.13,722579.85
synb1_txn_81737fd29505225aa2bf253c,2024-02-10T15:00:00,0.00,48123.10,770702.95
synb1_txn_d2cd620c0a7314a2d2c0c449,2024-02-10T15:00:00,0.00,62397.83,833100.78
synb1_txn_0718deddb557c84b4dcf28e2,2024-02-11T09:00:00,366.33,0.00,832734.45
synb1_txn_c6dc487f91a08335e9563b47,2024-02-13T15:00:00,0.00,33014.34,865748.79
synb1_txn_ab63dc8caadb61e8896744c7,2024-02-14T15:00:00,0.00,27813.05,893561.84
synb1_txn_80cfaa2c82b63dca0b654f3e,2024-02-16T09:00:00,2031.74,0.00,891530.10
synb1_txn_3c409e30166e53d64ea701af,2024-02-17T15:00:00,0.00,35941.86,927471.96
synb1_txn_b3aadb4de5361478b42fc105,2024-02-18T09:00:00,4345.00,0.00,923126.96
synb1_txn_328a6ae3444ca3cb35dfe93a,2024-02-18T09:00:00,521.40,0.00,922605.56
synb1_txn_b5dc91689c984538ce10916c,2024-02-18T09:00:00,29353.34,0.00,893252.22
synb1_txn_7caa230bca455f0eaf627124,2024-02-18T15:00:00,0.00,71243.28,964495.50
synb1_txn_85f5269940585bd98699ab11,2024-02-18T15:00:00,0.00,45788.78,1010284.28
synb1_txn_12278112b9aee2040e90649f,2024-02-19T09:00:00,7909.02,0.00,1002375.26
synb1_txn_7323882dca3b0ad3949aceb8,2024-02-21T15:00:00,0.00,18592.75,1020968.01
synb1_txn_af1dd14e90e694af7255797e,2024-02-23T09:00:00,38004.69,0.00,982963.32
synb1_txn_3f9ae3b8c52f5e23860e1fea,2024-02-24T09:00:00,23924.32,0.00,959039.00
synb1_txn_56d51e171a7dcf0374d2fe4b,2024-02-24T09:00:00,75412.12,0.00,883626.88
synb1_txn_12b93be376ad3d9319b5c27f,2024-02-25T09:00:00,1722.91,0.00,881903.97
synb1_txn_7ace937bd6b0a10a1c6b6ee8,2024-02-28T09:00:00,90000.00,0.00,791903.97
synb1_txn_3aff33e34957fa2eea79eada,2024-02-28T09:00:00,8823.67,0.00,783080.30
synb1_txn_6b93b313dbbf938a22143c5a,2024-03-03T15:00:00,0.00,7134.65,790214.95
synb1_txn_2a97f7c507b71b0660105bd1,2024-03-04T09:00:00,1794.45,0.00,788420.50
synb1_txn_5dcf79af84456abcd4e23468,2024-03-05T09:00:00,27000.00,0.00,761420.50
synb1_txn_0bbbda7dc2a811e79f7936b3,2024-03-05T09:00:00,115131.74,0.00,646288.76
synb1_txn_a5a0a2952bb7379f9ac8d4e4,2024-03-07T09:00:00,5012.68,0.00,641276.08
synb1_txn_01aa86e49807ac8e48e8f88b,2024-03-12T15:00:00,0.00,81697.79,722973.87
