calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_a5299f489539f08eacfbb1b7,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,107895.42,2,3492104.58,last_posted_transaction_or_prior_closing_balance,synb1_txn_63c4591e55841d8e0bda6c1d,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,3492104.58,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,3492104.58,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,3492104.58,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,140605.15,1,3351499.43,last_posted_transaction_or_prior_closing_balance,synb1_txn_b784fe6ae050d6093703c9f7,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,0.00,0,3351499.43,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,0.00,0.00,0,3351499.43,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,0.00,0.00,0,3351499.43,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-11,complete
2025-01-11,0.00,46183.12,2,3305316.31,last_posted_transaction_or_prior_closing_balance,synb1_txn_cab2e2e4c54dec7bc415dc30,trusted,historical_transaction_override,historical_transaction_override,True,9,2025-01-12,complete
2025-01-12,48784.64,0.00,1,3354100.95,last_posted_transaction_or_prior_closing_balance,synb1_txn_8153026a3c47ac02d2745d35,trusted,historical_transaction_override,historical_transaction_override,True,10,2025-01-13,complete
2025-01-13,0.00,0.00,0,3354100.95,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-14,complete
2025-01-14,0.00,51774.80,2,3302326.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_48056c3d4fda6f8795a355e6,trusted,weekday_rule,base_calendar,True,12,2025-01-15,complete
2025-01-15,0.00,0.00,0,3302326.15,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2025-01-16,complete
2025-01-16,97569.29,0.00,1,3399895.44,last_posted_transaction_or_prior_closing_balance,synb1_txn_cb6fd1fcb96ff0dfd96ced99,trusted,weekday_rule,base_calendar,True,14,2025-01-17,complete
2025-01-17,0.00,0.00,0,3399895.44,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2025-01-19,complete
2025-01-18,0.00,0.00,0,3399895.44,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-19,0.00,35494.16,1,3364401.28,last_posted_transaction_or_prior_closing_balance,synb1_txn_291a6fe79cdb3edfacee249f,trusted,historical_transaction_override,historical_transaction_override,True,16,2025-01-20,complete
