transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_1954b4130fef2ae53ed21f2d,2024-01-01T09:00:00,流入,1493600.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8b065784b82586b4c7ad9fba,2024-01-02T09:00:00,流出,635214.50,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_08f156c32bce87cbbd016f0d,2024-01-03T09:00:00,流出,16906.07,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_34e276814c3f18246d714179,2024-01-05T09:00:00,流出,34000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8452e4441661d270d8eb8b29,2024-01-07T09:00:00,流出,108000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6ccdb916bd97cf88ca01bee0,2024-01-15T09:00:00,流出,5075.48,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c5f186368fc17685eefd271d,2024-01-15T09:00:00,流出,136999.43,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_42dbe121a3f8f096fce1e4a4,2024-01-15T15:00:00,流入,78230.45,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2e643550ff23c3609a74a3e1,2024-01-17T15:00:00,流入,80290.94,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_896f28c874760a68eb7867a2,2024-01-23T15:00:00,流入,149271.17,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eaa19363035a34d147ecfd03,2024-01-24T09:00:00,流出,14924.16,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_19a6bb076156a56687a8fd93,2024-01-24T15:00:00,流入,7971.75,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7aa353ee59771049780fec87,2024-01-24T15:00:00,流入,6032.94,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a22531e9a040ec9479ea7320,2024-01-25T15:00:00,流入,23114.22,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_74a319692f1d17c4d99d41d6,2024-01-27T09:00:00,流出,0.36,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_de923aed12ffe81619ef7676,2024-01-28T15:00:00,流入,184288.53,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7c12228ebf7f9abb1e4c7617,2024-02-05T09:00:00,流出,34000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
