calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_bca38c294e344195f837f5ce,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,103682.87,2,3496317.13,last_posted_transaction_or_prior_closing_balance,synb1_txn_6b33a6333611586d823c3ec3,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,3496317.13,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,3496317.13,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,3496317.13,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,155136.83,1,3341180.30,last_posted_transaction_or_prior_closing_balance,synb1_txn_422e344d56f7fa944b6c95f0,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,0.00,0,3341180.30,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,0.00,10769.11,1,3330411.19,last_posted_transaction_or_prior_closing_balance,synb1_txn_e77639d4d1329f13925e0253,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,0.00,36889.40,1,3293521.79,last_posted_transaction_or_prior_closing_balance,synb1_txn_b5e9b46e67ed2bebd4e7b0d9,trusted,weekday_rule,base_calendar,True,8,2025-01-12,complete
2025-01-11,0.00,0.00,0,3293521.79,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,11597.52,1,3281924.27,last_posted_transaction_or_prior_closing_balance,synb1_txn_be6daa347b60b49f03f16e35,trusted,historical_transaction_override,historical_transaction_override,True,9,2025-01-13,complete
2025-01-13,28147.07,16231.34,2,3293840.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_cd1279954af4b06ec9349675,trusted,weekday_rule,base_calendar,True,10,2025-01-14,complete
2025-01-14,0.00,0.00,0,3293840.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-15,complete
2025-01-15,0.00,0.00,0,3293840.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2025-01-16,complete
2025-01-16,0.00,9819.49,1,3284020.51,last_posted_transaction_or_prior_closing_balance,synb1_txn_3a35cd8d8a227eb364714e4a,trusted,weekday_rule,base_calendar,True,13,2025-01-17,complete
2025-01-17,14814.25,35372.32,3,3263462.44,last_posted_transaction_or_prior_closing_balance,synb1_txn_c79bca9f42adc87e5bd69d6b,trusted,weekday_rule,base_calendar,True,14,2025-01-18,complete
2025-01-18,0.00,28922.36,1,3234540.08,last_posted_transaction_or_prior_closing_balance,synb1_txn_141765d5c288de9abd55d3e6,trusted,historical_transaction_override,historical_transaction_override,True,15,2025-01-19,complete
2025-01-19,0.00,33515.85,2,3201024.23,last_posted_transaction_or_prior_closing_balance,synb1_txn_b0dbeb598acf04663bee982b,trusted,historical_transaction_override,historical_transaction_override,True,16,2025-01-20,complete
2025-01-20,0.00,59685.85,2,3141338.38,last_posted_transaction_or_prior_closing_balance,synb1_txn_978fcf19581d4b592f0ae2ea,trusted,weekday_rule,base_calendar,True,17,2025-01-21,complete
2025-01-21,53527.20,40973.36,3,3153892.22,last_posted_transaction_or_prior_closing_balance,synb1_txn_b29c7b821d859f3dbc69d316,trusted,weekday_rule,base_calendar,True,18,2025-01-22,complete
2025-01-22,0.00,32152.03,1,3121740.19,last_posted_transaction_or_prior_closing_balance,synb1_txn_98ba6bb6dc4f7ea0cec193fa,trusted,weekday_rule,base_calendar,True,19,2025-01-23,complete
2025-01-23,54417.67,0.00,1,3176157.86,last_posted_transaction_or_prior_closing_balance,synb1_txn_f378ba3fac5887e61ed1eb12,trusted,weekday_rule,base_calendar,True,20,2025-01-24,complete
2025-01-24,0.00,0.00,0,3176157.86,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,21,2025-01-25,complete
2025-01-25,89677.26,51918.95,3,3213916.17,last_posted_transaction_or_prior_closing_balance,synb1_txn_61a6c6347af47acd12d2f9bc,trusted,historical_transaction_override,historical_transaction_override,True,22,2025-01-26,complete
2025-01-26,0.00,0.00,0,3213916.17,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,23,2025-01-27,complete
2025-01-27,45825.42,0.00,1,3259741.59,last_posted_transaction_or_prior_closing_balance,synb1_txn_29db692b315199c69419daa6,trusted,weekday_rule,base_calendar,True,24,2025-01-29,complete
2025-01-28,0.00,0.00,0,3259741.59,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-01-29,40463.56,0.00,1,3300205.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_1bd01b1f1eb9b8fd62ea5ce6,trusted,historical_transaction_override,historical_transaction_override,True,25,2025-01-30,complete
2025-01-30,30686.65,0.00,1,3330891.80,last_posted_transaction_or_prior_closing_balance,synb1_txn_05cdab9c0072448675f3eb25,trusted,historical_transaction_override,historical_transaction_override,True,26,2025-02-01,complete
2025-01-31,0.00,0.00,0,3330891.80,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-01,54117.94,0.00,1,3385009.74,last_posted_transaction_or_prior_closing_balance,synb1_txn_5824d2e53edfa39cde8c1761,trusted,historical_transaction_override,historical_transaction_override,True,27,2025-02-02,complete
2025-02-02,23978.42,26608.58,2,3382379.58,last_posted_transaction_or_prior_closing_balance,synb1_txn_76d9b49984cc239d32efb22e,trusted,historical_transaction_override,historical_transaction_override,True,28,2025-02-03,complete
2025-02-03,33755.33,43682.87,2,3372452.04,last_posted_transaction_or_prior_closing_balance,synb1_txn_7e6a818f32d1acd37a3cd9d4,trusted,historical_transaction_override,historical_transaction_override,True,29,2025-02-05,complete
2025-02-04,0.00,0.00,0,3372452.04,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,False,,,complete
2025-02-05,35384.82,37695.51,2,3370141.35,last_posted_transaction_or_prior_closing_balance,synb1_txn_9baa389fa5cf159e197a62ce,trusted,weekday_rule,base_calendar,True,30,2025-02-06,complete
2025-02-06,0.00,0.00,0,3370141.35,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,31,2025-02-07,complete
2025-02-07,37740.33,155136.83,2,3252744.85,last_posted_transaction_or_prior_closing_balance,synb1_txn_fac42f880413972c1e681944,trusted,weekday_rule,base_calendar,True,32,2025-02-08,complete
2025-02-08,0.00,0.00,0,3252744.85,last_posted_transaction_or_prior_closing_balance,,trusted,gov_cn_2025_holiday_schedule_v1,base_calendar,True,33,2025-02-09,complete
2025-02-09,36517.12,44337.02,2,3244924.95,last_posted_transaction_or_prior_closing_balance,synb1_txn_612e62ee1f35e8e5174fa566,trusted,historical_transaction_override,historical_transaction_override,True,34,2025-02-10,complete
2025-02-10,0.00,0.00,0,3244924.95,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,35,2025-02-11,complete
2025-02-11,44602.21,21576.88,2,3267950.28,last_posted_transaction_or_prior_closing_balance,synb1_txn_ff3fbda94dcd205c12427100,trusted,weekday_rule,base_calendar,True,36,2025-02-12,complete
2025-02-12,0.00,21112.87,1,3246837.41,last_posted_transaction_or_prior_closing_balance,synb1_txn_a5fd6557867a9d679883bccf,trusted,weekday_rule,base_calendar,True,37,2025-02-13,complete
2025-02-13,24344.75,0.00,1,3271182.16,last_posted_transaction_or_prior_closing_balance,synb1_txn_19f1b4a665c29fd0fa689653,trusted,weekday_rule,base_calendar,True,38,2025-02-14,complete
2025-02-14,0.00,46699.74,2,3224482.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_471d92945bfcd06eb79e7642,trusted,weekday_rule,base_calendar,True,39,2025-02-16,complete
2025-02-15,0.00,0.00,0,3224482.42,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-02-16,12765.47,0.00,1,3237247.89,last_posted_transaction_or_prior_closing_balance,synb1_txn_a95ab24841dffcd01fe1289a,trusted,historical_transaction_override,historical_transaction_override,True,40,2025-02-17,complete
2025-02-17,0.00,33156.55,2,3204091.34,last_posted_transaction_or_prior_closing_balance,synb1_txn_57099c5ba0c7adb0c0fdcddd,trusted,weekday_rule,base_calendar,True,41,2025-02-18,complete
2025-02-18,0.00,12466.64,1,3191624.70,last_posted_transaction_or_prior_closing_balance,synb1_txn_7f5772d3791bf6ecc153eb25,trusted,weekday_rule,base_calendar,True,42,2025-02-19,complete
2025-02-19,0.00,46542.14,1,3145082.56,last_posted_transaction_or_prior_closing_balance,synb1_txn_72d444e76ebd58c5f8207444,trusted,weekday_rule,base_calendar,True,43,2025-02-20,complete
