transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_dd48425c9430018add81abe8,2024-01-01T09:00:00,流入,10600000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d95b32b1d616e792ca3afbdf,2024-01-03T09:00:00,流出,1838.11,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_283c71b017daaeef76f86859,2024-01-03T15:00:00,流入,29851.42,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_05e5715f79c895a7411342b5,2024-01-05T09:00:00,流出,20651.85,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8e6c7d8d690ee668cde1a470,2024-01-05T09:00:00,流出,71000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ac15d2fab795ab40714e3b62,2024-01-05T15:00:00,流入,47733.01,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5ace98b692d9852bae84b8f7,2024-01-07T09:00:00,流出,250000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_825456896cb0c207dc18cfad,2024-01-09T15:00:00,流入,114908.44,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f50def2c29e8c5cae79f326e,2024-01-10T15:00:00,流入,256328.53,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ca7f739a37d89d111672f8b3,2024-01-12T15:00:00,流入,76966.10,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_819a7a6c7c1371e9bf81ce08,2024-01-15T09:00:00,流出,441.76,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_16a480588401ddcad5f8fddd,2024-01-16T09:00:00,流出,19917.54,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ac565c03d7edeb877a999237,2024-01-16T09:00:00,流出,150.74,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
