calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,1813000.00,0.00,1,1813000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_26c1e8c0f208f49e5a7369c7,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,0.00,0.00,0,1813000.00,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,0.00,12744.49,1,1800255.51,last_posted_transaction_or_prior_closing_balance,synb1_txn_ae7b577c5ee906be4dd2f0fe,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,0.00,0.00,0,1800255.51,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,0.00,8693.08,2,1791562.43,last_posted_transaction_or_prior_closing_balance,synb1_txn_fbcd12c4090b8acece84cf1c,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,0.00,0.00,0,1791562.43,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,119676.83,31500.00,2,1879739.26,last_posted_transaction_or_prior_closing_balance,synb1_txn_cc58ea8a3c1d576d6aaf9a63,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,83016.90,67981.03,4,1894775.13,last_posted_transaction_or_prior_closing_balance,synb1_txn_ba440a5a25260628b0fe454e,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,0.00,0.00,0,1894775.13,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,13153.02,0.00,1,1907928.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_b0a35dc6c40872feacac8d49,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
2024-01-11,0.00,0.00,0,1907928.15,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,8,2024-01-12,complete
2024-01-12,0.00,3422.53,1,1904505.62,last_posted_transaction_or_prior_closing_balance,synb1_txn_a86f2875e274c2e08e66fbf9,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,9,2024-01-15,complete
2024-01-13,0.00,274484.54,1,1630021.08,last_posted_transaction_or_prior_closing_balance,synb1_txn_790ce4c44f6ad3747936ab1f,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-14,0.00,0.00,0,1630021.08,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-15,0.00,0.00,0,1630021.08,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,10,2024-01-16,complete
2024-01-16,14050.10,0.00,1,1644071.18,last_posted_transaction_or_prior_closing_balance,synb1_txn_2265e223aed594df9198e88d,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,11,2024-01-17,complete
2024-01-17,0.00,3005.27,1,1641065.91,last_posted_transaction_or_prior_closing_balance,synb1_txn_384d450c773c1aef232e63aa,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,12,2024-01-18,complete
2024-01-18,0.00,105.85,1,1640960.06,last_posted_transaction_or_prior_closing_balance,synb1_txn_9f291ea9baca304feae4b6db,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,13,2024-01-19,complete
2024-01-19,4483.25,0.00,1,1645443.31,last_posted_transaction_or_prior_closing_balance,synb1_txn_38892add5ff5722f81a6b573,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,14,2024-01-22,complete
2024-01-20,0.00,99.53,1,1645343.78,last_posted_transaction_or_prior_closing_balance,synb1_txn_e06fb407d618b757dff458ff,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-21,0.00,0.00,0,1645343.78,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-22,0.00,0.00,0,1645343.78,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,15,2024-01-23,complete
2024-01-23,0.00,70000.00,1,1575343.78,last_posted_transaction_or_prior_closing_balance,synb1_txn_44a5ec9c22b1ad83444aa1fa,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,16,2024-01-24,complete
2024-01-24,19938.60,0.00,1,1595282.38,last_posted_transaction_or_prior_closing_balance,synb1_txn_8c40020c5afdd543813268ce,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,17,2024-01-25,complete
2024-01-25,5369.30,0.00,1,1600651.68,last_posted_transaction_or_prior_closing_balance,synb1_txn_e42add07fe8b9f18c28d8149,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,18,2024-01-26,complete
2024-01-26,0.00,0.00,0,1600651.68,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,19,2024-01-29,complete
2024-01-27,0.00,787.00,1,1599864.68,last_posted_transaction_or_prior_closing_balance,synb1_txn_3015c546cf44cc0f2a45d9f3,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-28,0.00,0.00,0,1599864.68,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-29,0.00,0.00,0,1599864.68,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,20,2024-01-30,complete
2024-01-30,0.00,0.00,0,1599864.68,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,21,2024-01-31,complete
2024-01-31,0.00,0.00,0,1599864.68,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,22,2024-02-01,complete
2024-02-01,0.00,0.00,0,1599864.68,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,23,2024-02-02,complete
2024-02-02,0.00,0.00,0,1599864.68,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,24,2024-02-04,complete
2024-02-03,3431.23,0.00,1,1603295.91,last_posted_transaction_or_prior_closing_balance,synb1_txn_44d3be5554da575efadc982f,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-04,0.00,0.00,0,1603295.91,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,25,2024-02-05,complete
2024-02-05,0.00,7800.00,1,1595495.91,last_posted_transaction_or_prior_closing_balance,synb1_txn_e06a0ee56b804a919d914070,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,26,2024-02-06,complete
2024-02-06,0.00,0.00,0,1595495.91,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,27,2024-02-07,complete
2024-02-07,0.00,31500.00,1,1563995.91,last_posted_transaction_or_prior_closing_balance,synb1_txn_094e8df5cc90c409eb314b78,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,28,2024-02-08,complete
2024-02-08,0.00,961.81,1,1563034.10,last_posted_transaction_or_prior_closing_balance,synb1_txn_7a028f4fad4a7ef011679e32,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,29,2024-02-09,complete
2024-02-09,0.00,41093.44,1,1521940.66,last_posted_transaction_or_prior_closing_balance,synb1_txn_1626024cd260841551e30585,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,30,2024-02-18,complete
2024-02-10,0.00,0.00,0,1521940.66,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-11,6685.25,16985.82,2,1511640.09,last_posted_transaction_or_prior_closing_balance,synb1_txn_1659ecb9b1a3638b94d021d3,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-12,562.19,0.00,1,1512202.28,last_posted_transaction_or_prior_closing_balance,synb1_txn_193b54392e691aa45aa70e99,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-13,0.00,15725.29,4,1496476.99,last_posted_transaction_or_prior_closing_balance,synb1_txn_2737bd2149a789951efef89d,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-14,34092.79,0.00,2,1530569.78,last_posted_transaction_or_prior_closing_balance,synb1_txn_7dca81e6f4db2d50c6e63b39,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-15,0.00,0.00,0,1530569.78,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-16,0.00,63463.82,1,1467105.96,last_posted_transaction_or_prior_closing_balance,synb1_txn_59740b55dfc61131f8f5ae2f,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-17,0.00,4229.64,1,1462876.32,last_posted_transaction_or_prior_closing_balance,synb1_txn_2dce2d74360605b318154c29,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-02-18,14081.97,9357.82,4,1467600.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_227fb6e05f207ed481f8bf28,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,31,2024-02-19,complete
2024-02-19,14064.25,0.00,1,1481664.72,last_posted_transaction_or_prior_closing_balance,synb1_txn_738cd0287e24b21233f573c8,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,32,2024-02-20,complete
2024-02-20,0.00,50000.00,1,1431664.72,last_posted_transaction_or_prior_closing_balance,synb1_txn_7c240487c8fd5e265c06ab8c,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,33,2024-02-21,complete
2024-02-21,0.00,0.00,0,1431664.72,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,34,2024-02-22,complete
2024-02-22,31425.50,0.00,1,1463090.22,last_posted_transaction_or_prior_closing_balance,synb1_txn_b019a65bea682c123063d49e,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,35,2024-02-23,complete
2024-02-23,3481.29,38840.25,2,1427731.26,last_posted_transaction_or_prior_closing_balance,synb1_txn_dbd2e40f3ac3de9997460195,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,36,2024-02-26,complete
