transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_0a28729c2318c579981a0324,2024-01-01T09:00:00,流入,722083.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f30d1d5f00f8c9889917b19e,2024-01-02T15:00:00,流入,34903.40,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c148427c555be6de4c4c7845,2024-01-05T09:00:00,流出,7560.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4278f4418e89b35d00c0fac0,2024-01-06T15:00:00,流入,54428.25,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_79c9e7a29c547cffc1205fb2,2024-01-07T09:00:00,流出,21840.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_872f71cf34c79e8784a5b2a8,2024-01-07T09:00:00,流出,138290.86,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e07646e41cc021bc734d244d,2024-01-08T09:00:00,流出,477.07,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7d8e0c743c0326b7ecba8a65,2024-01-10T15:00:00,流入,5616.01,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a38a23d9b1bfd2ab3693b305,2024-01-15T15:00:00,流入,100073.79,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f091291d64142ffd3412cae9,2024-01-17T09:00:00,流出,14364.23,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9df2114e5c49f8031bd9dd99,2024-01-20T09:00:00,流出,1855.85,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0c10a561a837fba9009c4a9c,2024-01-21T15:00:00,流入,53740.55,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b3da17a6fbaeb58556a8cfdd,2024-01-24T09:00:00,流出,2287.08,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d1bb9784b6fed54f6350a38e,2024-01-27T09:00:00,流出,87574.35,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_33decaf1162bdd57cb7e9438,2024-02-03T09:00:00,流出,84704.23,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f84b230f9ff7937e41b23db5,2024-02-04T09:00:00,流出,4609.26,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_19b4652128537ebc763dd0de,2024-02-04T09:00:00,流出,50253.84,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_dd268603b88dc435d59af7c2,2024-02-05T09:00:00,流出,7560.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d20cd381e46ba2e834c5879d,2024-02-07T09:00:00,流出,21840.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b7db180739c364232b629372,2024-02-07T09:00:00,流出,2742.58,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_69995c6bbbf63ee53e5fafcd,2024-02-09T15:00:00,流入,46599.30,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6a5b9e1e489a21aac26d18e7,2024-02-10T09:00:00,流出,169.50,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_52d598f47c41a1ada64e8c79,2024-02-11T15:00:00,流入,102891.20,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c8f6b2f04dacfc79b57f4cd1,2024-02-16T09:00:00,流出,35280.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c57cabfa8316bc88a4b40f23,2024-02-16T09:00:00,流出,10.74,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ab2bc922a4360896cc42af97,2024-02-16T15:00:00,流入,16360.34,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0ca2d40e372af304dca7db37,2024-02-17T15:00:00,流入,167068.36,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a18a161503ffd28c3cf34328,2024-02-18T09:00:00,流出,19684.86,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_352b46dcc5ccf21624878f2d,2024-02-18T09:00:00,流出,4289.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_85a8bbcdde9a68a59e8b43b5,2024-02-18T09:00:00,流出,514.68,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1761cbff968a96443b4a72f2,2024-02-20T09:00:00,流出,1303.03,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ecd4dd6f5ee662007794ed14,2024-02-20T09:00:00,流出,12216.35,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3c3c760a80061efe18518f3c,2024-02-20T09:00:00,流出,73705.56,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_13e9489e2006a0391928ca15,2024-02-22T15:00:00,流入,37304.17,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b2fa64f4f934fa80a972c484,2024-02-23T09:00:00,流出,22816.93,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0d932066c69022667fa71a4a,2024-02-24T09:00:00,流出,20637.14,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fc7437df0a5043855921cf40,2024-02-26T15:00:00,流入,39942.63,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_849c34f22e31fbc8e0f8902c,2024-02-28T09:00:00,流出,19048.76,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_06b4f9f0702edc2f4dc06b39,2024-03-02T15:00:00,流入,14366.35,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_252bc03955ebb78ae985d149,2024-03-03T09:00:00,流出,30917.41,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_13639b7991cf51044d521edf,2024-03-03T15:00:00,流入,26984.18,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d3ef6d15b7209dd18ce8a2f9,2024-03-05T09:00:00,流出,7560.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_23a6ab2fa26610de116748fd,2024-03-07T09:00:00,流出,21840.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5f96640e24ec670030a3c129,2024-03-07T15:00:00,流入,11171.09,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4e5775864d392131f8a3242c,2024-03-10T09:00:00,流出,112527.92,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b6888389d32406253f302ef2,2024-03-11T15:00:00,流入,6457.08,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_73571d9c8cdb0d439fc09072,2024-03-12T09:00:00,流出,1030.60,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5adf639035999dbea31ba971,2024-03-13T15:00:00,流入,145748.57,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9ede3196c05cc56ad4b39d77,2024-03-14T09:00:00,流出,48148.52,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5da595ca441f8952dd3c863b,2024-03-14T15:00:00,流入,68687.18,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c06d7aa82a2e9903cea9efc4,2024-03-15T15:00:00,流入,1188.89,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1c638943b2081c730cd8ed37,2024-03-17T09:00:00,流出,27364.12,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c358238fd62bb3829d23fab3,2024-03-18T09:00:00,流出,17690.01,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ca9ac7e2dcabfc24e5e357a4,2024-03-18T09:00:00,流出,3966.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_346a00602e352f5bd0986d65,2024-03-18T09:00:00,流出,475.92,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_03f8eb1ee05ee8f30597fd0a,2024-03-19T15:00:00,流入,37737.40,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_aa39a7719cf852cdfa94c4bb,2024-03-19T15:00:00,流入,32390.99,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_055baeb721e2a04eeed90a1b,2024-03-20T09:00:00,流出,0.18,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1859705e38f997bda0d7b8b3,2024-03-22T09:00:00,流出,27720.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3fa829811fa5b385a20cddda,2024-03-22T09:00:00,流出,1505.79,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ff85801bf7ca915c97a7b1d1,2024-03-24T15:00:00,流入,8533.30,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e61f2e97396ed971656e76dd,2024-03-26T09:00:00,流出,2083.43,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0d487ddaa1a78dd0f4311901,2024-03-26T09:00:00,流出,27376.11,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c33b9ca78dfe1ce637d01e82,2024-03-26T15:00:00,流入,15668.97,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_595f3272814b431c563e9602,2024-04-02T09:00:00,流出,13358.54,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0b730212b84989c6ffbe10a6,2024-04-02T09:00:00,流出,5473.00,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4792ec5b65b566ae9033fad1,2024-04-02T15:00:00,流入,2387.66,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_42d56219d87cc5cc3121bb7c,2024-04-03T09:00:00,流出,10943.41,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_053ad6e9d99845bf7d3b7fb8,2024-04-05T09:00:00,流出,1131.93,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d0e8b86e47a7ec997f7b9c7d,2024-04-05T09:00:00,流出,7560.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c43961d336d3dbe4f2906592,2024-04-05T09:00:00,流出,151986.23,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c4fc62d27e5f0fc5ebe8888f,2024-04-06T09:00:00,流出,33085.72,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_700a1b62508720317095ddfe,2024-04-07T09:00:00,流出,21840.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_66e26985b21b2f72a32fcc6c,2024-04-08T09:00:00,流出,23975.79,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cf028c39cf6221579fcc6374,2024-04-08T15:00:00,流入,27607.91,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_843064e9af6a30aa06d39429,2024-04-09T09:00:00,流出,2455.80,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f3d39c6d4555c266f86ecdb7,2024-04-10T15:00:00,流入,3640.12,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_275d00fa1a6c466140c077fa,2024-04-16T15:00:00,流入,27195.37,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cab9bfc0790ed94ea32d161c,2024-04-17T15:00:00,流入,8596.72,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_047aa8283709e1363e47b5d5,2024-04-18T09:00:00,流出,14744.06,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a1ffa4f2eae14fad9ba8139f,2024-04-18T09:00:00,流出,3489.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cb2bb2d56a885b5d57d10b8f,2024-04-18T09:00:00,流出,418.68,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b3c7d5756979f46a318f4afd,2024-04-19T09:00:00,流出,8071.00,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
