calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_cfdbdc30bfabfdf119799287,trusted,weekday_rule,base_calendar,True,1,2024-01-02,complete
2024-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2024-01-03,complete
2024-01-03,0.00,95884.04,2,3504115.96,last_posted_transaction_or_prior_closing_balance,synb1_txn_167c060d47fb2746321559d9,trusted,weekday_rule,base_calendar,True,3,2024-01-04,complete
2024-01-04,0.00,0.00,0,3504115.96,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2024-01-05,complete
2024-01-05,0.00,0.00,0,3504115.96,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,5,2024-01-07,complete
2024-01-06,0.00,0.00,0,3504115.96,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-07,0.00,156442.46,1,3347673.50,last_posted_transaction_or_prior_closing_balance,synb1_txn_9c2f52f8e3c41d81a2ee913a,trusted,historical_transaction_override,historical_transaction_override,True,6,2024-01-08,complete
2024-01-08,0.00,0.00,0,3347673.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2024-01-09,complete
2024-01-09,0.00,0.00,0,3347673.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2024-01-10,complete
2024-01-10,0.00,0.00,0,3347673.50,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2024-01-11,complete
2024-01-11,0.00,73810.62,1,3273862.88,last_posted_transaction_or_prior_closing_balance,synb1_txn_e4f4b936e94f36767aea8a40,trusted,weekday_rule,base_calendar,True,10,2024-01-12,complete
2024-01-12,0.00,0.00,0,3273862.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2024-01-15,complete
2024-01-13,0.00,0.00,0,3273862.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-14,0.00,0.00,0,3273862.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-15,0.00,0.00,0,3273862.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,12,2024-01-16,complete
2024-01-16,0.00,45106.50,1,3228756.38,last_posted_transaction_or_prior_closing_balance,synb1_txn_62d670acb11499457671c11f,trusted,weekday_rule,base_calendar,True,13,2024-01-17,complete
2024-01-17,0.00,0.00,0,3228756.38,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,14,2024-01-18,complete
2024-01-18,0.00,0.00,0,3228756.38,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2024-01-19,complete
2024-01-19,0.00,0.00,0,3228756.38,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,16,2024-01-22,complete
2024-01-20,0.00,0.00,0,3228756.38,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-21,0.00,0.00,0,3228756.38,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-22,0.00,0.00,0,3228756.38,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,17,2024-01-23,complete
2024-01-23,0.00,41005.90,1,3187750.48,last_posted_transaction_or_prior_closing_balance,synb1_txn_9041b2e1f91186dcdb1aef76,trusted,weekday_rule,base_calendar,True,18,2024-01-24,complete
2024-01-24,0.00,0.00,0,3187750.48,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,19,2024-01-25,complete
2024-01-25,0.00,76004.09,1,3111746.39,last_posted_transaction_or_prior_closing_balance,synb1_txn_5ea0dfc1e9c9c4521e458fc4,trusted,weekday_rule,base_calendar,True,20,2024-01-26,complete
2024-01-26,9438.20,0.00,1,3121184.59,last_posted_transaction_or_prior_closing_balance,synb1_txn_a8487e88945781956ce4762e,trusted,weekday_rule,base_calendar,True,21,2024-01-29,complete
2024-01-27,0.00,0.00,0,3121184.59,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-28,0.00,0.00,0,3121184.59,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-29,0.00,0.00,0,3121184.59,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,22,2024-01-30,complete
2024-01-30,31853.93,0.00,1,3153038.52,last_posted_transaction_or_prior_closing_balance,synb1_txn_02b5c1723ddb8472817e9817,trusted,weekday_rule,base_calendar,True,23,2024-01-31,complete
2024-01-31,0.00,0.00,0,3153038.52,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,24,2024-02-01,complete
2024-02-01,0.00,0.00,0,3153038.52,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,25,2024-02-02,complete
2024-02-02,0.00,0.00,0,3153038.52,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,26,2024-02-03,complete
2024-02-03,33033.70,35884.04,2,3150188.18,last_posted_transaction_or_prior_closing_balance,synb1_txn_c3756218284bb717fd887812,trusted,historical_transaction_override,historical_transaction_override,True,27,2024-02-05,complete
2024-02-04,0.00,0.00,0,3150188.18,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-02-05,12352.94,0.00,1,3162541.12,last_posted_transaction_or_prior_closing_balance,synb1_txn_ca547134e2455ccbcea7bdc7,trusted,weekday_rule,base_calendar,True,28,2024-02-06,complete
2024-02-06,0.00,0.00,0,3162541.12,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,29,2024-02-07,complete
2024-02-07,67254.81,156442.46,3,3073353.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_655874c7a03d3ffb3ed71132,trusted,weekday_rule,base_calendar,True,30,2024-02-08,complete
2024-02-08,0.00,0.00,0,3073353.47,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,31,2024-02-09,complete
2024-02-09,23470.58,0.00,1,3096824.05,last_posted_transaction_or_prior_closing_balance,synb1_txn_833cf85ead05a8e85bf29b8e,trusted,weekday_rule,base_calendar,True,32,2024-02-11,complete
2024-02-10,0.00,0.00,0,3096824.05,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
