transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_2c6c7fc635da0192636990a9,2024-01-01T09:00:00,0.00,1510000.00,1510000.00
synb1_txn_13fc340342873ef03af21a3d,2024-01-05T09:00:00,9000.00,0.00,1501000.00
synb1_txn_46bce2e056e2960828c4f43c,2024-01-07T09:00:00,26500.00,0.00,1474500.00
synb1_txn_26c80d4128e888abf2df9872,2024-01-11T15:00:00,0.00,860.17,1475360.17
synb1_txn_cef3b7a4b273cbd1d5dcab98,2024-01-13T09:00:00,38714.23,0.00,1436645.94
synb1_txn_00ce60d60d3f04410f1e32bb,2024-01-16T09:00:00,1708.30,0.00,1434937.64
synb1_txn_470850f377c3917d4fc98a9a,2024-01-23T09:00:00,44985.77,0.00,1389951.87
synb1_txn_b84b740a3216c8203da5f4c2,2024-01-24T09:00:00,3891.70,0.00,1386060.17
synb1_txn_0a4f2322c80cf9ce0fdf49ec,2024-01-25T15:00:00,0.00,41480.57,1427540.74
synb1_txn_2bed474cc4c7e292d79e5f5e,2024-01-26T15:00:00,0.00,107659.26,1535200.00
synb1_txn_b169bc3e54203efa415acf1a,2024-02-02T15:00:00,0.00,42833.28,1578033.28
synb1_txn_336ce33fb717ffaa9f6a09f1,2024-02-05T09:00:00,2522.03,0.00,1575511.25
synb1_txn_a02adfd60baf58b89ac1a210,2024-02-05T09:00:00,9000.00,0.00,1566511.25
synb1_txn_4493773fab29b1215d4a80b1,2024-02-07T09:00:00,26500.00,0.00,1540011.25
synb1_txn_a8819014f5206087dbc4a2c5,2024-02-07T09:00:00,1904.50,0.00,1538106.75
synb1_txn_6bb0e3cb9e3b1d916f085114,2024-02-07T15:00:00,0.00,2929.30,1541036.05
synb1_txn_31ff83a31801239633aea0ce,2024-02-08T09:00:00,237.44,0.00,1540798.61
synb1_txn_483f16492712c1721955fe6e,2024-02-08T15:00:00,0.00,21485.39,1562284.00
synb1_txn_a65924c3bc1d745c04cd863a,2024-02-11T09:00:00,84904.24,0.00,1477379.76
synb1_txn_68190fc4fb09f75d2498cd0f,2024-02-11T09:00:00,83313.24,0.00,1394066.52
synb1_txn_82b812040e86c1b2b8eed0ab,2024-02-11T15:00:00,0.00,13790.78,1407857.30
synb1_txn_a59214410e31cfcb8eeef1ed,2024-02-12T09:00:00,66.80,0.00,1407790.50
synb1_txn_7ebe8a1eb63d7b76df8cece2,2024-02-14T09:00:00,13782.25,0.00,1394008.25
synb1_txn_03a78cb821629534286b1219,2024-02-15T15:00:00,0.00,27123.88,1421132.13
synb1_txn_777f56efa35b485dbd356af1,2024-02-16T15:00:00,0.00,24109.43,1445241.56
synb1_txn_6de9532b38de34ed8e3f9c46,2024-02-17T09:00:00,24940.58,0.00,1420300.98
synb1_txn_41346c43dac6b56a49009e04,2024-02-17T15:00:00,0.00,27024.24,1447325.22
synb1_txn_ad8cd7d13fa38c3b0e0992f3,2024-02-18T09:00:00,9708.00,0.00,1437617.22
synb1_txn_c9c7a0ec4fa6627126d897b8,2024-02-18T09:00:00,3000.00,0.00,1434617.22
synb1_txn_c09b228ce6d3edf08e5b8308,2024-02-18T09:00:00,360.00,0.00,1434257.22
synb1_txn_ce421e83229cb13bf188b151,2024-02-18T09:00:00,46247.75,0.00,1388009.47
synb1_txn_6e27628d2e56d8a737da28c5,2024-02-19T09:00:00,46000.00,0.00,1342009.47
synb1_txn_f03f5ffbff8992cafc2a461f,2024-02-20T15:00:00,0.00,6076.75,1348086.22
synb1_txn_28d947b41041394635700cf3,2024-02-24T09:00:00,1149.52,0.00,1346936.70
synb1_txn_0b09e15d5fd28f4443f25002,2024-02-27T09:00:00,1861.65,0.00,1345075.05
synb1_txn_b39e278f0c5126201aaff322,2024-02-27T15:00:00,0.00,2086.53,1347161.58
synb1_txn_ee69cf52724a0323ba3aed38,2024-02-27T15:00:00,0.00,93866.33,1441027.91
synb1_txn_6ed212b6ecde8b415389fa9b,2024-02-28T15:00:00,0.00,33674.09,1474702.00
synb1_txn_e688c64b84a6c5da8570202b,2024-03-02T15:00:00,0.00,20438.72,1495140.72
synb1_txn_40b677b676349e21c3caab3c,2024-03-03T09:00:00,41549.95,0.00,1453590.77
synb1_txn_5bbfb47eadb8b78c0e09c607,2024-03-03T09:00:00,53390.74,0.00,1400200.03
synb1_txn_0da0e0edb6befdfeaf08c7a4,2024-03-05T09:00:00,9000.00,0.00,1391200.03
synb1_txn_7eea0ef7a35df5f5fb906c04,2024-03-06T09:00:00,23239.48,0.00,1367960.55
synb1_txn_25dad2e04a45a996e76e6250,2024-03-06T09:00:00,37312.29,0.00,1330648.26
synb1_txn_9203e64001797b546c1ac3e2,2024-03-07T09:00:00,26500.00,0.00,1304148.26
synb1_txn_d5bcf5bcd9fe7ecd962d44eb,2024-03-07T15:00:00,0.00,1510.23,1305658.49
synb1_txn_ce6e6ee4ec8bfbdb630d4e12,2024-03-11T15:00:00,0.00,50237.17,1355895.66
synb1_txn_def9fd4544e453598c05a994,2024-03-12T15:00:00,0.00,2839.41,1358735.07
synb1_txn_7aa0b0882d9d16bb68a33544,2024-03-12T15:00:00,0.00,136.05,1358871.12
synb1_txn_98d2bb0ef22d01a4490e7871,2024-03-15T09:00:00,40000.00,0.00,1318871.12
synb1_txn_a6500fdced515f1ca480e342,2024-03-15T15:00:00,0.00,32848.10,1351719.22
synb1_txn_7186239948ba6685cbe355cc,2024-03-18T09:00:00,9110.40,0.00,1342608.82
synb1_txn_b417c687276db4edffd4161f,2024-03-18T09:00:00,2900.00,0.00,1339708.82
synb1_txn_990d9b80044ed8e174fe2d09,2024-03-18T09:00:00,348.00,0.00,1339360.82
synb1_txn_75e66828a798ca5923bc63c2,2024-03-19T09:00:00,4533.18,0.00,1334827.64
synb1_txn_b59306e40474a8209a92efb9,2024-03-19T09:00:00,611.20,0.00,1334216.44
synb1_txn_8ba057eec5354bc82d7e97ac,2024-03-20T09:00:00,21771.33,0.00,1312445.11
synb1_txn_a7dfb829e2d98c0a753f07b1,2024-03-21T15:00:00,0.00,49817.53,1362262.64
synb1_txn_3a5df40b8bb07b79945da595,2024-03-22T15:00:00,0.00,44506.81,1406769.45
synb1_txn_0770af5d1d4dbb59d6abfde1,2024-03-22T15:00:00,0.00,12330.39,1419099.84
synb1_txn_2f9d901d198710270337a5af,2024-03-23T15:00:00,0.00,19728.73,1438828.57
synb1_txn_54b108e5120513199c809975,2024-03-24T09:00:00,455.62,0.00,1438372.95
synb1_txn_553e7294ea297271b49014f1,2024-03-24T15:00:00,0.00,47177.69,1485550.64
synb1_txn_61ab89ba4f8f18e468afa5e1,2024-03-26T09:00:00,5086.38,0.00,1480464.26
synb1_txn_ebb27b9a5aae00190aa0d650,2024-03-27T09:00:00,21889.83,0.00,1458574.43
synb1_txn_c48b948c416082a1b082b7fc,2024-03-28T15:00:00,0.00,2657.76,1461232.19
synb1_txn_697172a953751f06fb7ee57f,2024-03-28T15:00:00,0.00,15771.41,1477003.60
synb1_txn_83da548606e976caf4b9ae0d,2024-04-02T09:00:00,31000.00,0.00,1446003.60
synb1_txn_720c1d4110bd449f6023dbc3,2024-04-02T15:00:00,0.00,6190.06,1452193.66
synb1_txn_b8a372faa6b40fb3fcbb453b,2024-04-02T15:00:00,0.00,30500.67,1482694.33
synb1_txn_8040871427f98805c52a5d21,2024-04-03T15:00:00,0.00,1490.61,1484184.94
synb1_txn_85f7c3866af1774f12999a08,2024-04-03T15:00:00,0.00,14724.18,1498909.12
synb1_txn_f76467340f523ec56cfbd4e6,2024-04-03T15:00:00,0.00,65672.14,1564581.26
synb1_txn_1ccbad731ab386ffa8f8b4c6,2024-04-04T09:00:00,2796.60,0.00,1561784.66
synb1_txn_9e73a8c157f238d7ce5f5feb,2024-04-05T09:00:00,9000.00,0.00,1552784.66
synb1_txn_74eedaddf0943be94952739e,2024-04-05T09:00:00,5189.72,0.00,1547594.94
synb1_txn_6d70164a3b434e0331a6a9ac,2024-04-07T09:00:00,26500.00,0.00,1521094.94
synb1_txn_1831e862efd5fb2b4708e2b2,2024-04-08T15:00:00,0.00,47630.74,1568725.68
synb1_txn_1f48a3ddee3a6f09450ee550,2024-04-09T09:00:00,34249.99,0.00,1534475.69
synb1_txn_27f6b7a1fcf1e0d739416681,2024-04-09T09:00:00,36.40,0.00,1534439.29
synb1_txn_caa8270a95b2b92a7e47daec,2024-04-11T09:00:00,15752.33,0.00,1518686.96
synb1_txn_c850419188682a996e2bbd28,2024-04-12T09:00:00,4015.85,0.00,1514671.11
synb1_txn_b4551f68117c15c83a58ff79,2024-04-13T09:00:00,7176.62,0.00,1507494.49
synb1_txn_932493308c2f0297b3259d2f,2024-04-13T15:00:00,0.00,38595.38,1546089.87
synb1_txn_4166634a53c5a004ad4f35d0,2024-04-14T15:00:00,0.00,14622.96,1560712.83
synb1_txn_f586a2023f36d94a2733cc65,2024-04-15T15:00:00,0.00,1117.31,1561830.14
synb1_txn_c1747ceac66e4e01cfb65eaf,2024-04-17T15:00:00,0.00,42302.16,1604132.30
synb1_txn_b612a9ebb4b4234140278b56,2024-04-18T09:00:00,10305.60,0.00,1593826.70
synb1_txn_2875fb5f2ab2ea077ac6b8d3,2024-04-18T09:00:00,3100.00,0.00,1590726.70
synb1_txn_a6cf4f52588f072928d205c8,2024-04-18T09:00:00,372.00,0.00,1590354.70
synb1_txn_94673cb2ba6fae7d438cc3b2,2024-04-19T09:00:00,63613.85,0.00,1526740.85
synb1_txn_2ef86f07b4020f4a491ed5ec,2024-04-20T09:00:00,4609.86,0.00,1522130.99
synb1_txn_44f2df148afabe30f9119aa8,2024-04-20T09:00:00,52567.26,0.00,1469563.73
synb1_txn_cb1965bf16d1105604569071,2024-04-20T09:00:00,4317.90,0.00,1465245.83
synb1_txn_b0f09665dcec1eeb86e7e772,2024-04-21T09:00:00,486.03,0.00,1464759.80
synb1_txn_03e821ad64008db1d21f6562,2024-04-21T09:00:00,11095.91,0.00,1453663.89
synb1_txn_4f835a739bb3bed178bda8b2,2024-04-22T09:00:00,1910.16,0.00,1451753.73
synb1_txn_3f5dd9c9f16aad8959561c8d,2024-04-22T15:00:00,0.00,33359.01,1485112.74
synb1_txn_1e211299526ed863054939f1,2024-04-25T09:00:00,733.57,0.00,1484379.17
synb1_txn_253444fdf697628312756846,2024-04-25T15:00:00,0.00,13010.02,1497389.19
synb1_txn_851caeb3b69ffd8c1efbed9b,2024-04-25T15:00:00,0.00,5784.76,1503173.95
synb1_txn_cdb6e83f960a3ff98d009d62,2024-04-26T09:00:00,770.80,0.00,1502403.15
