transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_a7565005a6bb0e6e9530b52f,2025-01-01T09:00:00,0.00,1035682.06,1035682.06
synb1_txn_9096802a0f27030d4f6d2b93,2025-01-02T09:12:13,4301.12,0.00,1031380.94
synb1_txn_01de5d557c4ebee2bcc89f23,2025-01-06T12:34:10,1394.75,0.00,1029986.19
synb1_txn_cfcd3c4f684b73aed2bcd409,2025-01-06T17:56:48,1320.72,0.00,1028665.47
synb1_txn_14352bd8e02c245c19a68a19,2025-01-08T09:32:50,5295.71,0.00,1023369.76
synb1_txn_2cdc4cd72e915f6bfe0c0669,2025-01-19T11:43:50,4959.09,0.00,1018410.67
synb1_txn_db333e0a9f635205ef75c55a,2025-01-19T17:47:43,1155.08,0.00,1017255.59
synb1_txn_d36dda552e4a83b4157fca75,2025-01-26T13:01:30,4167.14,0.00,1013088.45
synb1_txn_c4f29b723098e0b3f9f615dc,2025-01-27T16:46:08,1203.45,0.00,1011885.00
synb1_txn_faa8d06a57a763c39facbe47,2025-02-01T12:39:27,4179.80,0.00,1007705.20
synb1_txn_7d373e71ab744d16ff787c03,2025-02-02T15:27:22,4906.54,0.00,1002798.66
synb1_txn_16a3f6c31176350d47ad2034,2025-02-05T14:36:57,1368.25,0.00,1001430.41
synb1_txn_a61b2b2663fcf6fb7edd1624,2025-02-09T11:36:20,936.42,0.00,1000493.99
synb1_txn_e276323d9361a7fce3a5c453,2025-02-10T12:59:16,1388.23,0.00,999105.76
synb1_txn_f9e5921d7c9cd8cc8540ab4d,2025-02-15T10:34:04,1381.10,0.00,997724.66
synb1_txn_9b928f7cd03058cf03dce96f,2025-02-19T09:34:13,5667.80,0.00,992056.86
synb1_txn_0ba5bd164dd19f5a0085e6b0,2025-02-25T13:45:04,3968.92,0.00,988087.94
synb1_txn_a05e21e712a1aaf9e456e2b9,2025-03-02T13:32:45,259471.29,0.00,728616.65
synb1_txn_86b70ad619f202115fe8da9b,2025-03-04T17:11:41,0.00,33896.12,762512.77
synb1_txn_7f412e71435dd0f46f6575aa,2025-03-09T09:30:28,1413.74,0.00,761099.03
synb1_txn_a8fce74e7335aac63f7dd21a,2025-03-10T13:10:49,1009.67,0.00,760089.36
synb1_txn_39654d8e88087724d85b0cdb,2025-03-13T09:34:28,1354.10,0.00,758735.26
synb1_txn_9ba981731d06aaac7665b55e,2025-03-14T11:20:44,223425.14,0.00,535310.12
synb1_txn_33f4ffc87be67fed7a566bbf,2025-03-15T09:01:29,0.00,36921.99,572232.11
synb1_txn_2d7a9a385b42f1111506448d,2025-03-19T10:01:38,268392.79,0.00,303839.32
synb1_txn_63ba42d54a85e00d8e6f5415,2025-03-19T10:07:08,4241.98,0.00,299597.34
synb1_txn_1c75a656e6c07b90ea2f5697,2025-03-20T15:35:08,0.00,39852.43,339449.77
synb1_txn_3c7e0c50c6f89710dfce3dbf,2025-03-20T17:42:27,5508.69,0.00,333941.08
synb1_txn_8bb9cb217ecb4fb6684ded3f,2025-03-21T13:20:26,4722.81,0.00,329218.27
synb1_txn_ece00de2321eba81947a4528,2025-03-25T16:57:06,1296.49,0.00,327921.78
synb1_txn_2567a8b29ae4649875dda0cd,2025-03-28T09:54:44,0.00,37667.85,365589.63
synb1_txn_41e74aad80bf550509513401,2025-03-28T16:25:01,245811.99,0.00,119777.64
synb1_txn_2ea5fd51f94c89f7ce9bf5ca,2025-03-29T11:52:39,4249.58,0.00,115528.06
synb1_txn_99ed1c8600df194dd78c5c78,2025-04-01T12:28:39,56973.66,0.00,58554.40
synb1_txn_3651dc821ed0845f5a46b353,2025-04-02T10:34:48,0.00,66252.01,124806.41
synb1_txn_3e6e570026d43cc69c013b35,2025-04-03T11:35:36,4359.25,0.00,120447.16
synb1_txn_b76b6956d48eaa11f6beef2c,2025-04-04T13:29:50,52924.60,0.00,67522.56
synb1_txn_c9e6dab6859e4899d0be4f81,2025-04-08T16:24:04,1409.87,0.00,66112.69
synb1_txn_e519c9afcf67e360af5047b1,2025-04-09T16:24:50,1123.58,0.00,64989.11
synb1_txn_d13ec52056b8d2297144b04d,2025-04-11T17:28:29,1386.59,0.00,63602.52
synb1_txn_166349c98ce061e76f0d2b10,2025-04-12T16:08:34,0.00,76050.10,139652.62
synb1_txn_935754972ac1f9d9fbf599e5,2025-04-13T13:11:09,0.00,78399.32,218051.94
synb1_txn_3efc428632d7ac03e0ca54b4,2025-04-17T15:28:30,1153.96,0.00,216897.98
synb1_txn_ccf09e920160675785af1aad,2025-04-19T09:37:03,5464.77,0.00,211433.21
synb1_txn_e631836c5158b953c2d6d60d,2025-04-23T09:52:19,54704.70,0.00,156728.51
synb1_txn_84ece4a935e174c2f3dbca65,2025-04-23T12:12:02,3951.99,0.00,152776.52
