transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_0093448dfffb7ef211ba22b0,2025-01-01T09:00:00,0.00,5593191.99,5593191.99
synb1_txn_3257d3baffe6bc01de825894,2025-01-04T11:58:45,8924.82,0.00,5584267.17
synb1_txn_c286712cdc7739946ce98274,2025-01-04T13:13:35,12605.09,0.00,5571662.08
synb1_txn_4aa46309a3967a43e0b7ed15,2025-01-05T10:43:56,24759.60,0.00,5546902.48
synb1_txn_7d4158a323a6b58449b135d6,2025-01-09T15:29:55,11624.65,0.00,5535277.83
synb1_txn_e537f3934a84444ed51309e2,2025-01-21T13:35:37,29157.23,0.00,5506120.60
synb1_txn_3ad3dbd60bf229789d114a75,2025-01-23T11:27:42,31205.93,0.00,5474914.67
synb1_txn_2cb06e3f901c243e4ec7a63a,2025-01-24T10:33:49,9013.44,0.00,5465901.23
synb1_txn_ca2195a389136fe0f0d5f5f6,2025-01-25T14:03:36,30839.24,0.00,5435061.99
synb1_txn_109e6d680a1b15b9338f82ec,2025-02-02T11:13:02,29762.74,0.00,5405299.25
synb1_txn_f8a1a1cef940ff6901f6ad0b,2025-02-03T09:00:00,0.00,3162600.00,8567899.25
synb1_txn_911c6cc11f38044a177918c1,2025-02-07T13:15:34,31102.20,0.00,8536797.05
synb1_txn_8bf82d45780dfc198df1d9fb,2025-02-08T16:22:17,10521.84,0.00,8526275.21
synb1_txn_00792d0aaa4f0024a5644214,2025-02-15T11:18:50,11937.18,0.00,8514338.03
synb1_txn_0de53d174f4ecb8a275ae5c3,2025-02-20T10:13:22,29219.06,0.00,8485118.97
synb1_txn_f47c2b5a345575b7cb2d61e4,2025-02-20T10:25:15,10684.19,0.00,8474434.78
synb1_txn_8c2e7d2244d6946463ce08d1,2025-02-27T16:52:06,25878.00,0.00,8448556.78
synb1_txn_ca0e12f28a73448f72d18df5,2025-02-28T11:20:49,9024.79,0.00,8439531.99
synb1_txn_deb427fd48e58d176ee138d1,2025-03-03T09:00:00,9704.42,0.00,8429827.57
synb1_txn_80982a79f30590abcc97eb74,2025-03-03T13:06:40,23983.89,0.00,8405843.68
synb1_txn_7d14e82c6876b809d43990d2,2025-03-05T10:30:22,0.00,301147.11,8706990.79
synb1_txn_ab762320e422c4b9fd353b3a,2025-03-05T16:25:24,0.00,284407.42,8991398.21
synb1_txn_3bf44e6b8c762cc1e9f052b4,2025-03-09T14:35:27,1641691.91,0.00,7349706.30
synb1_txn_69f2851d4230dd4a74276393,2025-03-11T16:18:17,12260.37,0.00,7337445.93
synb1_txn_ce9ed2429294be87514b9dc2,2025-03-12T16:38:41,11558.56,0.00,7325887.37
synb1_txn_a642496ffee9189b2673bef0,2025-03-14T15:17:14,0.00,302595.47,7628482.84
synb1_txn_5c1b67def9991fdd1ed698ab,2025-03-17T11:34:48,1654539.14,0.00,5973943.70
