transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_c371180997ba53ca0cad2932,2024-01-01T09:00:00,流入,4850000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_793c9845841a139e23b1c059,2024-01-05T09:00:00,流出,22000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9b9ddb16f2864d8cc32cb6cc,2024-01-07T09:00:00,流出,5020.97,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9ff512ebc93c96f43ba78677,2024-01-07T09:00:00,流出,42000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a1b71be0414f3654344d254a,2024-01-07T15:00:00,流入,3977.98,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8d46209401c0f4442b76d30d,2024-01-10T15:00:00,流入,7508.91,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d7567a389d127c2f72402719,2024-01-12T09:00:00,流出,3465.72,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_630580682328a5d0760b9b6a,2024-01-12T15:00:00,流入,1587.61,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4de5fc7483e1f288060f81b2,2024-01-14T15:00:00,流入,77534.90,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4a5769cf7c3aeb8e2dd8ae5e,2024-01-15T09:00:00,流出,3636.37,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c25906cf63ae2367b2e431ec,2024-01-15T09:00:00,流出,341.48,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_235b8bd94a027632630c2b33,2024-01-15T09:00:00,流出,54189.62,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_44f9639ef98e77dd64f7454b,2024-01-16T09:00:00,流出,9029.60,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_139277b337d74d89de54e6f9,2024-01-21T15:00:00,流入,35615.05,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f0b4cabc192fd794e8839b4,2024-01-21T15:00:00,流入,60097.43,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eb473ac417b27ee093a7fc8c,2024-01-22T15:00:00,流入,7096.74,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9840cb9cbc7ddf7fbff294a2,2024-01-24T09:00:00,流出,535.46,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_90381f4437634d023ff82aec,2024-01-25T15:00:00,流入,9451.09,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c019b8bb341ab81d4fcef93a,2024-01-26T09:00:00,流出,210000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_68644febed47eef644ffcd56,2024-01-27T09:00:00,流出,221255.78,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
