calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,2400000.00,0.00,1,2400000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_9fc34ed4264278897e5a358c,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,0.00,0.00,0,2400000.00,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,0.00,0.00,0,2400000.00,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,0.00,0.00,0,2400000.00,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,0.00,24000.00,1,2376000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_0c65d84400524d63fd093d63,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,0.00,1638.56,1,2374361.44,last_posted_transaction_or_prior_closing_balance,synb1_txn_33ea14f717bcaf9a78840321,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,0.00,88768.38,3,2285593.06,last_posted_transaction_or_prior_closing_balance,synb1_txn_3e55483c3859bc556d88e099,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,47203.08,0.00,1,2332796.14,last_posted_transaction_or_prior_closing_balance,synb1_txn_4f923c3bfa2aeb8ab8150ff5,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,20062.83,27352.22,3,2325506.75,last_posted_transaction_or_prior_closing_balance,synb1_txn_ebe3eb39f085a896e8d1a02f,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,0.00,0.00,0,2325506.75,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
2024-01-11,0.00,959.58,1,2324547.17,last_posted_transaction_or_prior_closing_balance,synb1_txn_a23b69720ae6dbf408c3e778,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,8,2024-01-12,complete
