transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_75838952acfc86194ac3466b,2024-01-01T09:00:00,流入,8300000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e5d8f6615e9fc258f09ba39b,2024-01-05T09:00:00,流出,74000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_805d3a0c12eae44d564699e3,2024-01-06T15:00:00,流入,88748.90,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2e0f4a7dc8592fb88cb2195d,2024-01-07T09:00:00,流出,320000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ede111fe16ee307439ef2a57,2024-01-09T09:00:00,流出,1121439.39,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ad2b509f9cb53de6bfa28ac2,2024-01-11T09:00:00,流出,7643.51,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cd156f88d208175e8d379f59,2024-01-13T09:00:00,流出,6909.57,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_59bf801a49497f849e3a152d,2024-01-15T09:00:00,流出,6829.96,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e7c650d7494ab3bb04f67aef,2024-01-15T15:00:00,流入,38614.05,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_15e2d962c475eff82c802f4d,2024-01-15T15:00:00,流入,1039146.77,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1301ba9e68928c4ce5834df9,2024-01-17T15:00:00,流入,223831.46,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9ee9c50ce52c2b98a930a898,2024-01-21T09:00:00,流出,28616.96,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5b8c95438f462378df574610,2024-01-27T09:00:00,流出,87815.32,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3c787c456eb71e7ed492bd0f,2024-01-28T09:00:00,流出,530945.29,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_110000e39c360174e8f3fb76,2024-01-28T15:00:00,流入,19658.82,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bf33195f986dcf4aeace9c51,2024-02-02T09:00:00,流出,117702.61,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a6f11ca03b67627a47a075e4,2024-02-03T09:00:00,流出,251573.66,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_487d485a14c3212fe4b665ff,2024-02-03T15:00:00,流入,67600.75,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fd1e081715ccc114331c8720,2024-02-04T09:00:00,流出,307746.84,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0052f0b98ddd38448320ea57,2024-02-05T09:00:00,流出,74000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eec84c2aa891a8ed89e082ce,2024-02-05T09:00:00,流出,6804.26,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c5df3fbd554dfd5dfed3ff7b,2024-02-06T09:00:00,流出,34815.25,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6282c6c281db8423f801cc70,2024-02-06T09:00:00,流出,17840.63,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ca09be86f363b08afbf0f44b,2024-02-06T09:00:00,流出,48641.50,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4b2d6e114eb0ecf3b319e2e9,2024-02-07T09:00:00,流出,320000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bbcdd9908b514d27df239282,2024-02-09T15:00:00,流入,173066.76,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ed867cfe3b4f7a62f50e3d73,2024-02-10T15:00:00,流入,280816.80,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a1563eb6b2410e367f452907,2024-02-10T15:00:00,流入,21816.92,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_46426d955df795fec97ad07d,2024-02-11T09:00:00,流出,273608.15,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_92ca7610cdce7bb48952f1aa,2024-02-12T09:00:00,流出,868.26,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_690ef1f4ca6d26310a9d654e,2024-02-12T09:00:00,流出,147767.34,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4955f386ad6d3725ad8d7d65,2024-02-13T15:00:00,流入,27023.08,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d55658d2b1925fbf1e1fc6d1,2024-02-14T15:00:00,流入,220653.17,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0c2887a22da0826789997485,2024-02-16T09:00:00,流出,11215.86,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_46730e726aa32ae60dc22452,2024-02-16T15:00:00,流入,99010.82,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e04ff9748b16ca9352bfd873,2024-02-17T15:00:00,流入,200637.86,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_71644d33b56ddf8bf9b5a9c5,2024-02-18T09:00:00,流出,18736.00,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_04d398832aedac30965b4d21,2024-02-18T09:00:00,流出,23500.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_33d2a8ccd3e692a19989eaab,2024-02-18T09:00:00,流出,2820.00,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_992e672b04ee8604852fb715,2024-02-18T09:00:00,流出,145437.99,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
