calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_0c9041078d430b7156b1e77d,trusted,weekday_rule,base_calendar,True,1,2024-01-02,complete
2024-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2024-01-03,complete
2024-01-03,0.00,97221.05,2,3502778.95,last_posted_transaction_or_prior_closing_balance,synb1_txn_44ae168192faea1ef33d5b3c,trusted,weekday_rule,base_calendar,True,3,2024-01-04,complete
2024-01-04,0.00,0.00,0,3502778.95,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2024-01-05,complete
2024-01-05,0.00,17836.31,1,3484942.64,last_posted_transaction_or_prior_closing_balance,synb1_txn_aae9fa4df5af5feccc4eb4a8,trusted,weekday_rule,base_calendar,True,5,2024-01-07,complete
2024-01-06,0.00,0.00,0,3484942.64,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-07,0.00,160991.30,1,3323951.34,last_posted_transaction_or_prior_closing_balance,synb1_txn_b548203724b3e2164caf8c5b,trusted,historical_transaction_override,historical_transaction_override,True,6,2024-01-08,complete
2024-01-08,0.00,12842.14,1,3311109.20,last_posted_transaction_or_prior_closing_balance,synb1_txn_97f39ca3b7bced016b1bf253,trusted,weekday_rule,base_calendar,True,7,2024-01-09,complete
2024-01-09,0.00,0.00,0,3311109.20,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2024-01-10,complete
2024-01-10,0.00,0.00,0,3311109.20,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,9,2024-01-11,complete
2024-01-11,0.00,19976.67,1,3291132.53,last_posted_transaction_or_prior_closing_balance,synb1_txn_642b52a32182e8e461cd7ce6,trusted,weekday_rule,base_calendar,True,10,2024-01-12,complete
2024-01-12,0.00,0.00,0,3291132.53,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2024-01-14,complete
2024-01-13,0.00,0.00,0,3291132.53,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-14,0.00,14269.06,1,3276863.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_fd3feb0ea0f001c8f03c5b98,trusted,historical_transaction_override,historical_transaction_override,True,12,2024-01-15,complete
2024-01-15,0.00,0.00,0,3276863.47,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,13,2024-01-16,complete
2024-01-16,0.00,8115.52,1,3268747.95,last_posted_transaction_or_prior_closing_balance,synb1_txn_14611d47964d0a694a9287c7,trusted,weekday_rule,base_calendar,True,14,2024-01-17,complete
2024-01-17,0.00,0.00,0,3268747.95,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,15,2024-01-18,complete
2024-01-18,0.00,21435.56,1,3247312.39,last_posted_transaction_or_prior_closing_balance,synb1_txn_7ac1a099a6bb5ff1936e1af8,trusted,weekday_rule,base_calendar,True,16,2024-01-19,complete
2024-01-19,0.00,9738.62,1,3237573.77,last_posted_transaction_or_prior_closing_balance,synb1_txn_3634491862570e27edbed61f,trusted,weekday_rule,base_calendar,True,17,2024-01-21,complete
2024-01-20,0.00,0.00,0,3237573.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-01-21,0.00,11908.64,1,3225665.13,last_posted_transaction_or_prior_closing_balance,synb1_txn_4098dc3d1db552d6f5bf29f3,trusted,historical_transaction_override,historical_transaction_override,True,18,2024-01-22,complete
2024-01-22,0.00,21911.91,1,3203753.22,last_posted_transaction_or_prior_closing_balance,synb1_txn_8257dd24b933d1899f4da0ef,trusted,weekday_rule,base_calendar,True,19,2024-01-23,complete
2024-01-23,21857.14,0.00,1,3225610.36,last_posted_transaction_or_prior_closing_balance,synb1_txn_652bf06ccb0a1f5c787cb29f,trusted,weekday_rule,base_calendar,True,20,2024-01-24,complete
2024-01-24,0.00,18259.92,1,3207350.44,last_posted_transaction_or_prior_closing_balance,synb1_txn_28ba76b8e2abd1c9c0c08842,trusted,weekday_rule,base_calendar,True,21,2024-01-25,complete
2024-01-25,0.00,75506.31,2,3131844.13,last_posted_transaction_or_prior_closing_balance,synb1_txn_59012e09242d9b35e90441a5,trusted,weekday_rule,base_calendar,True,22,2024-01-26,complete
2024-01-26,0.00,0.00,0,3131844.13,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,23,2024-01-27,complete
2024-01-27,19006.21,21435.58,2,3129414.76,last_posted_transaction_or_prior_closing_balance,synb1_txn_1b20c8ef3dbfa5e3df6a689a,trusted,historical_transaction_override,historical_transaction_override,True,24,2024-01-28,complete
2024-01-28,0.00,16506.15,1,3112908.61,last_posted_transaction_or_prior_closing_balance,synb1_txn_af89fbfaa647b472634d585c,trusted,historical_transaction_override,historical_transaction_override,True,25,2024-01-29,complete
2024-01-29,0.00,0.00,0,3112908.61,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,26,2024-01-30,complete
2024-01-30,0.00,10997.12,1,3101911.49,last_posted_transaction_or_prior_closing_balance,synb1_txn_ea0be6bc1b8792cef1d8982d,trusted,weekday_rule,base_calendar,True,27,2024-01-31,complete
2024-01-31,19956.52,15130.64,2,3106737.37,last_posted_transaction_or_prior_closing_balance,synb1_txn_ea9e4e1cd1e8c2993136b978,trusted,weekday_rule,base_calendar,True,28,2024-02-01,complete
2024-02-01,0.00,0.00,0,3106737.37,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,29,2024-02-02,complete
2024-02-02,15558.22,32984.58,3,3089311.01,last_posted_transaction_or_prior_closing_balance,synb1_txn_7838aa99a07422092a6e1bd1,trusted,weekday_rule,base_calendar,True,30,2024-02-03,complete
2024-02-03,0.00,64731.30,2,3024579.71,last_posted_transaction_or_prior_closing_balance,synb1_txn_1d1ea31ebb3da00eee6f1052,trusted,historical_transaction_override,historical_transaction_override,True,31,2024-02-04,complete
2024-02-04,25658.38,0.00,1,3050238.09,last_posted_transaction_or_prior_closing_balance,synb1_txn_becfc47abac04dbb96796d39,trusted,historical_transaction_override,historical_transaction_override,True,32,2024-02-05,complete
2024-02-05,0.00,12337.53,2,3037900.56,last_posted_transaction_or_prior_closing_balance,synb1_txn_d00760b193af1fe9e42f8496,trusted,weekday_rule,base_calendar,True,33,2024-02-06,complete
2024-02-06,20744.29,22008.22,2,3036636.63,last_posted_transaction_or_prior_closing_balance,synb1_txn_3297852f65c9b7af413b01b1,trusted,weekday_rule,base_calendar,True,34,2024-02-07,complete
2024-02-07,0.00,160991.30,1,2875645.33,last_posted_transaction_or_prior_closing_balance,synb1_txn_eb3a3335b6d705b40c62385c,trusted,weekday_rule,base_calendar,True,35,2024-02-08,complete
2024-02-08,24708.07,27709.44,3,2872643.96,last_posted_transaction_or_prior_closing_balance,synb1_txn_f0a1a9d9e02f10fba5838db1,trusted,weekday_rule,base_calendar,True,36,2024-02-09,complete
2024-02-09,0.00,0.00,0,2872643.96,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,37,2024-02-10,complete
2024-02-10,14693.87,0.00,1,2887337.83,last_posted_transaction_or_prior_closing_balance,synb1_txn_a848d5023b6994d05f308ec9,trusted,historical_transaction_override,historical_transaction_override,True,38,2024-02-11,complete
2024-02-11,0.00,11937.38,1,2875400.45,last_posted_transaction_or_prior_closing_balance,synb1_txn_6923f2b9769f1f41ba97e8ea,trusted,historical_transaction_override,historical_transaction_override,True,39,2024-02-12,complete
2024-02-12,11403.72,0.00,1,2886804.17,last_posted_transaction_or_prior_closing_balance,synb1_txn_1d398b2680bc86aba128d91c,trusted,weekday_rule,base_calendar,True,40,2024-02-13,complete
2024-02-13,0.00,13999.27,1,2872804.90,last_posted_transaction_or_prior_closing_balance,synb1_txn_ca40ebaddb2f55ef6d6e1756,trusted,weekday_rule,base_calendar,True,41,2024-02-14,complete
2024-02-14,19675.80,0.00,2,2892480.70,last_posted_transaction_or_prior_closing_balance,synb1_txn_9b845c930b116d36bac4973f,trusted,weekday_rule,base_calendar,True,42,2024-02-15,complete
2024-02-15,0.00,0.00,0,2892480.70,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,43,2024-02-16,complete
2024-02-16,11403.72,7874.59,2,2896009.83,last_posted_transaction_or_prior_closing_balance,synb1_txn_fbf65f0566beb968665a6781,trusted,weekday_rule,base_calendar,True,44,2024-02-18,complete
2024-02-17,0.00,0.00,0,2896009.83,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2024-02-18,36419.79,13605.43,3,2918824.19,last_posted_transaction_or_prior_closing_balance,synb1_txn_d57b7d181d0fefdf5001612d,trusted,historical_transaction_override,historical_transaction_override,True,45,2024-02-19,complete
2024-02-19,0.00,9624.50,1,2909199.69,last_posted_transaction_or_prior_closing_balance,synb1_txn_9b8ed5abcdb8475e6a4d8fe4,trusted,weekday_rule,base_calendar,True,46,2024-02-20,complete
2024-02-20,14254.65,0.00,1,2923454.34,last_posted_transaction_or_prior_closing_balance,synb1_txn_27e471bf335d8c74c27ca9fc,trusted,weekday_rule,base_calendar,True,47,2024-02-21,complete
2024-02-21,0.00,14321.50,1,2909132.84,last_posted_transaction_or_prior_closing_balance,synb1_txn_c9ccf881cca24f1b1977962f,trusted,weekday_rule,base_calendar,True,48,2024-02-22,complete
2024-02-22,25200.67,24498.74,3,2909834.77,last_posted_transaction_or_prior_closing_balance,synb1_txn_b4b0012a0cd77163a9e96415,trusted,weekday_rule,base_calendar,True,49,2024-02-23,complete
2024-02-23,0.00,0.00,0,2909834.77,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,50,2024-02-24,complete
2024-02-24,17105.58,10025.05,2,2916915.30,last_posted_transaction_or_prior_closing_balance,synb1_txn_e85cdc5c78908c3572a78b71,trusted,historical_transaction_override,historical_transaction_override,True,51,2024-02-25,complete
2024-02-25,0.00,66655.30,2,2850260.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_f38eacb5fa21316714392e7e,trusted,historical_transaction_override,historical_transaction_override,True,52,2024-02-26,complete
2024-02-26,49350.22,0.00,2,2899610.22,last_posted_transaction_or_prior_closing_balance,synb1_txn_89bde0f04d9f02b21ac0c757,trusted,weekday_rule,base_calendar,True,53,2024-02-27,complete
2024-02-27,0.00,34309.55,2,2865300.67,last_posted_transaction_or_prior_closing_balance,synb1_txn_a9d2572d1bb1ae06fbb8e806,trusted,weekday_rule,base_calendar,True,54,2024-02-28,complete
2024-02-28,19956.52,19305.36,4,2865951.83,last_posted_transaction_or_prior_closing_balance,synb1_txn_3f34eec38199d5c3620d8c2c,trusted,weekday_rule,base_calendar,True,55,2024-02-29,complete
2024-02-29,0.00,0.00,0,2865951.83,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,56,2024-03-01,complete
2024-03-01,30217.35,12404.42,3,2883764.76,last_posted_transaction_or_prior_closing_balance,synb1_txn_d878cf12e1d55df3ac203b3b,trusted,weekday_rule,base_calendar,True,57,2024-03-02,complete
2024-03-02,0.00,10499.45,1,2873265.31,last_posted_transaction_or_prior_closing_balance,synb1_txn_9fa50c48fb6a5aef4297ce81,trusted,historical_transaction_override,historical_transaction_override,True,58,2024-03-03,complete
2024-03-03,43266.43,37221.05,3,2879310.69,last_posted_transaction_or_prior_closing_balance,synb1_txn_7c96401520cb46f4e8d8e2e4,trusted,historical_transaction_override,historical_transaction_override,True,59,2024-03-04,complete
2024-03-04,0.00,31011.05,1,2848299.64,last_posted_transaction_or_prior_closing_balance,synb1_txn_380a1e48fa1e66f3bbdd16cf,trusted,weekday_rule,base_calendar,True,60,2024-03-05,complete
2024-03-05,24675.11,20998.93,3,2851975.82,last_posted_transaction_or_prior_closing_balance,synb1_txn_1253161e11dc1be8ad6b9477,trusted,weekday_rule,base_calendar,True,61,2024-03-06,complete
2024-03-06,0.00,0.00,0,2851975.82,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,62,2024-03-07,complete
2024-03-07,34072.43,192002.37,4,2694045.88,last_posted_transaction_or_prior_closing_balance,synb1_txn_855ff6f217181beb7680ac50,trusted,weekday_rule,base_calendar,True,63,2024-03-08,complete
2024-03-08,0.00,0.00,0,2694045.88,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,64,2024-03-09,complete
2024-03-09,44164.15,0.00,2,2738210.03,last_posted_transaction_or_prior_closing_balance,synb1_txn_24ab44675ee29d387a13925f,trusted,historical_transaction_override,historical_transaction_override,True,65,2024-03-10,complete
2024-03-10,0.00,10597.30,1,2727612.73,last_posted_transaction_or_prior_closing_balance,synb1_txn_bee61310dbafad81b754f8b1,trusted,historical_transaction_override,historical_transaction_override,True,66,2024-03-11,complete
2024-03-11,13853.07,0.00,1,2741465.80,last_posted_transaction_or_prior_closing_balance,synb1_txn_023247352e177e2837e798aa,trusted,weekday_rule,base_calendar,True,67,2024-03-12,complete
2024-03-12,0.00,0.00,0,2741465.80,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,68,2024-03-13,complete
2024-03-13,34352.31,6623.31,3,2769194.80,last_posted_transaction_or_prior_closing_balance,synb1_txn_c06bd641396a211acb0ebbdf,trusted,weekday_rule,base_calendar,True,69,2024-03-14,complete
2024-03-14,0.00,0.00,0,2769194.80,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,70,2024-03-15,complete
2024-03-15,23374.11,15796.20,4,2776772.71,last_posted_transaction_or_prior_closing_balance,synb1_txn_c3ddae82faee35e4d9bdb4a8,trusted,weekday_rule,base_calendar,True,71,2024-03-16,complete
2024-03-16,0.00,11259.63,1,2765513.08,last_posted_transaction_or_prior_closing_balance,synb1_txn_9086d6ba00012ae8be563b0b,trusted,historical_transaction_override,historical_transaction_override,True,72,2024-03-17,complete
2024-03-17,30217.40,40675.83,4,2755054.65,last_posted_transaction_or_prior_closing_balance,synb1_txn_353c3aff99605bcbac6ec0c9,trusted,historical_transaction_override,historical_transaction_override,True,73,2024-03-18,complete
2024-03-18,0.00,22705.30,2,2732349.35,last_posted_transaction_or_prior_closing_balance,synb1_txn_d8f865ccd552f74b78316bf3,trusted,weekday_rule,base_calendar,True,74,2024-03-19,complete
2024-03-19,21490.10,12584.30,3,2741255.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_e81ceec1a4ccc51f35f92ea7,trusted,weekday_rule,base_calendar,True,75,2024-03-20,complete
2024-03-20,0.00,25661.45,2,2715593.70,last_posted_transaction_or_prior_closing_balance,synb1_txn_26e47398c839765a1d430f22,trusted,weekday_rule,base_calendar,True,76,2024-03-21,complete
2024-03-21,14472.36,25296.21,3,2704769.85,last_posted_transaction_or_prior_closing_balance,synb1_txn_b1b91c55a5867bab2a689bf7,trusted,weekday_rule,base_calendar,True,77,2024-03-22,complete
2024-03-22,0.00,19357.02,1,2685412.83,last_posted_transaction_or_prior_closing_balance,synb1_txn_9be0267ced42c5297a3c9eb6,trusted,weekday_rule,base_calendar,True,78,2024-03-23,complete
2024-03-23,32814.33,51424.55,4,2666802.61,last_posted_transaction_or_prior_closing_balance,synb1_txn_61e6b2ba0c00c19282f23c22,trusted,historical_transaction_override,historical_transaction_override,True,79,2024-03-24,complete
2024-03-24,0.00,23931.14,2,2642871.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_0c3186b78bace672cd5f813c,trusted,historical_transaction_override,historical_transaction_override,True,80,2024-03-25,complete
2024-03-25,24809.76,64084.45,3,2603596.78,last_posted_transaction_or_prior_closing_balance,synb1_txn_d7556532c01f80f0c249bb00,trusted,weekday_rule,base_calendar,True,81,2024-03-26,complete
2024-03-26,16956.37,37163.50,3,2583389.65,last_posted_transaction_or_prior_closing_balance,synb1_txn_9dc22ab9ab188cd4d8ce951e,trusted,weekday_rule,base_calendar,True,82,2024-03-27,complete
2024-03-27,33418.76,0.00,2,2616808.41,last_posted_transaction_or_prior_closing_balance,synb1_txn_39faa198de5b6fcd2bba6cfd,trusted,weekday_rule,base_calendar,True,83,2024-03-28,complete
2024-03-28,0.00,33187.98,3,2583620.43,last_posted_transaction_or_prior_closing_balance,synb1_txn_028a845d61bb676b052278d2,trusted,weekday_rule,base_calendar,True,84,2024-03-29,complete
2024-03-29,26877.28,0.00,1,2610497.71,last_posted_transaction_or_prior_closing_balance,synb1_txn_1865d438d074e013fff49a3d,trusted,weekday_rule,base_calendar,True,85,2024-03-30,complete
2024-03-30,10597.73,0.00,1,2621095.44,last_posted_transaction_or_prior_closing_balance,synb1_txn_d1a897268d28fdb2f9f10a59,trusted,historical_transaction_override,historical_transaction_override,True,86,2024-03-31,complete
2024-03-31,47997.49,23228.44,3,2645864.49,last_posted_transaction_or_prior_closing_balance,synb1_txn_9c104bd347e19f33ab6ba295,trusted,historical_transaction_override,historical_transaction_override,True,87,2024-04-01,complete
2024-04-01,0.00,0.00,0,2645864.49,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,88,2024-04-02,complete
2024-04-02,32666.66,0.00,1,2678531.15,last_posted_transaction_or_prior_closing_balance,synb1_txn_8654eafa339deabe5a48f0b2,trusted,weekday_rule,base_calendar,True,89,2024-04-03,complete
2024-04-03,6358.64,37221.05,2,2647668.74,last_posted_transaction_or_prior_closing_balance,synb1_txn_9018d2128d819476fab21a89,trusted,weekday_rule,base_calendar,True,90,2024-04-04,complete
2024-04-04,23384.21,0.00,2,2671052.95,last_posted_transaction_or_prior_closing_balance,synb1_txn_db9b77c4c0a9c8c2a98bb723,trusted,weekday_rule,base_calendar,True,91,2024-04-05,complete
2024-04-05,0.00,0.00,0,2671052.95,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,92,2024-04-06,complete
2024-04-06,18463.76,0.00,1,2689516.71,last_posted_transaction_or_prior_closing_balance,synb1_txn_213db9b368fea0d665461a16,trusted,historical_transaction_override,historical_transaction_override,True,93,2024-04-07,complete
2024-04-07,17662.89,160991.30,2,2546188.30,last_posted_transaction_or_prior_closing_balance,synb1_txn_0f846a37ea3e837b21cdcb50,trusted,historical_transaction_override,historical_transaction_override,True,94,2024-04-08,complete
2024-04-08,26497.28,0.00,2,2572685.58,last_posted_transaction_or_prior_closing_balance,synb1_txn_ef355394e2b3aa1e37456e14,trusted,weekday_rule,base_calendar,True,95,2024-04-09,complete
2024-04-09,0.00,0.00,0,2572685.58,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,96,2024-04-10,complete
2024-04-10,22724.63,12611.96,2,2582798.25,last_posted_transaction_or_prior_closing_balance,synb1_txn_f58574b409e63b9c4f3c511f,trusted,weekday_rule,base_calendar,True,97,2024-04-11,complete
