transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_0c9041078d430b7156b1e77d,2024-01-01T09:00:00,0.00,3600000.00,3600000.00
synb1_txn_84ceb1b0a8425d02998d1867,2024-01-03T09:00:00,60000.00,0.00,3540000.00
synb1_txn_44ae168192faea1ef33d5b3c,2024-01-03T09:00:00,37221.05,0.00,3502778.95
synb1_txn_aae9fa4df5af5feccc4eb4a8,2024-01-05T09:00:00,17836.31,0.00,3484942.64
synb1_txn_b548203724b3e2164caf8c5b,2024-01-07T09:00:00,160991.30,0.00,3323951.34
synb1_txn_97f39ca3b7bced016b1bf253,2024-01-08T09:00:00,12842.14,0.00,3311109.20
synb1_txn_642b52a32182e8e461cd7ce6,2024-01-11T09:00:00,19976.67,0.00,3291132.53
synb1_txn_fd3feb0ea0f001c8f03c5b98,2024-01-14T09:00:00,14269.06,0.00,3276863.47
synb1_txn_14611d47964d0a694a9287c7,2024-01-16T09:00:00,8115.52,0.00,3268747.95
synb1_txn_7ac1a099a6bb5ff1936e1af8,2024-01-18T09:00:00,21435.56,0.00,3247312.39
synb1_txn_3634491862570e27edbed61f,2024-01-19T09:00:00,9738.62,0.00,3237573.77
synb1_txn_4098dc3d1db552d6f5bf29f3,2024-01-21T09:00:00,11908.64,0.00,3225665.13
synb1_txn_8257dd24b933d1899f4da0ef,2024-01-22T09:00:00,21911.91,0.00,3203753.22
synb1_txn_652bf06ccb0a1f5c787cb29f,2024-01-23T15:00:00,0.00,21857.14,3225610.36
synb1_txn_28ba76b8e2abd1c9c0c08842,2024-01-24T09:00:00,18259.92,0.00,3207350.44
synb1_txn_3d0fcdc5366137605742ad73,2024-01-25T09:00:00,54405.94,0.00,3152944.50
synb1_txn_59012e09242d9b35e90441a5,2024-01-25T09:00:00,21100.37,0.00,3131844.13
synb1_txn_c3163cf8b0a72befe9b97d1f,2024-01-27T09:00:00,21435.58,0.00,3110408.55
synb1_txn_1b20c8ef3dbfa5e3df6a689a,2024-01-27T15:00:00,0.00,19006.21,3129414.76
synb1_txn_af89fbfaa647b472634d585c,2024-01-28T09:00:00,16506.15,0.00,3112908.61
synb1_txn_ea0be6bc1b8792cef1d8982d,2024-01-30T09:00:00,10997.12,0.00,3101911.49
